Time,Y_Close,X_Close,Y_adj,X_adj,Beta,Spread,ZScore,ZClip
2020-05-08 04:00:00,7.074985,75.5158,1.956565,4.324342,1.156197,-3.043227,0.044211,0.044211
2020-05-11 04:00:00,6.96456,75.672264,1.940834,4.326412,1.151288,-3.040113,0.070707,0.070707
2020-05-12 04:00:00,7.185407,70.26123,1.972052,4.25222,1.123485,-2.805253,0.208614,0.208614
2020-05-13 04:00:00,7.185407,69.503517,1.972052,4.241377,1.093777,-2.66707,0.320679,0.320679
2020-05-14 04:00:00,7.169632,69.347023,1.969854,4.239123,1.065792,-2.548169,0.431788,0.431788
2020-05-15 04:00:00,7.177519,67.378632,1.970954,4.210328,1.029601,-2.364006,0.585736,0.585736
2020-05-18 04:00:00,7.603439,71.760193,2.028601,4.27333,1.008116,-2.279411,0.703894,0.703894
2020-05-19 04:00:00,7.414141,72.023743,2.003389,4.276996,0.991499,-2.237248,0.811178,0.811178
2020-05-20 04:00:00,7.453578,72.16375,2.008694,4.278938,0.975539,-2.165576,0.935288,0.935288
2020-05-21 04:00:00,7.47724,71.595467,2.011864,4.271032,0.958039,-2.07995,1.073586,1.073586
2020-05-22 04:00:00,7.571888,71.018944,2.024442,4.262947,0.937901,-1.973779,1.18985,1.18985
2020-05-26 04:00:00,7.887383,75.927605,2.065264,4.32978,0.929856,-1.960807,1.217392,1.217392
2020-05-27 04:00:00,7.867433,77.731262,2.062732,4.353258,0.925866,-1.9678,1.226262,1.226262
2020-05-28 04:00:00,7.979143,80.070305,2.076831,4.382905,0.925211,-1.978282,1.226547,1.226547
2020-05-29 04:00:00,8.146705,79.683212,2.097614,4.378059,0.923849,-1.947052,1.256322,1.256322
2020-06-01 04:00:00,8.122767,81.388062,2.094671,4.399229,0.924765,-1.973583,1.252148,1.252148
2020-06-02 04:00:00,8.242455,82.508156,2.109298,4.412897,0.926995,-1.981433,1.265816,1.265816
2020-06-03 04:00:00,8.3781,84.320061,2.125621,4.43462,0.931088,-2.003402,1.255024,1.255024
2020-06-04 04:00:00,8.402039,83.562355,2.128474,4.425593,0.934632,-2.007829,1.250972,1.250972
2020-06-05 04:00:00,8.681309,85.11071,2.161172,4.443953,0.94066,-2.019077,1.216529,1.216529
2020-06-08 04:00:00,8.3781,86.115509,2.125621,4.45569,0.945173,-2.085777,1.13579,1.13579
2020-06-09 04:00:00,8.138724,84.789497,2.096633,4.440172,0.947893,-2.112176,1.111631,1.111631
2020-06-10 04:00:00,7.835519,82.903465,2.058667,4.417677,0.948932,-2.133406,1.08104,1.08104
2020-06-11 04:00:00,7.332832,77.517128,1.992362,4.350499,0.947336,-2.129022,1.08184,1.08184
2020-06-12 04:00:00,7.827542,80.419258,2.057649,4.387254,0.947025,-2.09719,1.131466,1.131466
2020-06-15 04:00:00,8.138724,81.009651,2.096633,4.394568,0.947261,-2.066168,1.169423,1.169423
2020-06-16 04:00:00,8.186601,81.175957,2.102499,4.396619,0.947696,-2.06416,1.150647,1.150647
2020-06-17 04:00:00,8.194581,80.652077,2.103473,4.390145,0.947501,-2.056194,1.1253,1.1253
2020-06-18 04:00:00,8.202559,79.429695,2.104446,4.374872,0.94555,-2.032214,1.111656,1.111656
2020-06-19 04:00:00,8.226497,77.309242,2.10736,4.347814,0.939485,-1.977346,1.127835,1.127835
2020-06-22 04:00:00,8.194581,77.18454,2.103473,4.346199,0.933419,-1.953351,1.113863,1.113863
2020-06-23 04:00:00,8.170643,76.228226,2.100548,4.333732,0.925395,-1.909865,1.120575,1.120575
2020-06-24 04:00:00,7.947229,75.238693,2.072823,4.320666,0.913388,-1.873623,1.12035,1.12035
2020-06-25 04:00:00,7.987125,76.328011,2.077831,4.33504,0.904651,-1.843867,1.114712,1.114712
2020-06-26 04:00:00,7.715832,75.67942,2.043274,4.326506,0.896966,-1.837456,1.087498,1.087498
