Time,Y_Close,X_Close,Y_adj,X_adj,Beta,Spread,ZScore,ZClip
2020-05-08 04:00:00,10.977303,159.559998,2.39583,5.07242,4.718306,-21.5374,-0.788336,-0.788336
2020-05-11 04:00:00,10.606985,164.240005,2.361513,5.101329,4.660394,-21.41269,-0.749667,-0.749667
2020-05-12 04:00:00,10.395375,160.960007,2.341361,5.081156,4.618487,-21.125892,-0.69665,-0.69665
2020-05-13 04:00:00,9.460759,160.889999,2.247153,5.080721,4.572611,-20.985007,-0.657613,-0.657613
2020-05-14 04:00:00,9.134527,163.0,2.212061,5.09375,4.516084,-20.79174,-0.613488,-0.613488
2020-05-15 04:00:00,9.354956,169.809998,2.235906,5.13468,4.427257,-20.496643,-0.558729,-0.558729
2020-05-18 04:00:00,10.509995,171.779999,2.352327,5.146215,4.342402,-19.994606,-0.481258,-0.481258
2020-05-19 04:00:00,10.016238,169.880005,2.304208,5.135092,4.267278,-19.60866,-0.413334,-0.413334
2020-05-20 04:00:00,10.536448,175.860001,2.354841,5.169688,4.169146,-19.198343,-0.339273,-0.339273
2020-05-21 04:00:00,10.624616,175.229996,2.363174,5.166099,4.080572,-18.717465,-0.251939,-0.251939
2020-05-22 04:00:00,10.730423,173.610001,2.373083,5.156811,4.005371,-18.281862,-0.162863,-0.162863
2020-05-26 04:00:00,11.206546,171.380005,2.416498,5.143883,3.947114,-17.886997,-0.070012,-0.070012
2020-05-27 04:00:00,11.091923,174.580002,2.406217,5.162383,3.877168,-17.609207,0.019178,0.019178
2020-05-28 04:00:00,10.465908,176.130005,2.348123,5.171222,3.798657,-17.295579,0.131329,0.131329
2020-05-29 04:00:00,9.513659,179.660004,2.252729,5.191066,3.698808,-16.948028,0.282341,0.282341
2020-06-01 04:00:00,10.34247,179.820007,2.336259,5.191956,3.61188,-16.416463,0.540362,0.540362
2020-06-02 04:00:00,10.783325,183.350006,2.378001,5.211397,3.518637,-15.959014,0.95284,0.95284
2020-06-03 04:00:00,11.047838,189.720001,2.402235,5.245549,3.406106,-15.464663,1.433736,1.433736
2020-06-04 04:00:00,11.462243,183.429993,2.439058,5.211833,3.330491,-14.918903,2.032089,2.032089
2020-06-05 04:00:00,14.169096,178.429993,2.651063,5.184196,3.293446,-14.422805,2.369743,2.369743
2020-06-08 04:00:00,15.632735,185.039993,2.749367,5.220572,3.248906,-14.211778,2.418595,2.418595
2020-06-09 04:00:00,14.574681,180.330002,2.679286,5.194789,3.213053,-14.011845,2.387004,2.387004
2020-06-10 04:00:00,13.075774,181.710007,2.570761,5.202412,3.166367,-13.901982,2.341982,2.341982
2020-06-11 04:00:00,11.277084,174.479996,2.422773,5.16181,3.130137,-13.734401,2.281947,2.281947
2020-06-12 04:00:00,12.14116,179.600006,2.496601,5.190732,3.087133,-13.527879,2.257751,2.257751
2020-06-15 04:00:00,12.41449,179.740005,2.518864,5.191511,3.047254,-13.300989,2.22895,2.22895
2020-06-16 04:00:00,12.84653,180.309998,2.553074,5.194678,3.010175,-13.083816,2.19625,2.19625
2020-06-17 04:00:00,12.246965,178.149994,2.505278,5.182626,2.976298,-12.919759,2.149149,2.149149
2020-06-18 04:00:00,12.537932,178.559998,2.528759,5.184925,2.944363,-12.737539,2.107602,2.107602
2020-06-19 04:00:00,12.32632,177.190002,2.511737,5.177223,2.915436,-12.582125,2.054047,2.054047
2020-06-22 04:00:00,12.590833,174.990005,2.532969,5.164729,2.893053,-12.408864,2.004075,2.004075
2020-06-23 04:00:00,12.458576,175.009995,2.522409,5.164843,2.870759,-12.30461,1.93597,1.93597
2020-06-24 04:00:00,11.523964,170.639999,2.444429,5.139556,2.851226,-12.209608,1.869419,1.869419
2020-06-25 04:00:00,12.04417,173.600006,2.488581,5.156754,2.831471,-12.112618,1.808919,1.808919
2020-06-26 04:00:00,11.682673,169.979996,2.458107,5.135681,2.815989,-12.003915,1.756424,1.756424
2020-06-29 04:00:00,11.753207,169.0,2.464126,5.129899,2.800152,-11.90037,1.706696,1.706696
2020-06-30 04:00:00,11.903097,174.350006,2.476799,5.161065,2.777088,-11.855935,1.645694,1.645694
2020-07-01 04:00:00,11.462243,175.559998,2.439058,5.167981,2.747152,-11.75817,1.603192,1.603192
