Time,Y_Close,X_Close,Y_adj,X_adj,Beta,Spread,ZScore,ZClip
2020-05-08 04:00:00,147.387054,127.773895,4.993062,4.850262,0.802628,1.100105,-0.694478,-0.694478
2020-05-11 04:00:00,149.530472,125.805969,5.0075,4.834741,0.798781,1.1456,-0.653114,-0.653114
2020-05-12 04:00:00,145.479095,121.291901,4.980032,4.7982,0.793688,1.17176,-0.618511,-0.618511
2020-05-13 04:00:00,144.48851,117.346756,4.9732,4.765133,0.785323,1.231031,-0.571867,-0.571867
2020-05-14 04:00:00,146.567001,118.260765,4.987483,4.772892,0.776865,1.27959,-0.528437,-0.528437
2020-05-15 04:00:00,147.013535,117.523987,4.990525,4.766642,0.767678,1.331279,-0.482953,-0.482953
2020-05-18 04:00:00,150.853928,128.61322,5.016312,4.85681,0.765942,1.29628,-0.470723,-0.470723
2020-05-19 04:00:00,145.949905,126.98111,4.983263,4.844038,0.765432,1.275481,-0.452968,-0.452968
2020-05-20 04:00:00,146.810608,132.726273,4.989143,4.888289,0.766056,1.244439,-0.439668,-0.439668
2020-05-21 04:00:00,144.667145,133.192566,4.974436,4.891796,0.767116,1.221862,-0.423068,-0.423068
2020-05-22 04:00:00,145.170517,131.234039,4.977909,4.876982,0.767952,1.232621,-0.390579,-0.390579
2020-05-26 04:00:00,148.150238,138.061066,4.998227,4.927696,0.768087,1.213327,-0.371983,-0.371983
2020-05-27 04:00:00,143.327469,143.032089,4.965132,4.963069,0.766009,1.163374,-0.36932,-0.36932
2020-05-28 04:00:00,146.542618,142.845596,4.987316,4.961764,0.764519,1.193954,-0.322611,-0.322611
2020-05-29 04:00:00,148.255737,141.87561,4.998939,4.954951,0.763656,1.215062,-0.277496,-0.277496
2020-06-01 04:00:00,148.028473,139.096313,4.997405,4.935167,0.763602,1.228902,-0.231864,-0.231864
2020-06-02 04:00:00,145.154236,142.649734,4.977797,4.960392,0.762087,1.197548,-0.214999,-0.214999
2020-06-03 04:00:00,151.227356,147.68602,5.018784,4.995089,0.759288,1.226072,-0.141632,-0.141632
2020-06-04 04:00:00,149.806534,150.288162,5.009345,5.012555,0.754576,1.226991,-0.07289,-0.07289
2020-06-05 04:00:00,156.00145,155.492386,5.049865,5.046597,0.749115,1.269385,0.116241,0.116241
2020-06-08 04:00:00,155.684845,157.441635,5.047834,5.059055,0.742331,1.292339,0.331409,0.331409
2020-06-09 04:00:00,155.847946,153.710999,5.048881,5.035074,0.738286,1.331558,0.87222,0.87222
2020-06-10 04:00:00,153.890656,150.157608,5.036242,5.011685,0.735524,1.350028,1.196281,1.196281
2020-06-11 04:00:00,142.049118,140.914963,4.956173,4.948157,0.734965,1.31945,1.301547,1.301547
2020-06-12 04:00:00,142.489502,144.533691,4.959268,4.973513,0.732583,1.315759,1.300652,1.300652
2020-06-15 04:00:00,142.432449,144.999985,4.958868,4.976734,0.729959,1.326054,1.360082,1.360082
2020-06-16 04:00:00,143.623093,147.639481,4.967192,4.994773,0.725972,1.341128,1.49807,1.49807
2020-06-17 04:00:00,145.458069,145.037338,4.979888,4.976991,0.723952,1.376787,1.659574,1.659574
2020-06-18 04:00:00,143.794373,144.440399,4.968384,4.972867,0.72201,1.377927,1.597739,1.597739
2020-06-19 04:00:00,143.141983,144.440399,4.963837,4.972867,0.720007,1.383339,1.568178,1.568178
2020-06-22 04:00:00,142.791245,144.151291,4.961384,4.970863,0.718143,1.391592,1.554544,1.554544
2020-06-23 04:00:00,141.535355,143.59169,4.95255,4.966974,0.716448,1.393969,1.509293,1.509293
2020-06-24 04:00:00,136.57692,140.355362,4.916888,4.944178,0.721654,1.348902,1.202891,1.202891
2020-06-25 04:00:00,137.571854,144.048676,4.924146,4.970151,0.722389,1.333765,1.078961,1.078961
2020-06-26 04:00:00,132.482956,139.003006,4.886454,4.934496,0.726469,1.301698,0.860158,0.860158
2020-06-29 04:00:00,132.124161,144.093323,4.883742,4.970461,0.724786,1.281219,0.712555,0.712555
2020-06-30 04:00:00,132.556396,147.318085,4.887008,4.992594,0.720304,1.290825,0.74988,0.74988
2020-07-01 04:00:00,137.743118,147.036835,4.92539,4.990683,0.716929,1.347424,1.098022,1.098022
2020-07-02 04:00:00,134.782776,148.021164,4.903664,4.997355,0.71103,1.350393,1.106313,1.106313
2020-07-06 04:00:00,135.214996,150.195984,4.906866,5.011941,0.703876,1.37908,1.307125,1.307125
