Time,Y_Close,X_Close,Y_adj,X_adj,Beta,Spread,ZScore,ZClip
2020-05-08 04:00:00,101.194221,46.621227,4.617042,3.842056,0.889554,1.199327,-0.066456,-0.066456
2020-05-11 04:00:00,100.03096,45.210438,4.60548,3.811328,0.868269,1.296221,0.055435,0.055435
2020-05-12 04:00:00,97.226509,45.486092,4.577043,3.817407,0.852183,1.323914,0.108386,0.108386
2020-05-13 04:00:00,96.631363,45.826645,4.570903,3.824866,0.838885,1.362282,0.173943,0.173943
2020-05-14 04:00:00,99.616158,45.956364,4.601324,3.827692,0.824126,1.446823,0.290446,0.290446
2020-05-15 04:00:00,100.166229,45.842857,4.606831,3.825219,0.808929,1.512499,0.389352,0.389352
2020-05-18 04:00:00,98.326653,47.772564,4.588295,3.866451,0.802843,1.484143,0.386486,0.386486
2020-05-19 04:00:00,99.390717,47.220551,4.599059,3.854829,0.794572,1.536119,0.475071,0.475071
2020-05-20 04:00:00,102.763252,48.34095,4.632428,3.878279,0.788757,1.573407,0.549546,0.549546
2020-05-21 04:00:00,101.888535,47.964752,4.623879,3.870466,0.782177,1.596489,0.61016,0.61016
2020-05-22 04:00:00,101.74427,49.06881,4.622463,3.893224,0.779055,1.589428,0.640496,0.640496
2020-05-26 04:00:00,101.672119,48.978844,4.621753,3.891388,0.775782,1.602882,0.697323,0.697323
2020-05-27 04:00:00,104.188004,49.829376,4.646197,3.908605,0.774318,1.619695,0.763638,0.763638
2020-05-28 04:00:00,106.469429,50.957951,4.667858,3.931001,0.775509,1.619333,0.810376,0.810376
2020-05-29 04:00:00,106.658791,50.450909,4.669635,3.921001,0.775495,1.62892,0.873462,0.873462
2020-06-01 04:00:00,106.803085,51.489529,4.670987,3.941378,0.77778,1.60546,0.892607,0.892607
2020-06-02 04:00:00,110.563377,51.554955,4.705589,3.942648,0.780754,1.627349,0.979902,0.979902
2020-06-03 04:00:00,107.758934,51.857552,4.679897,3.948501,0.783803,1.585049,0.986619,0.986619
2020-06-04 04:00:00,107.785995,51.039738,4.680148,3.932604,0.785129,1.592546,1.072578,1.072578
2020-06-05 04:00:00,105.594734,51.571316,4.659609,3.942966,0.787186,1.555762,1.07613,1.07613
2020-06-08 04:00:00,105.324219,53.239647,4.657043,3.974803,0.791068,1.512702,1.031463,1.031463
2020-06-09 04:00:00,105.270088,51.988396,4.656529,3.951021,0.793568,1.521127,1.073067,1.073067
2020-06-10 04:00:00,103.078865,51.873901,4.635494,3.948816,0.795415,1.494546,1.048029,1.048029
2020-06-11 04:00:00,100.03096,49.845726,4.60548,3.908933,0.794403,1.50021,1.056167,1.056167
2020-06-12 04:00:00,99.733368,49.134235,4.6025,3.894556,0.792192,1.517264,1.060198,1.060198
2020-06-15 04:00:00,101.699196,48.537231,4.622019,3.882331,0.788115,1.562296,1.105866,1.105866
2020-06-16 04:00:00,102.682098,49.04427,4.631638,3.892723,0.785122,1.575375,1.095017,1.095017
2020-06-17 04:00:00,102.528778,48.970669,4.630144,3.891222,0.782042,1.587043,1.084127,1.084127
2020-06-18 04:00:00,100.175209,49.526775,4.606921,3.902513,0.780641,1.560457,1.007441,1.007441
2020-06-19 04:00:00,97.632278,48.537231,4.581208,3.882331,0.778134,1.560235,0.976012,0.976012
2020-06-22 04:00:00,99.111191,49.003372,4.596242,3.891889,0.776094,1.575769,0.971317,0.971317
2020-06-23 04:00:00,96.450989,48.774391,4.569035,3.887205,0.774422,1.558698,0.911873,0.911873
2020-06-24 04:00:00,94.277802,48.283703,4.546246,3.877094,0.772821,1.549944,0.867406,0.867406
2020-06-25 04:00:00,97.65934,48.234634,4.581485,3.876077,0.770009,1.596871,0.91593,0.91593
2020-06-26 04:00:00,99.390717,47.523132,4.599059,3.861217,0.764843,1.645836,0.966478,0.966478
2020-06-29 04:00:00,99.57106,48.398201,4.600872,3.879463,0.761912,1.645061,0.933959,0.933959
2020-06-30 04:00:00,102.763252,48.488152,4.632428,3.881319,0.758285,1.689283,0.979012,0.979012
