Time,Y_Close,X_Close,Y_adj,X_adj,Beta,Spread,ZScore,ZClip
2020-05-08 04:00:00,64.352119,56.612091,4.16437,4.036223,0.179422,3.440182,-0.716991,-0.716991
2020-05-11 04:00:00,63.71513,55.718662,4.154422,4.020315,0.181966,3.42286,-0.706107,-0.706107
2020-05-12 04:00:00,62.598347,53.233253,4.136739,3.974683,0.185576,3.399134,-0.70439,-0.70439
2020-05-13 04:00:00,63.40078,51.040241,4.149476,3.932614,0.188857,3.406774,-0.686222,-0.686222
2020-05-14 04:00:00,63.921955,52.486008,4.157663,3.960547,0.191502,3.399211,-0.690037,-0.690037
2020-05-15 04:00:00,63.19397,52.632202,4.146209,3.963328,0.194483,3.375409,-0.736853,-0.736853
2020-05-18 04:00:00,66.014908,55.442509,4.189881,4.015347,0.195642,3.404311,-0.725062,-0.725062
2020-05-19 04:00:00,65.180054,55.206955,4.177153,4.011089,0.197142,3.386401,-0.762485,-0.762485
2020-05-20 04:00:00,66.154884,55.929836,4.191999,4.024098,0.198151,3.394619,-0.750561,-0.750561
2020-05-21 04:00:00,65.671623,55.881115,4.184667,4.023226,0.199322,3.382748,-0.765916,-0.765916
2020-05-22 04:00:00,65.371681,54.167309,4.180089,3.992078,0.200691,3.378917,-0.757371,-0.757371
2020-05-26 04:00:00,64.99675,58.935066,4.174337,4.076436,0.201622,3.352438,-0.779108,-0.779108
2020-05-27 04:00:00,64.546844,59.576733,4.167391,4.087265,0.202502,3.339712,-0.781397,-0.781397
2020-05-28 04:00:00,67.396332,59.666065,4.210591,4.088763,0.202852,3.381179,-0.683915,-0.683915
2020-05-29 04:00:00,69.737564,59.70668,4.244739,4.089444,0.20281,3.415359,-0.601819,-0.601819
2020-06-01 04:00:00,71.303963,59.0163,4.266952,4.077814,0.202433,3.441469,-0.533394,-0.533394
2020-06-02 04:00:00,71.46228,59.552361,4.26917,4.086856,0.202109,3.44318,-0.521076,-0.521076
2020-06-03 04:00:00,72.420433,62.695675,4.282488,4.138292,0.202073,3.446252,-0.505648,-0.505648
2020-06-04 04:00:00,71.262321,62.590092,4.266368,4.136607,0.202051,3.430563,-0.55778,-0.55778
2020-06-05 04:00:00,72.087143,65.676537,4.277876,4.184742,0.202184,3.431789,-0.564068,-0.564068
2020-06-08 04:00:00,73.120331,68.161964,4.292106,4.221887,0.202537,3.437018,-0.537127,-0.537127
2020-06-09 04:00:00,71.045662,64.336372,4.263323,4.164125,0.202559,3.419843,-0.643411,-0.643411
2020-06-10 04:00:00,71.870514,61.826595,4.274866,4.124334,0.202454,3.439879,-0.515801,-0.515801
2020-06-11 04:00:00,70.279152,57.732983,4.252475,4.055829,0.202162,3.43254,-0.57367,-0.57367
2020-06-12 04:00:00,70.245819,60.348335,4.252001,4.100133,0.202101,3.423358,-0.707304,-0.707304
2020-06-15 04:00:00,70.204178,61.331127,4.251408,4.116287,0.202085,3.419569,-0.803778,-0.803778
2020-06-16 04:00:00,70.137512,62.630699,4.250458,4.137256,0.202088,3.41437,-0.850499,-0.850499
2020-06-17 04:00:00,70.845726,62.257076,4.260505,4.131272,0.202065,3.425718,-0.70347,-0.70347
2020-06-18 04:00:00,70.58744,61.046864,4.256852,4.111642,0.202007,3.426273,-0.675582,-0.675582
2020-06-19 04:00:00,69.062706,57.944153,4.235015,4.05948,0.20204,3.414837,-0.794196,-0.794196
2020-06-22 04:00:00,70.137512,59.406162,4.250458,4.084398,0.201944,3.425638,-0.641271,-0.641271
2020-06-23 04:00:00,69.479286,59.917866,4.241029,4.092975,0.201972,3.414364,-0.749124,-0.749124
2020-06-24 04:00:00,68.671104,57.61927,4.229329,4.053857,0.207225,3.389267,-1.020896,-1.020896
2020-06-25 04:00:00,68.621109,57.14817,4.2286,4.045647,0.212935,3.36714,-1.246694,-1.246694
2020-06-26 04:00:00,68.196182,57.351219,4.222389,4.049194,0.218828,3.336311,-1.557446,-1.557446
2020-06-29 04:00:00,69.229324,59.934113,4.237425,4.093246,0.224696,3.317689,-1.699709,-1.699709
2020-06-30 04:00:00,69.379311,60.876282,4.239589,4.108844,0.231343,3.289036,-1.936864,-1.936864
2020-07-01 04:00:00,70.912384,60.665115,4.261445,4.105369,0.237383,3.286899,-1.865531,-1.865531
2020-07-02 04:00:00,70.545776,60.592037,4.256262,4.104163,0.242255,3.262009,-2.023023,-2.023023
2020-07-06 04:00:00,69.870888,60.786945,4.246649,4.107375,0.247932,3.228298,-2.23248,-2.23248
2020-07-07 04:00:00,70.262466,59.731037,4.252238,4.089852,0.25346,3.215622,-2.237422,-2.237422
