Time,Y_Close,X_Close,Y_adj,X_adj,Beta,Spread,ZScore,ZClip
2020-05-08 04:00:00,361.366669,86.946037,5.889893,4.465288,0.430718,3.966615,1.563794,1.563794
2020-05-11 04:00:00,363.798126,85.311432,5.896599,4.446308,0.41465,4.052936,1.581968,1.581968
2020-05-12 04:00:00,367.311279,83.926941,5.90621,4.429947,0.396682,4.148929,1.613874,1.613874
2020-05-13 04:00:00,361.2901,80.264748,5.889681,4.385331,0.375997,4.240812,1.641708,1.641708
2020-05-14 04:00:00,369.321503,80.586304,5.911668,4.389329,0.355032,4.353316,1.674069,1.674069
2020-05-15 04:00:00,381.201141,80.666687,5.943327,4.390326,0.332551,4.483321,1.710942,1.710942
2020-05-18 04:00:00,375.601105,85.123871,5.928528,4.444107,0.318555,4.512834,1.665706,1.665706
2020-05-19 04:00:00,377.61145,83.310631,5.933866,4.422576,0.302663,4.595317,1.668778,1.668778
2020-05-20 04:00:00,374.471588,85.338234,5.925516,4.446623,0.290417,4.63414,1.65896,1.65896
2020-05-21 04:00:00,378.377258,88.580635,5.935892,4.483913,0.28124,4.674836,1.674755,1.674755
2020-05-22 04:00:00,377.573151,89.411316,5.933764,4.493247,0.273213,4.706149,1.712875,1.712875
2020-05-26 04:00:00,380.119446,92.323227,5.940486,4.525296,0.267546,4.729762,1.706519,1.706519
2020-05-27 04:00:00,382.273315,95.413742,5.946136,4.558223,0.264142,4.742116,1.686958,1.686958
2020-05-28 04:00:00,386.552246,96.10154,5.957267,4.565405,0.26108,4.765331,1.690168,1.690168
2020-05-29 04:00:00,393.099945,95.556679,5.974064,4.55972,0.257353,4.800607,1.699773,1.699773
2020-06-01 04:00:00,384.341034,97.494995,5.95153,4.579801,0.255443,4.781651,1.640965,1.640965
2020-06-02 04:00:00,387.595734,99.147423,5.959963,4.596608,0.25453,4.789989,1.591379,1.591379
2020-06-03 04:00:00,376.903046,102.246887,5.931988,4.62739,0.25525,4.750845,1.492799,1.492799
2020-06-04 04:00:00,375.505463,105.399979,5.928273,4.657762,0.257133,4.730607,1.41745,1.41745
2020-06-05 04:00:00,373.198425,111.080864,5.92211,4.710258,0.260363,4.695731,1.334145,1.334145
2020-06-08 04:00:00,381.086273,114.332176,5.943026,4.739108,0.265074,4.68681,1.278846,1.278846
2020-06-09 04:00:00,373.504761,112.776558,5.922931,4.725408,0.268461,4.654345,1.205298,1.205298
2020-06-10 04:00:00,375.735168,108.784149,5.928885,4.689366,0.271116,4.657521,1.167903,1.167903
2020-06-11 04:00:00,357.575897,99.405602,5.879348,4.599208,0.270679,4.634438,1.108075,1.108075
