Time,Y_Close,X_Close,Y_adj,X_adj,Beta,Spread,ZScore,ZClip
2020-05-08 04:00:00,11.140819,38.069576,2.410616,3.639415,-1.325759,7.235603,1.499835,1.499835
2020-05-11 04:00:00,11.148076,38.295628,2.411267,3.645336,-1.332977,7.270415,1.462146,1.462146
2020-05-12 04:00:00,10.879535,38.3297,2.386883,3.646225,-1.345346,7.292316,1.419527,1.419527
2020-05-13 04:00:00,10.690829,38.308029,2.369386,3.64566,-1.361113,7.331542,1.379844,1.379844
2020-05-14 04:00:00,10.770666,38.21822,2.376826,3.643312,-1.374625,7.385014,1.344267,1.344267
2020-05-15 04:00:00,10.770666,38.998566,2.376826,3.663525,-1.384902,7.45045,1.312203,1.312203
2020-05-18 04:00:00,11.242426,39.531174,2.419695,3.67709,-1.375863,7.478866,1.273011,1.273011
2020-05-19 04:00:00,11.13356,38.691994,2.409964,3.655633,-1.379001,7.451086,1.223719,1.223719
2020-05-20 04:00:00,11.358555,38.846825,2.429971,3.659626,-1.375861,7.46511,1.185802,1.185802
2020-05-21 04:00:00,11.148076,38.704399,2.411267,3.655953,-1.378464,7.450867,1.143297,1.143297
2020-05-22 04:00:00,11.184364,38.500015,2.414517,3.650659,-1.381542,7.458054,1.106746,1.106746
2020-05-26 04:00:00,11.46742,38.354469,2.43951,3.646871,-1.380648,7.474556,1.073635,1.073635
2020-05-27 04:00:00,11.590807,37.927147,2.450212,3.635667,-1.380648,7.469787,1.037315,1.037315
2020-05-28 04:00:00,11.409361,38.301823,2.434434,3.645497,-1.381029,7.46897,1.003177,1.003177
2020-05-29 04:00:00,11.46742,38.416405,2.43951,3.648485,-1.379752,7.473515,0.971294,0.971294
2020-06-01 04:00:00,11.445648,38.385437,2.43761,3.647678,-1.37907,7.468014,0.938291,0.938291
2020-06-02 04:00:00,11.525486,38.379238,2.444561,3.647517,-1.37726,7.46814,0.907402,0.907402
2020-06-03 04:00:00,11.721447,38.2337,2.46142,3.643717,-1.37386,7.467376,0.877239,0.877239
2020-06-04 04:00:00,11.77951,37.812572,2.466362,3.632642,-1.372591,7.452494,0.847431,0.847431
2020-06-05 04:00:00,12.135146,37.642254,2.496106,3.628127,-1.369342,7.464254,0.822573,0.822573
2020-06-08 04:00:00,13.042376,37.543159,2.568204,3.625491,-1.360843,7.501928,0.805194,0.805194
2020-06-09 04:00:00,12.548842,37.577229,2.529628,3.626398,-1.355365,7.444722,0.769144,0.769144
2020-06-10 04:00:00,12.287561,37.518383,2.508587,3.624831,-1.352189,7.410045,0.748686,0.748686
2020-06-11 04:00:00,11.256945,37.187054,2.420985,3.615961,-1.354863,7.320115,0.710231,0.710231
2020-06-12 04:00:00,11.249686,36.459354,2.42034,3.596198,-1.352414,7.283888,0.675044,0.675044
2020-06-15 04:00:00,11.503711,36.564644,2.44267,3.599082,-1.351377,7.306385,0.655576,0.655576
2020-06-16 04:00:00,11.590807,37.0508,2.450212,3.61229,-1.352426,7.335567,0.637831,0.637831
