Time,Y_Close,X_Close,Y_adj,X_adj,Beta,Spread,ZScore,ZClip
2020-05-08 04:00:00,179.713715,122.598442,5.191365,4.808914,1.078114,0.006808,-0.788137,-0.788137
2020-05-11 04:00:00,175.227448,121.543091,5.166085,4.800269,1.064915,0.054208,-0.744337,-0.744337
2020-05-12 04:00:00,170.506516,122.561073,5.138774,4.808609,1.058874,0.047063,-0.721828,-0.721828
2020-05-13 04:00:00,167.568863,119.889984,5.121394,4.786575,1.051717,0.087274,-0.680468,-0.680468
2020-05-14 04:00:00,173.15329,118.90934,5.154177,4.778361,1.038209,0.193237,-0.611543,-0.611543
2020-05-15 04:00:00,169.802628,120.54377,5.134637,4.792013,1.031542,0.191472,-0.587089,-0.587089
2020-05-18 04:00:00,181.909912,126.567642,5.203512,4.840777,1.024842,0.242479,-0.539493,-0.539493
2020-05-19 04:00:00,177.639526,127.977936,5.179756,4.851858,1.022355,0.219435,-0.524405,-0.524405
2020-05-20 04:00:00,180.089157,129.43483,5.193452,4.863178,1.01999,0.233058,-0.49246,-0.49246
2020-05-21 04:00:00,183.223892,128.12738,5.210709,4.853025,1.014998,0.2849,-0.441251,-0.441251
2020-05-22 04:00:00,186.236649,125.325523,5.227018,4.830915,1.005393,0.370052,-0.370861,-0.370861
2020-05-26 04:00:00,199.263702,128.314133,5.294629,4.854481,0.993839,0.470057,-0.289009,-0.289009
2020-05-27 04:00:00,201.628876,125.166786,5.306429,4.829647,0.976995,0.587889,-0.191364,-0.191364
2020-05-28 04:00:00,201.178391,126.894547,5.304192,4.843356,0.963793,0.636197,-0.125974,-0.125974
2020-05-29 04:00:00,200.699707,126.390228,5.30181,4.839374,0.95067,0.70116,-0.043651,-0.043651
2020-06-01 04:00:00,203.834473,129.761734,5.317308,4.8657,0.941139,0.738009,0.029516,0.029516
2020-06-02 04:00:00,203.346466,130.434204,5.314911,4.870869,0.932848,0.771133,0.113191,0.113191
2020-06-03 04:00:00,209.803635,138.101822,5.346172,4.927991,0.929827,0.763991,0.186745,0.186745
2020-06-04 04:00:00,211.840256,139.372009,5.355832,4.937147,0.927409,0.777078,0.311555,0.311555
2020-06-05 04:00:00,221.385391,145.601379,5.399905,4.980873,0.927758,0.778859,0.475759,0.475759
2020-06-08 04:00:00,223.365723,147.861526,5.40881,4.996276,0.929009,0.767224,0.620854,0.620854
2020-06-09 04:00:00,218.813751,141.744232,5.388221,4.954024,0.927464,0.793541,0.875521,0.875521
2020-06-10 04:00:00,210.638962,138.438049,5.350146,4.930423,0.924743,0.79077,1.092218,1.092218
2020-06-11 04:00:00,204.970123,127.090675,5.322864,4.844901,0.91283,0.900292,1.544415,1.544415
2020-06-12 04:00:00,205.533203,131.932587,5.325608,4.882291,0.906438,0.900111,1.644963,1.644963
2020-06-15 04:00:00,211.089462,129.079987,5.352282,4.860432,0.895518,0.999679,1.944705,1.944705
2020-06-16 04:00:00,214.609024,133.171204,5.368818,4.891636,0.88844,1.022893,1.976698,1.976698
2020-06-17 04:00:00,216.045029,131.425858,5.375487,4.878443,0.879364,1.085558,2.052718,2.052718
2020-06-18 04:00:00,211.23967,132.655151,5.352993,4.887753,0.872968,1.086142,1.957056,1.957056
2020-06-19 04:00:00,208.15181,130.318604,5.338268,4.869982,0.86535,1.124029,1.949872,1.949872
2020-06-22 04:00:00,209.963196,132.429901,5.346932,4.886053,0.859401,1.147853,1.908466,1.908466
2020-06-23 04:00:00,214.928131,132.336075,5.370304,4.885345,0.852355,1.206256,1.939853,1.939853
2020-06-24 04:00:00,211.57753,130.712708,5.354592,4.873002,0.842198,1.250557,1.937957,1.937957
2020-06-25 04:00:00,211.417938,131.829407,5.353837,4.881509,0.83301,1.287491,1.918049,1.918049
2020-06-26 04:00:00,211.483673,130.224747,5.354148,4.869262,0.822434,1.349503,1.944568,1.944568
2020-06-29 04:00:00,216.427963,129.624222,5.377258,4.86464,0.810676,1.433612,2.001217,2.001217
2020-06-30 04:00:00,219.422791,131.491577,5.391,4.878943,0.799641,1.489599,1.997828,1.997828
2020-07-01 04:00:00,217.878265,127.588036,5.383936,4.848807,0.784081,1.582079,2.049487,2.049487
2020-07-02 04:00:00,219.5923,126.762253,5.391773,4.842313,0.767211,1.676698,2.092919,2.092919
2020-07-06 04:00:00,224.367081,127.625526,5.413283,4.8491,0.750927,1.771962,2.126515,2.126515
2020-07-07 04:00:00,223.68895,122.999451,5.410256,4.81218,0.729272,1.90087,2.198531,2.198531
2020-07-08 04:00:00,230.356705,123.984726,5.439629,4.820158,0.70719,2.030861,2.254859,2.254859
2020-07-09 04:00:00,228.313065,122.858688,5.430718,4.811035,0.683883,2.140535,2.269837,2.269837
2020-07-10 04:00:00,224.828522,120.503441,5.415338,4.791678,0.660614,2.249888,2.277202,2.277202
2020-07-13 04:00:00,218.292633,122.980659,5.385837,4.812027,0.643555,2.28903,2.195678,2.195678
2020-07-14 04:00:00,225.026291,124.772949,5.416217,4.826496,0.626024,2.394713,2.202576,2.202576
2020-07-15 04:00:00,232.654633,126.264931,5.449555,4.838382,0.608756,2.504163,2.209906,2.209906
2020-07-16 04:00:00,237.853195,126.405663,5.471654,4.839496,0.593299,2.600383,2.199395,2.199395
2020-07-17 04:00:00,233.408035,129.192581,5.452788,4.861304,0.58335,2.616948,2.106851,2.106851
2020-07-20 04:00:00,239.925049,127.287735,5.480327,4.84645,0.569201,2.72172,2.117696,2.117696
2020-07-21 04:00:00,239.23761,129.492889,5.477457,4.863626,0.56001,2.75378,2.052816,2.052816
2020-07-22 04:00:00,242.759781,132.495605,5.492072,4.886549,0.554962,2.780224,1.989003,1.989003
2020-07-23 04:00:00,248.881302,135.329437,5.516976,4.907712,0.553424,2.800931,1.924121,1.924121
2020-07-24 04:00:00,250.303375,132.99292,5.522674,4.890296,0.548525,2.840225,1.885114,1.885114
2020-07-27 04:00:00,256.161224,133.208771,5.545807,4.891918,0.541893,2.894911,1.864978,1.864978
2020-07-28 04:00:00,255.172333,128.366837,5.541939,4.854892,0.525533,2.990531,1.886199,1.886199
2020-07-29 04:00:00,258.59082,131.407104,5.555247,4.8783,0.516867,3.033814,1.85583,1.85583
2020-07-30 04:00:00,255.096939,130.609467,5.541644,4.872212,0.509901,3.057299,1.808665,1.808665
2020-07-31 04:00:00,252.525986,131.1819,5.531514,4.876585,0.506035,3.063793,1.747813,1.747813
2020-08-03 04:00:00,254.447159,129.061203,5.539093,4.860287,0.49874,3.115072,1.733401,1.733401
2020-08-04 04:00:00,257.121735,129.089417,5.54955,4.860505,0.488459,3.175393,1.726277,1.726277
2020-08-05 04:00:00,257.357208,129.802475,5.550465,4.866014,0.479149,3.218921,1.703359,1.703359
2020-08-06 04:00:00,255.106384,135.151138,5.541681,4.906394,0.477072,3.200977,1.625723,1.625723
2020-08-07 04:00:00,251.226318,135.366959,5.526354,4.907989,0.47502,3.194961,1.564323,1.564323
2020-08-10 04:00:00,253.966843,133.452698,5.537204,4.893747,0.471018,3.232159,1.545675,1.545675
2020-08-11 04:00:00,257.545654,134.062637,5.551197,4.898307,0.465218,3.272415,1.531899,1.531899
2020-08-12 04:00:00,261.350342,136.07074,5.565862,4.913175,0.465899,3.27682,1.485357,1.485357
2020-08-13 04:00:00,261.162018,136.962143,5.565141,4.919705,0.467121,3.267043,1.42949,1.42949
2020-08-14 04:00:00,261.783478,136.408539,5.567518,4.915654,0.467416,3.269861,1.388991,1.388991
2020-08-17 04:00:00,260.738159,138.275848,5.563517,4.929251,0.475857,3.217896,1.298068,1.298068
2020-08-18 04:00:00,262.047272,140.56546,5.568525,4.945673,0.489896,3.14566,1.189924,1.189924
2020-08-19 04:00:00,263.506989,141.184784,5.57408,4.95007,0.516925,3.015267,1.026433,1.026433
2020-08-20 04:00:00,259.655182,142.26387,5.559355,4.957684,0.541629,2.87413,0.853574,0.853574
2020-08-21 04:00:00,261.237305,142.554749,5.565429,4.959726,0.566084,2.757809,0.706713,0.706713
2020-08-24 04:00:00,266.125061,144.478409,5.583966,4.97313,0.590103,2.649306,0.567528,0.567528
2020-08-25 04:00:00,267.462372,145.238434,5.588979,4.978377,0.624127,2.481838,0.364295,0.364295
2020-08-26 04:00:00,269.92041,143.877808,5.598127,4.968964,0.648355,2.376476,0.225064,0.225064
2020-08-27 04:00:00,266.586609,142.451523,5.585699,4.959002,0.673608,2.245277,0.053598,0.053598
2020-08-28 04:00:00,268.112274,144.112442,5.591406,4.970594,0.724084,1.99228,-0.26123,-0.26123
2020-08-31 04:00:00,264.006165,145.210281,5.575972,4.978183,0.785646,1.664882,-0.670623,-0.670623
2020-09-01 04:00:00,269.995789,144.290741,5.598406,4.97183,0.829724,1.473159,-0.928346,-0.928346
2020-09-02 04:00:00,271.041046,147.406082,5.60227,4.993191,0.906118,1.077852,-1.422784,-1.422784
2020-09-03 04:00:00,262.471008,144.056122,5.570141,4.970203,0.947423,0.861257,-1.691499,-1.691499
2020-09-04 04:00:00,261.36911,143.605682,5.565934,4.967071,1.001302,0.592397,-1.989606,-1.989606
2020-09-08 04:00:00,253.420639,143.08963,5.535051,4.963471,1.048435,0.331175,-2.242261,-2.242261
2020-09-09 04:00:00,257.498413,144.103073,5.551014,4.970529,1.097596,0.095379,-2.417277,-2.417277
2020-09-10 04:00:00,254.682602,141.072113,5.540018,4.949271,1.100169,0.094986,-2.323236,-2.323236
2020-09-11 04:00:00,258.647461,144.375183,5.555466,4.972415,1.071431,0.227867,-2.104816,-2.104816
2020-09-14 04:00:00,260.38031,146.994659,5.562143,4.990396,1.054574,0.2994,-1.96954,-1.96954
2020-09-15 04:00:00,257.31955,147.74852,5.550319,4.995512,1.048869,0.310681,-1.902052,-1.902052
2020-09-16 04:00:00,258.157715,148.021759,5.553571,4.997359,1.088055,0.11617,-2.027874,-2.027874
2020-09-17 04:00:00,258.638092,149.048828,5.55543,5.004274,1.08575,0.122037,-1.95196,-1.95196
2020-09-18 04:00:00,252.064514,148.229019,5.529685,4.998759,1.076025,0.150897,-1.860102,-1.860102
2020-09-21 04:00:00,251.414642,143.762695,5.527104,4.968164,1.062321,0.249317,-1.71441,-1.71441
2020-09-22 04:00:00,254.710861,148.191391,5.540129,4.998505,1.035327,0.365044,-1.564124,-1.564124
2020-09-23 04:00:00,245.189606,143.414017,5.502032,4.965736,1.005423,0.509369,-1.398273,-1.398273
2020-09-24 04:00:00,248.683609,142.933487,5.516181,4.962379,0.961117,0.746752,-1.162231,-1.162231
2020-09-25 04:00:00,248.608231,145.110153,5.515878,4.977493,0.95819,0.746493,-1.138818,-1.138818
2020-09-28 04:00:00,255.972809,147.588318,5.545071,4.994427,0.966663,0.717144,-1.138675,-1.138675
2020-09-29 04:00:00,256.773346,148.549438,5.548194,5.000918,0.991296,0.590806,-1.2166,-1.2166
2020-09-30 04:00:00,257.462769,147.757919,5.550875,4.995575,1.030198,0.404443,-1.335074,-1.335074
2020-10-01 04:00:00,258.794434,147.739075,5.556034,4.995448,1.048434,0.318639,-1.3615,-1.3615
2020-10-02 04:00:00,260.267792,147.852127,5.561711,4.996213,1.08764,0.127629,-1.465641,-1.465641
2020-10-05 04:00:00,266.264893,148.417526,5.584492,5.000029,1.11789,-0.00499,-1.513873,-1.513873
2020-10-06 04:00:00,262.931,147.899277,5.571892,4.996531,1.165254,-0.250337,-1.639592,-1.639592
2020-10-07 04:00:00,262.298248,151.055862,5.569482,5.01765,1.238239,-0.643566,-1.854882,-1.854882
2020-10-08 04:00:00,261.438812,153.373886,5.5662,5.032879,1.290991,-0.931201,-1.967301,-1.967301
2020-10-09 04:00:00,267.728821,157.15239,5.589975,5.057216,1.283745,-0.9022,-1.852199,-1.852199
2020-10-12 04:00:00,273.329224,158.612915,5.610677,5.066467,1.313132,-1.042263,-1.859017,-1.859017
2020-10-13 04:00:00,269.551575,156.64357,5.59676,5.053973,1.347874,-1.215357,-1.884341,-1.884341
2020-10-14 04:00:00,271.99762,157.284271,5.605793,5.058055,1.376328,-1.355747,-1.884617,-1.884617
2020-10-15 04:00:00,272.148743,161.684708,5.606349,5.085648,1.393049,-1.478208,-1.872377,-1.872377
2020-10-16 04:00:00,272.205444,161.043945,5.606557,5.081677,1.37406,-1.375973,-1.727138,-1.727138
2020-10-19 04:00:00,262.978241,160.33728,5.572071,5.07728,1.359591,-1.330954,-1.628863,-1.628863
2020-10-20 04:00:00,268.248291,159.150024,5.591913,5.069847,1.339048,-1.196858,-1.486439,-1.486439
2020-10-21 04:00:00,268.20105,160.648224,5.591737,5.079217,1.304167,-1.032408,-1.336115,-1.336115
2020-10-22 04:00:00,272.583191,159.300735,5.607944,5.070794,1.282432,-0.895005,-1.209792,-1.209792
2020-10-23 04:00:00,272.082642,164.690582,5.606106,5.104068,1.249352,-0.770672,-1.096534,-1.096534
2020-10-26 04:00:00,266.15155,162.353714,5.584066,5.089777,1.211316,-0.581265,-0.947553,-0.947553
2020-10-27 04:00:00,267.879913,162.410248,5.590539,5.090126,1.178882,-0.410118,-0.81247,-0.81247
2020-10-28 04:00:00,257.859497,154.994568,5.552415,5.04339,1.150838,-0.251711,-0.686263,-0.686263
2020-10-29 04:00:00,261.202728,153.486923,5.565297,5.033615,1.121966,-0.082246,-0.552463,-0.552463
2020-10-30 04:00:00,256.565613,148.935776,5.547384,5.003515,1.09036,0.091753,-0.413742,-0.413742
2020-11-02 05:00:00,267.823212,154.033447,5.590327,5.03717,1.053011,0.286129,-0.258101,-0.258101
2020-11-03 05:00:00,275.067047,156.417419,5.617015,5.052528,1.021491,0.455902,-0.113923,-0.113923
2020-11-04 05:00:00,277.192047,151.074738,5.624711,5.017775,0.988604,0.664117,0.064202,0.064202
2020-11-05 05:00:00,287.174774,151.564713,5.660091,5.021013,0.974034,0.769454,0.176226,0.176226
2020-11-06 05:00:00,289.592499,154.985138,5.668475,5.043329,0.957915,0.837396,0.266765,0.266765
2020-11-09 05:00:00,275.614777,160.431488,5.619004,5.077867,0.93308,0.880947,0.345013,0.345013
2020-11-10 05:00:00,277.966431,157.171234,5.6275,5.057336,0.912178,1.014308,0.503143,0.503143
2020-11-11 05:00:00,276.332581,159.932068,5.621605,5.074749,0.886664,1.122007,0.650126,0.650126
2020-11-12 05:00:00,274.944305,157.8591,5.616569,5.061703,0.872458,1.200447,0.778613,0.778613
2020-11-13 05:00:00,282.216461,160.657654,5.642674,5.079276,0.860627,1.27131,0.904863,0.904863
2020-11-16 05:00:00,284.993073,163.861374,5.652465,5.099021,0.84736,1.331758,1.025514,1.025514
2020-11-17 05:00:00,282.471375,159.781311,5.643577,5.073806,0.834642,1.408764,1.165807,1.165807
2020-11-18 05:00:00,279.694794,157.783707,5.633699,5.061225,0.824248,1.461995,1.279235,1.279235
2020-11-19 05:00:00,281.923676,159.395004,5.641636,5.071385,0.813743,1.514832,1.390687,1.390687
2020-11-20 05:00:00,278.240295,157.642349,5.628485,5.060329,0.811086,1.524126,1.449696,1.449696
2020-11-23 05:00:00,279.420959,159.60231,5.632719,5.072685,0.80931,1.527345,1.484913,1.484913
2020-11-24 05:00:00,284.001434,161.948532,5.648979,5.087279,0.815854,1.498501,1.4624,1.4624
2020-11-25 05:00:00,272.913757,162.193558,5.609156,5.08879,0.818478,1.444091,1.401488,1.401488
2020-11-27 05:00:00,273.848785,163.446823,5.612576,5.096488,0.81289,1.46969,1.410541,1.410541
2020-11-30 05:00:00,271.837036,161.628174,5.605203,5.085298,0.803468,1.519327,1.434972,1.434972
2020-12-01 05:00:00,272.328217,160.657654,5.607008,5.079276,0.785145,1.619042,1.500005,1.500005
2020-12-02 05:00:00,265.377075,161.185333,5.581152,5.082555,0.765259,1.691681,1.523846,1.523846
2020-12-03 05:00:00,264.942719,161.241852,5.579514,5.082905,0.746502,1.785116,1.561218,1.561218
2020-12-04 05:00:00,260.664307,160.563354,5.563233,5.078689,0.729442,1.858624,1.573993,1.573993
2020-12-07 05:00:00,261.656067,160.619949,5.567031,5.079041,0.712733,1.947031,1.599699,1.599699
2020-12-08 05:00:00,267.237701,162.523331,5.588139,5.090822,0.695302,2.048483,1.634167,1.634167
