Time,Y_Close,X_Close,Y_adj,X_adj,Beta,Spread,ZScore,ZClip
2020-05-08 04:00:00,26.433664,76.71006,3.274638,4.340033,-0.244663,4.336483,-0.373015,-0.373015
2020-05-11 04:00:00,26.53368,75.965874,3.278415,4.330284,-0.256282,4.388189,-0.301934,-0.301934
2020-05-12 04:00:00,25.727358,75.108406,3.247555,4.318932,-0.265381,4.393718,-0.266637,-0.266637
2020-05-13 04:00:00,25.027292,73.401581,3.219967,4.295945,-0.271666,4.387028,-0.239974,-0.239974
2020-05-14 04:00:00,25.164803,74.170052,3.225446,4.30636,-0.278101,4.42305,-0.168674,-0.168674
2020-05-15 04:00:00,25.002293,73.636185,3.218968,4.299137,-0.283592,4.438168,-0.109548,-0.109548
2020-05-18 04:00:00,24.633509,77.737381,3.204108,4.353336,-0.285923,4.448827,-0.044444,-0.044444
2020-05-19 04:00:00,24.502241,78.004333,3.198765,4.356764,-0.287778,4.452543,0.02335,0.02335
2020-05-20 04:00:00,24.45224,78.611038,3.196722,4.364512,-0.289221,4.459031,0.097728,0.097728
2020-05-21 04:00:00,24.152214,78.716209,3.184376,4.365849,-0.290103,4.450921,0.154301,0.154301
2020-05-22 04:00:00,24.208467,79.059502,3.186702,4.370201,-0.290946,4.458197,0.225033,0.225033
2020-05-26 04:00:00,24.370983,79.345627,3.193393,4.373813,-0.291853,4.469904,0.295567,0.295567
2020-05-27 04:00:00,24.827272,81.429977,3.211943,4.399743,-0.291316,4.493658,0.397056,0.397056
2020-05-28 04:00:00,25.052296,81.511719,3.220965,4.400747,-0.290611,4.499872,0.459602,0.459602
2020-05-29 04:00:00,26.12739,81.503525,3.262984,4.400646,-0.289504,4.536991,0.607008,0.607008
2020-06-01 04:00:00,26.389915,81.152054,3.272982,4.396325,-0.289031,4.543656,0.708364,0.708364
2020-06-02 04:00:00,26.814953,82.696968,3.28896,4.415183,-0.2849,4.546844,0.820032,0.820032
2020-06-03 04:00:00,27.883802,84.724136,3.328046,4.439401,-0.273417,4.541854,0.889969,0.889969
2020-06-04 04:00:00,27.20249,84.356285,3.303309,4.435049,-0.264746,4.477472,0.822359,0.822359
2020-06-05 04:00:00,27.146238,87.176353,3.301238,4.467933,-0.248826,4.412976,0.717171,0.717171
2020-06-08 04:00:00,27.858803,90.282501,3.327149,4.502944,-0.22119,4.323155,0.455114,0.455114
2020-06-09 04:00:00,27.189991,88.1409,3.302849,4.478937,-0.203942,4.216292,0.134603,0.134603
2020-06-10 04:00:00,27.177488,87.159996,3.302389,4.467745,-0.189802,4.150376,-0.074037,-0.074037
2020-06-11 04:00:00,26.271154,82.124763,3.268472,4.40824,-0.188338,4.098709,-0.231214,-0.231214
2020-06-12 04:00:00,25.883619,82.950371,3.25361,4.418242,-0.185902,4.074971,-0.291628,-0.291628
2020-06-15 04:00:00,26.221151,86.350746,3.266566,4.458417,-0.177216,4.056671,-0.336236,-0.336236
2020-06-16 04:00:00,26.483675,86.506065,3.276529,4.460215,-0.167679,4.024412,-0.437958,-0.437958
2020-06-17 04:00:00,26.477421,87.454247,3.276292,4.471116,-0.156621,3.976561,-0.611415,-0.611415
2020-06-18 04:00:00,26.477421,87.936531,3.276292,4.476615,-0.145,3.925401,-0.791196,-0.791196
2020-06-19 04:00:00,26.158648,88.091843,3.26418,4.47838,-0.134683,3.867341,-1.000011,-1.000011
2020-06-22 04:00:00,26.202402,87.380699,3.265851,4.470274,-0.125675,3.827651,-1.129247,-1.129247
2020-06-23 04:00:00,26.058632,90.413277,3.260349,4.504391,-0.112844,3.768641,-1.321553,-1.321553
2020-06-24 04:00:00,25.689854,89.505951,3.246096,4.494305,-0.08076,3.609056,-1.838069,-1.838069
2020-06-25 04:00:00,26.096142,90.339714,3.261787,4.503577,-0.044147,3.460609,-2.244672,-2.244672
2020-06-26 04:00:00,25.808615,87.724014,3.250708,4.474196,-0.011719,3.303142,-2.605008,-2.605008
2020-06-29 04:00:00,26.021133,89.489601,3.258909,4.494122,0.024326,3.149585,-2.858822,-2.858822
2020-06-30 04:00:00,26.496178,90.879196,3.277,4.509531,0.066803,2.975749,-3.076759,-3.076759
2020-07-01 04:00:00,26.733702,93.527596,3.285925,4.538257,0.111949,2.777871,-3.247783,-3.247783
