Time,Y_Close,X_Close,Y_adj,X_adj,Beta,Spread,ZScore,ZClip
2020-05-08 04:00:00,31.438049,31.959431,3.448019,3.464467,1.091293,-0.332729,-0.837825,-0.837825
2020-05-11 04:00:00,30.978861,31.990107,3.433305,3.465427,1.08375,-0.322351,-0.805909,-0.805909
2020-05-12 04:00:00,29.625902,31.085091,3.388649,3.436728,1.077638,-0.314901,-0.775999,-0.775999
2020-05-13 04:00:00,28.846922,29.413101,3.362003,3.38144,1.063098,-0.2328,-0.715133,-0.715133
2020-05-14 04:00:00,28.617325,29.796589,3.354012,3.394394,1.055101,-0.227415,-0.687617,-0.687617
2020-05-15 04:00:00,28.502527,29.451452,3.349993,3.382743,1.045876,-0.187938,-0.645421,-0.645421
2020-05-18 04:00:00,30.249088,31.33819,3.409466,3.444837,1.040605,-0.175249,-0.615674,-0.615674
2020-05-19 04:00:00,29.429104,30.847969,3.381984,3.429071,1.036728,-0.173031,-0.591133,-0.591133
2020-05-20 04:00:00,29.748898,31.13496,3.392792,3.438331,1.033144,-0.159499,-0.560576,-0.560576
2020-05-21 04:00:00,29.412701,30.832462,3.381427,3.428568,1.029735,-0.14909,-0.531158,-0.531158
2020-05-22 04:00:00,29.748898,30.71611,3.392792,3.424787,1.024427,-0.115651,-0.48768,-0.48768
2020-05-26 04:00:00,31.36426,32.701797,3.445669,3.48743,1.022235,-0.119304,-0.463702,-0.463702
2020-05-27 04:00:00,31.405256,33.330074,3.446975,3.50646,1.021687,-0.135528,-0.446932,-0.446932
2020-05-28 04:00:00,31.528255,32.445827,3.450884,3.479572,1.01833,-0.092469,-0.393217,-0.393217
2020-05-29 04:00:00,30.322876,33.306816,3.411902,3.505762,1.019988,-0.163933,-0.411861,-0.411861
2020-06-01 04:00:00,30.962463,33.586048,3.432776,3.514111,1.020748,-0.154248,-0.3775,-0.3775
2020-06-02 04:00:00,30.880468,33.779957,3.430124,3.519868,1.021851,-0.166657,-0.357934,-0.357934
2020-06-03 04:00:00,32.13504,33.826504,3.469947,3.521245,1.021059,-0.12545,-0.294581,-0.294581
2020-06-04 04:00:00,31.766052,34.284138,3.458398,3.534683,1.02139,-0.151891,-0.284025,-0.284025
2020-06-05 04:00:00,34.193195,35.176147,3.532027,3.560368,1.020754,-0.102234,-0.198788,-0.198788
2020-06-08 04:00:00,35.07058,36.4715,3.557363,3.596531,1.021072,-0.114955,-0.170712,-0.170712
2020-06-09 04:00:00,34.184986,35.121857,3.531787,3.558824,1.020379,-0.099562,-0.103492,-0.103492
2020-06-10 04:00:00,33.053421,34.346199,3.498125,3.536491,1.019401,-0.106977,-0.062037,-0.062037
2020-06-11 04:00:00,30.995262,31.608122,3.433834,3.453414,1.014672,-0.070249,0.058196,0.058196
2020-06-12 04:00:00,32.053043,32.112297,3.467392,3.469239,1.009221,-0.033837,0.224289,0.224289
2020-06-15 04:00:00,31.839851,32.182106,3.460719,3.471411,1.004786,-0.027307,0.395607,0.395607
2020-06-16 04:00:00,32.881229,32.694042,3.492902,3.487193,1.000018,0.005648,0.71552,0.71552
2020-06-17 04:00:00,31.569254,32.694042,3.452184,3.487193,0.998124,-0.028468,0.791685,0.791685
2020-06-18 04:00:00,31.101864,32.562176,3.437268,3.483151,0.996956,-0.03528,0.900186,0.900186
2020-06-19 04:00:00,30.962463,34.229847,3.432776,3.533098,0.998139,-0.093746,0.741657,0.741657
2020-06-22 04:00:00,30.954268,33.539513,3.432511,3.512724,0.998933,-0.076465,0.890558,0.890558
2020-06-23 04:00:00,30.716467,33.205982,3.424799,3.50273,0.999714,-0.07693,0.976633,0.976633
2020-06-24 04:00:00,29.83909,31.933891,3.395819,3.463668,1.022778,-0.146746,0.682702,0.682702
2020-06-25 04:00:00,30.167086,32.608715,3.406751,3.48458,1.047214,-0.242349,0.204362,0.204362
2020-06-26 04:00:00,29.83909,31.933891,3.395819,3.463668,1.076722,-0.333587,-0.283628,-0.283628
2020-06-29 04:00:00,30.167086,32.825905,3.406751,3.491218,1.111642,-0.474233,-1.035143,-1.035143
2020-06-30 04:00:00,30.650879,32.880199,3.422661,3.492871,1.128517,-0.519102,-1.279443,-1.279443
2020-07-01 04:00:00,31.889042,31.708956,3.462262,3.456599,1.133182,-0.454694,-0.937886,-0.937886
2020-07-02 04:00:00,31.626654,32.562176,3.454,3.483151,1.139782,-0.516032,-1.279313,-1.279313
2020-07-06 04:00:00,31.265865,33.477459,3.442527,3.510872,1.147338,-0.585632,-1.617161,-1.617161
2020-07-07 04:00:00,30.257284,32.748337,3.409737,3.488852,1.159052,-0.634024,-1.799186,-1.799186
2020-07-08 04:00:00,29.953884,32.802635,3.399659,3.490509,1.169739,-0.683326,-1.967723,-1.967723
2020-07-09 04:00:00,29.796537,30.258465,3.394392,3.409776,1.168699,-0.590609,-1.462024,-1.462024
2020-07-10 04:00:00,29.962173,31.119453,3.399936,3.437833,1.172563,-0.63114,-1.61733,-1.61733
2020-07-13 04:00:00,29.945612,30.700602,3.399383,3.424282,1.169995,-0.607011,-1.465332,-1.465332
2020-07-14 04:00:00,30.301718,31.111698,3.411204,3.437584,1.16771,-0.602897,-1.409415,-1.409415
2020-07-15 04:00:00,30.724064,31.553825,3.425046,3.451695,1.164676,-0.595062,-1.345383,-1.345383
2020-07-16 04:00:00,30.442499,32.073509,3.41584,3.46803,1.160213,-0.607815,-1.381896,-1.381896
2020-07-17 04:00:00,30.210615,32.1278,3.408193,3.469722,1.157339,-0.607452,-1.357508,-1.357508
2020-07-20 04:00:00,29.614353,31.383179,3.388259,3.446272,1.154886,-0.591794,-1.273149,-1.273149
2020-07-21 04:00:00,29.4156,31.344387,3.381525,3.445035,1.152203,-0.587855,-1.248174,-1.248174
2020-07-22 04:00:00,30.202339,31.561579,3.407919,3.451941,1.14553,-0.546382,-1.057378,-1.057378
2020-07-23 04:00:00,29.52326,31.290104,3.385178,3.443302,1.137522,-0.531653,-0.992965,-0.992965
2020-07-24 04:00:00,29.390753,31.421955,3.38068,3.447507,1.129871,-0.514558,-0.922725,-0.922725
2020-07-27 04:00:00,29.233408,30.902264,3.375312,3.430829,1.122805,-0.476842,-0.755626,-0.755626
2020-07-28 04:00:00,29.713726,31.553825,3.391609,3.451695,1.119034,-0.470956,-0.733691,-0.733691
2020-07-29 04:00:00,29.191999,31.926144,3.373895,3.463425,1.118891,-0.501301,-0.876928,-0.876928
2020-07-30 04:00:00,29.895927,31.522787,3.397722,3.450711,1.113181,-0.443544,-0.614878,-0.614878
2020-07-31 04:00:00,29.978731,31.577091,3.400488,3.452432,1.10473,-0.413515,-0.481286,-0.481286
2020-08-03 04:00:00,29.084335,31.864086,3.3702,3.46148,1.09637,-0.424864,-0.527825,-0.527825
2020-08-04 04:00:00,29.134035,31.747742,3.371907,3.457822,1.095857,-0.417372,-0.485394,-0.485394
2020-08-05 04:00:00,29.4156,31.654657,3.381525,3.454885,1.085979,-0.370408,-0.263102,-0.263102
2020-08-06 04:00:00,29.390753,31.716707,3.38068,3.456844,1.06615,-0.304833,0.040913,0.040913
2020-08-07 04:00:00,29.72201,32.205372,3.391888,3.472133,1.040468,-0.220756,0.430596,0.430596
2020-08-10 04:00:00,29.788263,33.244762,3.394114,3.503897,1.012619,-0.153997,0.732684,0.732684
2020-08-11 04:00:00,29.639194,32.461346,3.389098,3.48005,0.976348,-0.008641,1.373108,1.373108
2020-08-12 04:00:00,29.72201,32.438072,3.391888,3.479333,0.931097,0.152293,2.015596,2.015596
2020-08-13 04:00:00,28.744802,31.802032,3.358457,3.45953,0.885753,0.294169,2.473941,2.473941
2020-08-14 04:00:00,29.001532,32.507889,3.367349,3.481483,0.846342,0.420824,2.7693,2.7693
2020-08-17 04:00:00,29.026375,31.941652,3.368205,3.463911,0.804976,0.579839,3.068681,3.068681
2020-08-18 04:00:00,29.134035,31.979313,3.371907,3.465089,0.778725,0.673554,3.079993,3.079993
2020-08-19 04:00:00,28.305885,31.579182,3.34307,3.452498,0.764014,0.705314,2.907175,2.907175
2020-08-20 04:00:00,28.488079,31.155506,3.349486,3.438991,0.72836,0.844662,3.017114,3.017114
2020-08-21 04:00:00,28.223078,30.959362,3.34014,3.432675,0.70028,0.936306,2.973902,2.973902
2020-08-24 04:00:00,28.595734,31.179047,3.353258,3.439746,0.640456,1.150251,3.158496,3.158496
2020-08-25 04:00:00,28.670273,30.990742,3.355861,3.433689,0.577625,1.372475,3.270882,3.270882
2020-08-26 04:00:00,27.982914,30.339548,3.331594,3.412452,0.504706,1.609308,3.336369,3.336369
2020-08-27 04:00:00,28.927,30.865213,3.364775,3.42963,0.452433,1.813097,3.301866,3.301866
2020-08-28 04:00:00,29.059496,30.410154,3.369345,3.414777,0.3738,2.092901,3.342243,3.342243
2020-08-31 04:00:00,28.827616,29.829573,3.361334,3.3955,0.33617,2.21987,3.164465,3.164465
2020-09-01 04:00:00,28.653706,28.841011,3.355283,3.361798,0.350922,2.175554,2.830435,2.830435
2020-09-02 04:00:00,29.12575,29.162689,3.371623,3.37289,0.305793,2.340217,2.78567,2.78567
2020-09-03 04:00:00,29.100904,29.099916,3.370769,3.370735,0.307681,2.333657,2.569138,2.569138
2020-09-04 04:00:00,29.241692,28.942997,3.375595,3.365328,0.301678,2.360349,2.421549,2.421549
2020-09-08 04:00:00,28.670273,28.323187,3.355861,3.343681,0.382945,2.075413,2.001452,2.001452
2020-09-09 04:00:00,28.529493,27.734756,3.350938,3.322686,0.447346,1.864548,1.703612,1.703612
2020-09-10 04:00:00,28.322454,27.201244,3.343655,3.303263,0.497084,1.701655,1.479919,1.479919
2020-09-11 04:00:00,27.875254,27.224783,3.327739,3.304128,0.519629,1.610817,1.340869,1.340869
2020-09-14 04:00:00,29.142317,27.546453,3.372191,3.315874,0.547767,1.555864,1.244305,1.244305
2020-09-15 04:00:00,28.819338,27.671988,3.361047,3.320421,0.530658,1.59904,1.243443,1.243443
2020-09-16 04:00:00,28.951841,28.464413,3.365634,3.348655,0.542895,1.547667,1.155707,1.155707
2020-09-17 04:00:00,28.786211,29.194067,3.359896,3.373966,0.542068,1.530979,1.103948,1.103948
2020-09-18 04:00:00,28.074011,28.974384,3.334844,3.366412,0.550985,1.480001,1.022882,1.022882
2020-09-21 04:00:00,26.624762,28.079969,3.281842,3.335056,0.582903,1.337828,0.861867,0.861867
2020-09-22 04:00:00,27.204464,28.025045,3.303381,3.333099,0.602966,1.293635,0.794229,0.794229
2020-09-23 04:00:00,26.500542,27.507231,3.277165,3.314449,0.607628,1.263215,0.739984,0.739984
2020-09-24 04:00:00,26.368038,27.483685,3.272153,3.313593,0.616154,1.230469,0.684414,0.684414
2020-09-25 04:00:00,26.840075,27.79752,3.289896,3.324947,0.629114,1.198125,0.63044,0.63044
2020-09-28 04:00:00,27.32868,28.29965,3.307937,3.342849,0.638725,1.172776,0.583241,0.583241
2020-09-29 04:00:00,26.765547,27.758291,3.287115,3.323535,0.643739,1.147627,0.536186,0.536186
2020-09-30 04:00:00,27.005707,28.181961,3.296048,3.338682,0.63957,1.160728,0.525074,0.525074
2020-10-01 04:00:00,27.991194,28.142738,3.33189,3.337289,0.63604,1.209241,0.547461,0.547461
2020-10-02 04:00:00,28.76965,28.06428,3.359321,3.334498,0.627539,1.266794,0.57901,0.57901
2020-10-05 04:00:00,29.076054,28.731165,3.369915,3.357982,0.624407,1.273167,0.560628,0.560628
2020-10-06 04:00:00,29.034647,28.205498,3.36849,3.339517,0.619038,1.301203,0.563761,0.563761
2020-10-07 04:00:00,29.158875,28.629173,3.372759,3.354426,0.610174,1.325977,0.563796,0.563796
2020-10-08 04:00:00,29.90353,29.084227,3.397977,3.370196,0.606122,1.355225,0.568564,0.568564
2020-10-09 04:00:00,29.677622,28.51149,3.390393,3.350307,0.60099,1.376891,0.565767,0.565767
2020-10-12 04:00:00,29.736197,28.974384,3.392365,3.366412,0.598238,1.378451,0.542166,0.542166
2020-10-13 04:00:00,28.799091,28.385958,3.360344,3.345895,0.599874,1.35323,0.489913,0.489913
2020-10-14 04:00:00,28.330551,28.174114,3.343941,3.338404,0.604289,1.32658,0.435323,0.435323
2020-10-15 04:00:00,28.288712,29.531433,3.342463,3.385455,0.609431,1.27926,0.356633,0.356633
2020-10-16 04:00:00,27.619345,29.35099,3.318516,3.379326,0.617104,1.233121,0.277189,0.277189
2020-10-19 04:00:00,26.891424,29.005768,3.291807,3.367495,0.629001,1.173651,0.179344,0.179344
2020-10-20 04:00:00,27.042032,29.41375,3.297392,3.381462,0.636055,1.146597,0.117478,0.117478
2020-10-21 04:00:00,27.1257,29.335283,3.300482,3.378791,0.643003,1.127908,0.063206,0.063206
2020-10-22 04:00:00,27.426914,29.429436,3.311525,3.381995,0.649434,1.115143,0.012818,0.012818
2020-10-23 04:00:00,27.435286,29.845263,3.31183,3.396026,0.654011,1.090791,-0.05556,-0.05556
2020-10-26 04:00:00,26.73246,29.194067,3.285879,3.373966,0.661603,1.053654,-0.146344,-0.146344
2020-10-27 04:00:00,26.012892,28.244732,3.258592,3.340907,0.672101,1.013165,-0.250192,-0.250192
2020-10-28 04:00:00,24.766216,27.138474,3.20948,3.300952,0.690275,0.930917,-0.428962,-0.428962
2020-10-29 04:00:00,25.033968,26.298983,3.220234,3.26953,0.703375,0.920528,-0.506173,-0.506173
2020-10-30 04:00:00,26.138399,26.706963,3.263405,3.284924,0.707756,0.938481,-0.540808,-0.540808
2020-11-02 05:00:00,27.435286,28.079969,3.31183,3.335056,0.709354,0.946095,-0.595551,-0.595551
2020-11-03 05:00:00,28.924597,29.319599,3.364692,3.378256,0.707765,0.973682,-0.615905,-0.615905
2020-11-04 05:00:00,28.640129,28.480101,3.354809,3.349206,0.704168,0.996406,-0.639525,-0.639525
