Time,Z
2020-05-08 04:00:00,0.181892
2020-05-11 04:00:00,0.330517
2020-05-12 04:00:00,0.375174
2020-05-13 04:00:00,0.338907
2020-05-14 04:00:00,0.476087
2020-05-15 04:00:00,0.579836
2020-05-18 04:00:00,0.619216
2020-05-19 04:00:00,0.71486
2020-05-20 04:00:00,0.682447
2020-05-21 04:00:00,0.70632
2020-05-22 04:00:00,0.729894
2020-05-26 04:00:00,0.788296
2020-05-27 04:00:00,0.895078
2020-05-28 04:00:00,0.945315
2020-05-29 04:00:00,1.008364
2020-06-01 04:00:00,1.126339
2020-06-02 04:00:00,1.215852
2020-06-03 04:00:00,1.228747
2020-06-04 04:00:00,1.272375
2020-06-05 04:00:00,1.299157
2020-06-08 04:00:00,1.241924
2020-06-09 04:00:00,1.176665
2020-06-10 04:00:00,1.131767
2020-06-11 04:00:00,1.074156
2020-06-12 04:00:00,1.048414
2020-06-15 04:00:00,1.126769
2020-06-16 04:00:00,1.123598
2020-06-17 04:00:00,1.096494
2020-06-18 04:00:00,1.076315
2020-06-19 04:00:00,1.120354
2020-06-22 04:00:00,1.039356
2020-06-23 04:00:00,1.055196
2020-06-24 04:00:00,0.927344
2020-06-25 04:00:00,1.091189
2020-06-26 04:00:00,1.049169
2020-06-29 04:00:00,1.027468
2020-06-30 04:00:00,1.019783
2020-07-01 04:00:00,0.92996
2020-07-02 04:00:00,0.848911
2020-07-06 04:00:00,0.872162
2020-07-07 04:00:00,0.791965
2020-07-08 04:00:00,0.60609
2020-07-09 04:00:00,0.499527
2020-07-10 04:00:00,0.413196
2020-07-13 04:00:00,0.373527
2020-07-14 04:00:00,0.322451
2020-07-15 04:00:00,0.257128
2020-07-16 04:00:00,0.241807
2020-07-17 04:00:00,0.135621
2020-07-20 04:00:00,0.101159
2020-07-21 04:00:00,-0.018275
2020-07-22 04:00:00,-0.038006
2020-07-23 04:00:00,0.014901
2020-07-24 04:00:00,-0.067428
2020-07-27 04:00:00,-0.127196
2020-07-28 04:00:00,-0.008872
2020-07-29 04:00:00,0.539177
