Time,Z
2020-05-08 04:00:00,-0.490724
2020-05-11 04:00:00,-0.400045
2020-05-12 04:00:00,-0.377702
2020-05-13 04:00:00,-0.414555
2020-05-14 04:00:00,-0.377329
2020-05-15 04:00:00,-0.337016
2020-05-18 04:00:00,-0.31192
2020-05-19 04:00:00,-0.292077
2020-05-20 04:00:00,-0.280385
2020-05-21 04:00:00,-0.284901
2020-05-22 04:00:00,-0.256512
2020-05-26 04:00:00,-0.24425
2020-05-27 04:00:00,-0.18652
2020-05-28 04:00:00,-0.192587
2020-05-29 04:00:00,-0.205729
2020-06-01 04:00:00,-0.183327
2020-06-02 04:00:00,-0.157326
2020-06-03 04:00:00,-0.104788
2020-06-04 04:00:00,-0.028453
2020-06-05 04:00:00,0.060552
2020-06-08 04:00:00,0.088821
2020-06-09 04:00:00,0.132914
2020-06-10 04:00:00,0.16306
2020-06-11 04:00:00,0.16922
2020-06-12 04:00:00,0.396595
2020-06-15 04:00:00,0.725635
2020-06-16 04:00:00,0.865355
2020-06-17 04:00:00,0.877557
2020-06-18 04:00:00,0.919102
2020-06-19 04:00:00,1.001733
2020-06-22 04:00:00,0.946361
2020-06-23 04:00:00,0.950381
2020-06-24 04:00:00,0.680053
2020-06-25 04:00:00,0.800052
2020-06-26 04:00:00,0.670406
2020-06-29 04:00:00,0.537375
2020-06-30 04:00:00,0.470086
2020-07-01 04:00:00,0.247481
2020-07-02 04:00:00,0.066402
2020-07-06 04:00:00,0.083445
2020-07-07 04:00:00,-0.043175
2020-07-08 04:00:00,-0.327821
2020-07-09 04:00:00,-0.488409
2020-07-10 04:00:00,-0.543834
2020-07-13 04:00:00,-0.47001
2020-07-14 04:00:00,-0.407594
2020-07-15 04:00:00,-0.287453
2020-07-16 04:00:00,-0.128524
2020-07-17 04:00:00,-0.219492
2020-07-20 04:00:00,-0.125465
2020-07-21 04:00:00,0.045185
2020-07-22 04:00:00,0.344299
2020-07-23 04:00:00,0.784244
2020-07-24 04:00:00,1.23596
2020-07-27 04:00:00,1.674582
2020-07-28 04:00:00,2.373121
2020-07-29 04:00:00,3.202785
2020-07-30 04:00:00,3.641984
2020-07-31 04:00:00,3.983422
2020-08-03 04:00:00,4.092853
2020-08-04 04:00:00,3.93072
2020-08-05 04:00:00,3.856877
2020-08-06 04:00:00,3.78559
2020-08-07 04:00:00,3.729657
2020-08-10 04:00:00,3.642825
2020-08-11 04:00:00,3.563207
2020-08-12 04:00:00,3.43196
2020-08-13 04:00:00,3.311311
2020-08-14 04:00:00,3.160656
2020-08-17 04:00:00,3.006693
2020-08-18 04:00:00,2.810897
2020-08-19 04:00:00,2.607156
2020-08-20 04:00:00,2.539165
2020-08-21 04:00:00,2.428242
2020-08-24 04:00:00,2.437658
2020-08-25 04:00:00,2.360505
2020-08-26 04:00:00,2.288795
2020-08-27 04:00:00,2.104209
2020-08-28 04:00:00,1.975238
2020-08-31 04:00:00,1.835818
2020-09-01 04:00:00,1.760028
2020-09-02 04:00:00,1.644063
2020-09-03 04:00:00,1.582326
2020-09-04 04:00:00,1.372839
2020-09-08 04:00:00,0.857212
2020-09-09 04:00:00,0.923384
2020-09-10 04:00:00,1.263532
2020-09-11 04:00:00,1.732424
2020-09-14 04:00:00,1.997287
2020-09-15 04:00:00,2.134403
2020-09-16 04:00:00,2.097854
2020-09-17 04:00:00,2.037363
2020-09-18 04:00:00,1.960181
2020-09-21 04:00:00,1.920283
2020-09-22 04:00:00,1.970104
2020-09-23 04:00:00,1.944439
2020-09-24 04:00:00,1.985962
2020-09-25 04:00:00,1.940507
2020-09-28 04:00:00,1.909682
2020-09-29 04:00:00,1.8452
2020-09-30 04:00:00,1.810031
2020-10-01 04:00:00,1.761139
2020-10-02 04:00:00,1.765955
2020-10-05 04:00:00,1.726298
2020-10-06 04:00:00,1.706899
2020-10-07 04:00:00,1.741096
2020-10-08 04:00:00,1.716186
2020-10-09 04:00:00,1.679119
2020-10-12 04:00:00,1.657766
2020-10-13 04:00:00,1.616303
2020-10-14 04:00:00,1.593844
2020-10-15 04:00:00,1.558636
2020-10-16 04:00:00,1.541403
2020-10-19 04:00:00,1.511585
2020-10-20 04:00:00,1.474379
2020-10-21 04:00:00,1.439232
2020-10-22 04:00:00,1.403427
2020-10-23 04:00:00,1.358959
2020-10-26 04:00:00,1.29947
2020-10-27 04:00:00,1.253431
2020-10-28 04:00:00,1.211643
2020-10-29 04:00:00,1.170153
2020-10-30 04:00:00,1.16054
2020-11-02 05:00:00,1.205218
2020-11-03 05:00:00,1.204409
2020-11-04 05:00:00,1.175345
2020-11-05 05:00:00,1.125409
2020-11-06 05:00:00,1.10019
2020-11-09 05:00:00,1.063243
2020-11-10 05:00:00,1.025568
2020-11-11 05:00:00,0.981618
2020-11-12 05:00:00,0.952934
2020-11-13 05:00:00,0.882257
2020-11-16 05:00:00,0.78241
2020-11-17 05:00:00,0.707472
2020-11-18 05:00:00,0.653251
2020-11-19 05:00:00,0.610448
2020-11-20 05:00:00,0.558334
2020-11-23 05:00:00,0.501946
2020-11-24 05:00:00,0.444472
2020-11-25 05:00:00,0.383888
2020-11-27 05:00:00,0.316524
2020-11-30 05:00:00,0.240369
2020-12-01 05:00:00,0.199827
2020-12-02 05:00:00,0.111124
2020-12-03 05:00:00,0.0201
2020-12-04 05:00:00,-0.065552
2020-12-07 05:00:00,-0.179194
2020-12-08 05:00:00,-0.247906
2020-12-09 05:00:00,-0.357473
2020-12-10 05:00:00,-0.396671
2020-12-11 05:00:00,-0.475004
2020-12-14 05:00:00,-0.348626
2020-12-15 05:00:00,-0.360001
2020-12-16 05:00:00,-0.233047
2020-12-17 05:00:00,-0.11663
2020-12-18 05:00:00,0.071676
2020-12-21 05:00:00,0.382388
2020-12-22 05:00:00,0.884722
2020-12-23 05:00:00,1.388125
2020-12-24 05:00:00,2.126945
2020-12-28 05:00:00,2.937965
2020-12-29 05:00:00,3.741561
2020-12-30 05:00:00,4.108009
2020-12-31 05:00:00,4.206291
2021-01-04 05:00:00,4.08712
2021-01-05 05:00:00,4.008929
2021-01-06 05:00:00,3.930833
2021-01-07 05:00:00,3.711999
2021-01-08 05:00:00,3.567413
2021-01-11 05:00:00,3.363214
2021-01-12 05:00:00,3.125197
2021-01-13 05:00:00,2.944571
2021-01-14 05:00:00,2.772185
2021-01-15 05:00:00,2.650044
2021-01-19 05:00:00,2.53681
2021-01-20 05:00:00,2.436069
2021-01-21 05:00:00,2.329048
2021-01-22 05:00:00,2.226123
2021-01-25 05:00:00,2.167797
2021-01-26 05:00:00,2.073532
2021-01-27 05:00:00,2.027
2021-01-28 05:00:00,1.955264
2021-01-29 05:00:00,1.86285
2021-02-01 05:00:00,1.80625
2021-02-02 05:00:00,1.785873
2021-02-03 05:00:00,1.723427
2021-02-04 05:00:00,1.652643
2021-02-05 05:00:00,1.599363
2021-02-08 05:00:00,1.521475
2021-02-09 05:00:00,1.47014
2021-02-10 05:00:00,1.404754
2021-02-11 05:00:00,1.318202
2021-02-12 05:00:00,1.228817
2021-02-16 05:00:00,1.096944
2021-02-17 05:00:00,1.031375
2021-02-18 05:00:00,0.98845
2021-02-19 05:00:00,0.914416
2021-02-22 05:00:00,0.845578
2021-02-23 05:00:00,0.831358
2021-02-24 05:00:00,0.771185
2021-02-25 05:00:00,0.720064
2021-02-26 05:00:00,0.629361
2021-03-01 05:00:00,0.618746
2021-03-02 05:00:00,0.589536
2021-03-03 05:00:00,0.559133
2021-03-04 05:00:00,0.51023
2021-03-05 05:00:00,0.513913
2021-03-08 05:00:00,0.520401
2021-03-09 05:00:00,0.499527
2021-03-10 05:00:00,0.505016
2021-03-11 05:00:00,0.486126
2021-03-12 05:00:00,0.491814
2021-03-15 04:00:00,0.488048
2021-03-16 04:00:00,0.460212
2021-03-17 04:00:00,0.445024
2021-03-18 04:00:00,0.439001
2021-03-19 04:00:00,0.394057
2021-03-22 04:00:00,0.353698
2021-03-23 04:00:00,0.33038
2021-03-24 04:00:00,0.277237
2021-03-25 04:00:00,0.214426
2021-03-26 04:00:00,0.118189
2021-03-29 04:00:00,-0.01716
