Time,Z
2020-05-08 04:00:00,0.044209
2020-05-11 04:00:00,0.070705
2020-05-12 04:00:00,0.208612
2020-05-13 04:00:00,0.320677
2020-05-14 04:00:00,0.431786
2020-05-15 04:00:00,0.585734
2020-05-18 04:00:00,0.703892
2020-05-19 04:00:00,0.811176
2020-05-20 04:00:00,0.935286
2020-05-21 04:00:00,1.073584
2020-05-22 04:00:00,1.189848
2020-05-26 04:00:00,1.217391
2020-05-27 04:00:00,1.226261
2020-05-28 04:00:00,1.226546
2020-05-29 04:00:00,1.256321
2020-06-01 04:00:00,1.252149
2020-06-02 04:00:00,1.265816
2020-06-03 04:00:00,1.255024
2020-06-04 04:00:00,1.250973
2020-06-05 04:00:00,1.21653
2020-06-08 04:00:00,1.135791
2020-06-09 04:00:00,1.111631
2020-06-10 04:00:00,1.08104
2020-06-11 04:00:00,1.08184
2020-06-12 04:00:00,1.131466
2020-06-15 04:00:00,1.169422
2020-06-16 04:00:00,1.150646
2020-06-17 04:00:00,1.1253
2020-06-18 04:00:00,1.111655
2020-06-19 04:00:00,1.127834
2020-06-22 04:00:00,1.113863
2020-06-23 04:00:00,1.120575
2020-06-24 04:00:00,1.120349
2020-06-25 04:00:00,1.114711
2020-06-26 04:00:00,1.087497
2020-06-29 04:00:00,1.107134
2020-06-30 04:00:00,1.130137
2020-07-01 04:00:00,1.076419
2020-07-02 04:00:00,1.077109
2020-07-06 04:00:00,1.093958
2020-07-07 04:00:00,1.089721
2020-07-08 04:00:00,1.057555
2020-07-09 04:00:00,1.052976
2020-07-10 04:00:00,1.054708
2020-07-13 04:00:00,1.026336
2020-07-14 04:00:00,1.024239
2020-07-15 04:00:00,1.003163
2020-07-16 04:00:00,0.993818
2020-07-17 04:00:00,0.945958
2020-07-20 04:00:00,0.96311
2020-07-21 04:00:00,0.987866
2020-07-22 04:00:00,0.96531
2020-07-23 04:00:00,0.928282
2020-07-24 04:00:00,0.949216
2020-07-27 04:00:00,0.996866
2020-07-28 04:00:00,0.903653
2020-07-29 04:00:00,0.852064
2020-07-30 04:00:00,0.757434
2020-07-31 04:00:00,0.671407
2020-08-03 04:00:00,0.721547
2020-08-04 04:00:00,0.529146
2020-08-05 04:00:00,0.248516
2020-08-06 04:00:00,-0.249912
2020-08-07 04:00:00,-1.08611
2020-08-10 04:00:00,-1.49384
2020-08-11 04:00:00,-1.800015
2020-08-12 04:00:00,-2.23457
2020-08-13 04:00:00,-2.681372
2020-08-14 04:00:00,-3.04679
2020-08-17 04:00:00,-3.229967
2020-08-18 04:00:00,-3.180753
2020-08-19 04:00:00,-2.954877
2020-08-20 04:00:00,-3.024902
2020-08-21 04:00:00,-3.050542
2020-08-24 04:00:00,-3.106678
2020-08-25 04:00:00,-3.156287
2020-08-26 04:00:00,-3.160515
2020-08-27 04:00:00,-3.079545
2020-08-28 04:00:00,-3.037582
2020-08-31 04:00:00,-3.004496
2020-09-01 04:00:00,-2.738067
2020-09-02 04:00:00,-2.565905
2020-09-03 04:00:00,-2.071984
2020-09-04 04:00:00,-1.697514
2020-09-08 04:00:00,-1.441018
2020-09-09 04:00:00,-1.227179
2020-09-10 04:00:00,-1.02794
2020-09-11 04:00:00,-0.757449
2020-09-14 04:00:00,-0.618718
2020-09-15 04:00:00,-0.442929
2020-09-16 04:00:00,-0.313066
2020-09-17 04:00:00,-0.222643
2020-09-18 04:00:00,-0.176323
2020-09-21 04:00:00,-0.127958
2020-09-22 04:00:00,-0.038385
2020-09-23 04:00:00,0.007477
2020-09-24 04:00:00,0.076472
2020-09-25 04:00:00,0.077715
2020-09-28 04:00:00,0.108671
2020-09-29 04:00:00,0.151479
2020-09-30 04:00:00,0.147593
2020-10-01 04:00:00,0.179556
2020-10-02 04:00:00,0.246581
2020-10-05 04:00:00,0.383441
2020-10-06 04:00:00,0.52233
2020-10-07 04:00:00,0.645832
2020-10-08 04:00:00,0.764346
2020-10-09 04:00:00,0.921946
2020-10-12 04:00:00,1.041733
2020-10-13 04:00:00,1.192311
2020-10-14 04:00:00,1.310262
2020-10-15 04:00:00,1.397077
2020-10-16 04:00:00,1.460831
2020-10-19 04:00:00,1.487328
2020-10-20 04:00:00,1.546091
2020-10-21 04:00:00,1.637159
2020-10-22 04:00:00,1.734688
2020-10-23 04:00:00,1.858674
2020-10-26 04:00:00,1.98406
2020-10-27 04:00:00,2.109803
2020-10-28 04:00:00,2.155196
2020-10-29 04:00:00,2.217578
2020-10-30 04:00:00,2.220451
2020-11-02 05:00:00,2.231611
2020-11-03 05:00:00,2.210538
2020-11-04 05:00:00,2.162314
2020-11-05 05:00:00,2.103718
2020-11-06 05:00:00,2.033382
2020-11-09 05:00:00,2.018077
2020-11-10 05:00:00,1.893399
2020-11-11 05:00:00,1.806731
2020-11-12 05:00:00,1.714671
2020-11-13 05:00:00,1.654003
2020-11-16 05:00:00,1.58958
2020-11-17 05:00:00,1.49831
2020-11-18 05:00:00,1.4455
2020-11-19 05:00:00,1.390036
2020-11-20 05:00:00,1.330209
2020-11-23 05:00:00,1.273847
2020-11-24 05:00:00,1.244121
2020-11-25 05:00:00,1.184223
2020-11-27 05:00:00,1.160999
2020-11-30 05:00:00,1.133736
2020-12-01 05:00:00,1.187534
2020-12-02 05:00:00,1.189161
2020-12-03 05:00:00,1.158255
2020-12-04 05:00:00,1.137219
2020-12-07 05:00:00,1.100813
2020-12-08 05:00:00,1.093275
2020-12-09 05:00:00,1.06292
2020-12-10 05:00:00,1.034814
2020-12-11 05:00:00,0.994479
2020-12-14 05:00:00,0.980848
2020-12-15 05:00:00,0.995998
2020-12-16 05:00:00,1.040298
2020-12-17 05:00:00,1.061316
2020-12-18 05:00:00,1.062357
2020-12-21 05:00:00,1.035699
2020-12-22 05:00:00,1.007653
2020-12-23 05:00:00,0.970729
2020-12-24 05:00:00,0.924171
2020-12-28 05:00:00,0.908124
2020-12-29 05:00:00,0.910343
2020-12-30 05:00:00,0.898351
2020-12-31 05:00:00,0.88949
2021-01-04 05:00:00,0.868132
2021-01-05 05:00:00,0.879066
2021-01-06 05:00:00,0.893269
2021-01-07 05:00:00,0.865012
