Time,Z
2020-05-08 04:00:00,-0.788336
2020-05-11 04:00:00,-0.749667
2020-05-12 04:00:00,-0.69665
2020-05-13 04:00:00,-0.657613
2020-05-14 04:00:00,-0.613488
2020-05-15 04:00:00,-0.558729
2020-05-18 04:00:00,-0.481258
2020-05-19 04:00:00,-0.413334
2020-05-20 04:00:00,-0.339273
2020-05-21 04:00:00,-0.251939
2020-05-22 04:00:00,-0.162863
2020-05-26 04:00:00,-0.070012
2020-05-27 04:00:00,0.019178
2020-05-28 04:00:00,0.131329
2020-05-29 04:00:00,0.282341
2020-06-01 04:00:00,0.540362
2020-06-02 04:00:00,0.95284
2020-06-03 04:00:00,1.433736
2020-06-04 04:00:00,2.032089
2020-06-05 04:00:00,2.369743
2020-06-08 04:00:00,2.418595
2020-06-09 04:00:00,2.387004
2020-06-10 04:00:00,2.341982
2020-06-11 04:00:00,2.281947
2020-06-12 04:00:00,2.257751
2020-06-15 04:00:00,2.22895
2020-06-16 04:00:00,2.19625
2020-06-17 04:00:00,2.149149
2020-06-18 04:00:00,2.107602
2020-06-19 04:00:00,2.054047
2020-06-22 04:00:00,2.004075
2020-06-23 04:00:00,1.93597
2020-06-24 04:00:00,1.869419
2020-06-25 04:00:00,1.808919
2020-06-26 04:00:00,1.756424
2020-06-29 04:00:00,1.706696
2020-06-30 04:00:00,1.645694
2020-07-01 04:00:00,1.603192
2020-07-02 04:00:00,1.579217
2020-07-06 04:00:00,1.554713
2020-07-07 04:00:00,1.535078
2020-07-08 04:00:00,1.524887
2020-07-09 04:00:00,1.509987
2020-07-10 04:00:00,1.522582
2020-07-13 04:00:00,1.503028
2020-07-14 04:00:00,1.490042
2020-07-15 04:00:00,1.47301
2020-07-16 04:00:00,1.46469
2020-07-17 04:00:00,1.434351
2020-07-20 04:00:00,1.433961
2020-07-21 04:00:00,1.443442
2020-07-22 04:00:00,1.424742
2020-07-23 04:00:00,1.405244
2020-07-24 04:00:00,1.39178
2020-07-27 04:00:00,1.357945
2020-07-28 04:00:00,1.350173
2020-07-29 04:00:00,1.345127
2020-07-30 04:00:00,1.355043
2020-07-31 04:00:00,1.332252
2020-08-03 04:00:00,1.334663
2020-08-04 04:00:00,1.355665
2020-08-05 04:00:00,1.355764
2020-08-06 04:00:00,1.380223
2020-08-07 04:00:00,1.410823
2020-08-10 04:00:00,1.462231
2020-08-11 04:00:00,1.491575
2020-08-12 04:00:00,1.498575
2020-08-13 04:00:00,1.511038
2020-08-14 04:00:00,1.518292
2020-08-17 04:00:00,1.500466
2020-08-18 04:00:00,1.490169
2020-08-19 04:00:00,1.473838
2020-08-20 04:00:00,1.459811
2020-08-21 04:00:00,1.441324
2020-08-24 04:00:00,1.453859
2020-08-25 04:00:00,1.442351
2020-08-26 04:00:00,1.403124
2020-08-27 04:00:00,1.403477
2020-08-28 04:00:00,1.387306
2020-08-31 04:00:00,1.356266
2020-09-01 04:00:00,1.330879
2020-09-02 04:00:00,1.280419
2020-09-03 04:00:00,1.280833
2020-09-04 04:00:00,1.318109
2020-09-08 04:00:00,1.274664
2020-09-09 04:00:00,1.271622
2020-09-10 04:00:00,1.252623
2020-09-11 04:00:00,1.305056
2020-09-14 04:00:00,1.331779
2020-09-15 04:00:00,1.376802
2020-09-16 04:00:00,1.475464
2020-09-17 04:00:00,1.583373
2020-09-18 04:00:00,1.726066
2020-09-21 04:00:00,1.856128
2020-09-22 04:00:00,2.028329
2020-09-23 04:00:00,2.124069
2020-09-24 04:00:00,2.214389
2020-09-25 04:00:00,2.250318
2020-09-28 04:00:00,2.32361
2020-09-29 04:00:00,2.324309
2020-09-30 04:00:00,2.337113
2020-10-01 04:00:00,2.347401
2020-10-02 04:00:00,2.37703
2020-10-05 04:00:00,2.393411
2020-10-06 04:00:00,2.409688
2020-10-07 04:00:00,2.408526
2020-10-08 04:00:00,2.410446
2020-10-09 04:00:00,2.39833
2020-10-12 04:00:00,2.376545
2020-10-13 04:00:00,2.3441
2020-10-14 04:00:00,2.31512
2020-10-15 04:00:00,2.293849
2020-10-16 04:00:00,2.250584
2020-10-19 04:00:00,2.166511
2020-10-20 04:00:00,2.110898
2020-10-21 04:00:00,2.074621
2020-10-22 04:00:00,2.054973
2020-10-23 04:00:00,2.030434
2020-10-26 04:00:00,2.005168
2020-10-27 04:00:00,1.975529
2020-10-28 04:00:00,1.921784
2020-10-29 04:00:00,1.910815
2020-10-30 04:00:00,1.894019
2020-11-02 05:00:00,1.908899
2020-11-03 05:00:00,1.910565
2020-11-04 05:00:00,1.906179
2020-11-05 05:00:00,1.869471
2020-11-06 05:00:00,1.840254
2020-11-09 05:00:00,1.807384
2020-11-10 05:00:00,1.758397
2020-11-11 05:00:00,1.722389
2020-11-12 05:00:00,1.682018
2020-11-13 05:00:00,1.651993
2020-11-16 05:00:00,1.623709
2020-11-17 05:00:00,1.592118
2020-11-18 05:00:00,1.547865
2020-11-19 05:00:00,1.509635
2020-11-20 05:00:00,1.462242
2020-11-23 05:00:00,1.433432
2020-11-24 05:00:00,1.378017
2020-11-25 05:00:00,1.305717
2020-11-27 05:00:00,1.239035
2020-11-30 05:00:00,1.176972
2020-12-01 05:00:00,1.152575
2020-12-02 05:00:00,1.124886
2020-12-03 05:00:00,1.091948
2020-12-04 05:00:00,1.056817
2020-12-07 05:00:00,1.00727
2020-12-08 05:00:00,0.960812
2020-12-09 05:00:00,0.916768
2020-12-10 05:00:00,0.881388
2020-12-11 05:00:00,0.829588
2020-12-14 05:00:00,0.808811
2020-12-15 05:00:00,0.778549
2020-12-16 05:00:00,0.763535
2020-12-17 05:00:00,0.747105
2020-12-18 05:00:00,0.697083
2020-12-21 05:00:00,0.66126
2020-12-22 05:00:00,0.615982
2020-12-23 05:00:00,0.561773
2020-12-24 05:00:00,0.523275
2020-12-28 05:00:00,0.478901
2020-12-29 05:00:00,0.487562
2020-12-30 05:00:00,0.501631
2020-12-31 05:00:00,0.530371
2021-01-04 05:00:00,0.478052
2021-01-05 05:00:00,0.346469
2021-01-06 05:00:00,0.145946
2021-01-07 05:00:00,-0.157904
2021-01-08 05:00:00,-0.581068
2021-01-11 05:00:00,-1.121612
2021-01-12 05:00:00,-1.606028
2021-01-13 05:00:00,-2.091324
2021-01-14 05:00:00,-2.507661
2021-01-15 05:00:00,-2.83872
2021-01-19 05:00:00,-3.049648
2021-01-20 05:00:00,-3.182583
2021-01-21 05:00:00,-3.268761
2021-01-22 05:00:00,-3.249558
2021-01-25 05:00:00,-3.14292
2021-01-26 05:00:00,-3.042597
