Time,Z
2021-02-05 05:00:00,-0.179327
2021-02-08 05:00:00,-0.303563
2021-02-09 05:00:00,-0.460501
2021-02-10 05:00:00,0.094037
2021-02-11 05:00:00,0.371393
2021-02-12 05:00:00,0.877953
2021-02-16 05:00:00,0.734905
2021-02-17 05:00:00,0.999248
2021-02-18 05:00:00,1.44707
2021-02-19 05:00:00,1.264566
2021-02-22 05:00:00,0.867813
2021-02-23 05:00:00,0.085492
2021-02-24 05:00:00,0.442636
2021-02-25 05:00:00,0.172627
2021-02-26 05:00:00,0.006036
2021-03-01 05:00:00,0.893304
2021-03-02 05:00:00,0.298444
2021-03-03 05:00:00,-0.087617
2021-03-04 05:00:00,-0.761015
2021-03-05 05:00:00,0.116117
2021-03-08 05:00:00,0.065884
2021-03-09 05:00:00,0.019448
2021-03-10 05:00:00,0.111688
2021-03-11 05:00:00,0.521951
2021-03-12 05:00:00,0.562528
2021-03-15 04:00:00,1.106552
2021-03-16 04:00:00,1.414456
2021-03-17 04:00:00,1.226419
2021-03-18 04:00:00,1.030022
2021-03-19 04:00:00,1.150272
2021-03-22 04:00:00,1.424809
2021-03-23 04:00:00,1.361188
2021-03-24 04:00:00,1.943432
2021-03-25 04:00:00,1.892241
2021-03-26 04:00:00,2.896867
2021-03-29 04:00:00,3.364983
2021-03-30 04:00:00,2.596059
2021-03-31 04:00:00,2.493138
2021-04-01 04:00:00,2.632518
2021-04-05 04:00:00,2.896495
2021-04-06 04:00:00,2.428844
2021-04-07 04:00:00,2.163675
2021-04-08 04:00:00,2.037054
2021-04-09 04:00:00,2.087962
2021-04-12 04:00:00,1.995623
2021-04-13 04:00:00,1.872315
2021-04-14 04:00:00,1.835158
2021-04-15 04:00:00,1.728403
2021-04-16 04:00:00,1.795714
2021-04-19 04:00:00,1.621338
2021-04-20 04:00:00,1.900234
2021-04-21 04:00:00,2.102856
2021-04-22 04:00:00,2.313797
2021-04-23 04:00:00,2.542658
2021-04-26 04:00:00,2.592856
2021-04-27 04:00:00,2.721621
2021-04-28 04:00:00,2.748741
2021-04-29 04:00:00,2.819632
2021-04-30 04:00:00,2.722756
2021-05-03 04:00:00,2.796358
2021-05-04 04:00:00,2.931074
2021-05-05 04:00:00,3.075729
2021-05-06 04:00:00,3.005871
