Time,Z
2020-05-08 04:00:00,-0.694478
2020-05-11 04:00:00,-0.653114
2020-05-12 04:00:00,-0.618511
2020-05-13 04:00:00,-0.571867
2020-05-14 04:00:00,-0.528437
2020-05-15 04:00:00,-0.482953
2020-05-18 04:00:00,-0.470723
2020-05-19 04:00:00,-0.452968
2020-05-20 04:00:00,-0.439668
2020-05-21 04:00:00,-0.423068
2020-05-22 04:00:00,-0.390579
2020-05-26 04:00:00,-0.371983
2020-05-27 04:00:00,-0.36932
2020-05-28 04:00:00,-0.322611
2020-05-29 04:00:00,-0.277496
2020-06-01 04:00:00,-0.231864
2020-06-02 04:00:00,-0.214999
2020-06-03 04:00:00,-0.141632
2020-06-04 04:00:00,-0.07289
2020-06-05 04:00:00,0.116241
2020-06-08 04:00:00,0.331409
2020-06-09 04:00:00,0.87222
2020-06-10 04:00:00,1.196281
2020-06-11 04:00:00,1.301547
2020-06-12 04:00:00,1.300652
2020-06-15 04:00:00,1.360082
2020-06-16 04:00:00,1.49807
2020-06-17 04:00:00,1.659574
2020-06-18 04:00:00,1.597739
2020-06-19 04:00:00,1.568178
2020-06-22 04:00:00,1.554544
2020-06-23 04:00:00,1.509293
2020-06-24 04:00:00,1.202891
2020-06-25 04:00:00,1.078961
2020-06-26 04:00:00,0.860158
2020-06-29 04:00:00,0.712555
2020-06-30 04:00:00,0.74988
2020-07-01 04:00:00,1.098022
2020-07-02 04:00:00,1.106313
2020-07-06 04:00:00,1.307125
2020-07-07 04:00:00,1.563011
2020-07-08 04:00:00,1.917369
2020-07-09 04:00:00,2.038679
2020-07-10 04:00:00,2.200155
2020-07-13 04:00:00,2.518387
2020-07-14 04:00:00,2.981536
2020-07-15 04:00:00,3.479118
2020-07-16 04:00:00,3.72615
2020-07-17 04:00:00,3.907221
2020-07-20 04:00:00,3.950724
2020-07-21 04:00:00,3.852789
2020-07-22 04:00:00,3.75809
2020-07-23 04:00:00,3.593389
2020-07-24 04:00:00,3.450521
2020-07-27 04:00:00,3.3369
2020-07-28 04:00:00,3.239016
2020-07-29 04:00:00,3.163217
2020-07-30 04:00:00,3.085856
2020-07-31 04:00:00,3.022017
2020-08-03 04:00:00,2.919646
2020-08-04 04:00:00,2.844888
2020-08-05 04:00:00,2.779908
2020-08-06 04:00:00,2.719355
2020-08-07 04:00:00,2.654092
2020-08-10 04:00:00,2.564383
2020-08-11 04:00:00,2.502861
2020-08-12 04:00:00,2.451706
2020-08-13 04:00:00,2.376873
2020-08-14 04:00:00,2.298715
2020-08-17 04:00:00,2.234094
2020-08-18 04:00:00,2.133779
2020-08-19 04:00:00,2.032942
2020-08-20 04:00:00,1.966736
2020-08-21 04:00:00,1.891887
2020-08-24 04:00:00,1.835934
2020-08-25 04:00:00,1.766169
2020-08-26 04:00:00,1.709901
2020-08-27 04:00:00,1.631024
2020-08-28 04:00:00,1.561673
2020-08-31 04:00:00,1.483759
2020-09-01 04:00:00,1.422276
2020-09-02 04:00:00,1.363128
2020-09-03 04:00:00,1.364565
2020-09-04 04:00:00,1.327335
2020-09-08 04:00:00,1.358523
2020-09-09 04:00:00,1.366317
2020-09-10 04:00:00,1.363473
2020-09-11 04:00:00,1.434137
2020-09-14 04:00:00,1.446645
2020-09-15 04:00:00,1.439434
2020-09-16 04:00:00,1.39643
2020-09-17 04:00:00,1.355719
2020-09-18 04:00:00,1.306634
2020-09-21 04:00:00,1.264682
2020-09-22 04:00:00,1.242806
2020-09-23 04:00:00,1.209124
2020-09-24 04:00:00,1.195959
2020-09-25 04:00:00,1.172856
2020-09-28 04:00:00,1.149757
2020-09-29 04:00:00,1.107699
2020-09-30 04:00:00,1.075089
