Time,Z
2020-05-08 04:00:00,-0.752834
2020-05-11 04:00:00,-0.718896
2020-05-12 04:00:00,-0.680341
2020-05-13 04:00:00,-0.599133
2020-05-14 04:00:00,-0.559571
2020-05-15 04:00:00,-0.498631
2020-05-18 04:00:00,-0.44462
2020-05-19 04:00:00,-0.397947
2020-05-20 04:00:00,-0.351481
2020-05-21 04:00:00,-0.298822
2020-05-22 04:00:00,-0.24472
2020-05-26 04:00:00,-0.214864
2020-05-27 04:00:00,-0.190636
2020-05-28 04:00:00,-0.118906
2020-05-29 04:00:00,-0.095128
2020-06-01 04:00:00,-0.035797
2020-06-02 04:00:00,0.01479
2020-06-03 04:00:00,0.122512
2020-06-04 04:00:00,0.18748
2020-06-05 04:00:00,0.279445
2020-06-08 04:00:00,0.365787
2020-06-09 04:00:00,0.501673
2020-06-10 04:00:00,0.589869
2020-06-11 04:00:00,0.817245
2020-06-12 04:00:00,1.050686
2020-06-15 04:00:00,1.26745
2020-06-16 04:00:00,1.512811
2020-06-17 04:00:00,1.542362
2020-06-18 04:00:00,1.56622
2020-06-19 04:00:00,1.416799
2020-06-22 04:00:00,1.409797
2020-06-23 04:00:00,1.35525
2020-06-24 04:00:00,1.21584
2020-06-25 04:00:00,1.001473
2020-06-26 04:00:00,0.816301
2020-06-29 04:00:00,0.567815
2020-06-30 04:00:00,0.479202
2020-07-01 04:00:00,0.591467
2020-07-02 04:00:00,0.477318
2020-07-06 04:00:00,0.305865
2020-07-07 04:00:00,0.216432
2020-07-08 04:00:00,0.1272
2020-07-09 04:00:00,0.332217
2020-07-10 04:00:00,0.278973
2020-07-13 04:00:00,0.38297
2020-07-14 04:00:00,0.415705
2020-07-15 04:00:00,0.441416
2020-07-16 04:00:00,0.395636
2020-07-17 04:00:00,0.448144
2020-07-20 04:00:00,0.500245
2020-07-21 04:00:00,0.53049
2020-07-22 04:00:00,0.679529
2020-07-23 04:00:00,0.842502
2020-07-24 04:00:00,0.966792
2020-07-27 04:00:00,1.18674
2020-07-28 04:00:00,1.312485
2020-07-29 04:00:00,1.456371
2020-07-30 04:00:00,1.808463
2020-07-31 04:00:00,1.959277
2020-08-03 04:00:00,2.103767
2020-08-04 04:00:00,2.386919
2020-08-05 04:00:00,2.75634
2020-08-06 04:00:00,3.202925
2020-08-07 04:00:00,3.402213
2020-08-10 04:00:00,3.516829
2020-08-11 04:00:00,3.769254
2020-08-12 04:00:00,3.915402
2020-08-13 04:00:00,3.824546
2020-08-14 04:00:00,3.649759
2020-08-17 04:00:00,3.55955
2020-08-18 04:00:00,3.334073
2020-08-19 04:00:00,3.095135
2020-08-20 04:00:00,3.061989
2020-08-21 04:00:00,2.9411
2020-08-24 04:00:00,2.992167
2020-08-25 04:00:00,3.049955
2020-08-26 04:00:00,3.116417
2020-08-27 04:00:00,3.041865
2020-08-28 04:00:00,3.003587
2020-08-31 04:00:00,2.821808
2020-09-01 04:00:00,2.622264
2020-09-02 04:00:00,2.523664
2020-09-03 04:00:00,2.338166
2020-09-04 04:00:00,2.240108
2020-09-08 04:00:00,1.97255
2020-09-09 04:00:00,1.784848
2020-09-10 04:00:00,1.568432
2020-09-11 04:00:00,1.441279
2020-09-14 04:00:00,1.345129
2020-09-15 04:00:00,1.324698
2020-09-16 04:00:00,1.261389
2020-09-17 04:00:00,1.209932
2020-09-18 04:00:00,1.126882
2020-09-21 04:00:00,1.001866
2020-09-22 04:00:00,0.950808
2020-09-23 04:00:00,0.937647
2020-09-24 04:00:00,0.918592
2020-09-25 04:00:00,0.894302
2020-09-28 04:00:00,0.860525
2020-09-29 04:00:00,0.825011
2020-09-30 04:00:00,0.793733
2020-10-01 04:00:00,0.787508
2020-10-02 04:00:00,0.790651
2020-10-05 04:00:00,0.790585
2020-10-06 04:00:00,0.785293
2020-10-07 04:00:00,0.774526
2020-10-08 04:00:00,0.769117
2020-10-09 04:00:00,0.740419
2020-10-12 04:00:00,0.725514
2020-10-13 04:00:00,0.697104
2020-10-14 04:00:00,0.659929
2020-10-15 04:00:00,0.618013
2020-10-16 04:00:00,0.554934
2020-10-19 04:00:00,0.50704
2020-10-20 04:00:00,0.473484
2020-10-21 04:00:00,0.43895
2020-10-22 04:00:00,0.406896
2020-10-23 04:00:00,0.368826
2020-10-26 04:00:00,0.313014
2020-10-27 04:00:00,0.256639
2020-10-28 04:00:00,0.183105
2020-10-29 04:00:00,0.10161
2020-10-30 04:00:00,0.13789
2020-11-02 05:00:00,0.188327
2020-11-03 05:00:00,0.263829
2020-11-04 05:00:00,0.29875
2020-11-05 05:00:00,0.293062
2020-11-06 05:00:00,0.243981
