Time,Z
2020-05-08 04:00:00,-0.066456
2020-05-11 04:00:00,0.055435
2020-05-12 04:00:00,0.108386
2020-05-13 04:00:00,0.173943
2020-05-14 04:00:00,0.290446
2020-05-15 04:00:00,0.389352
2020-05-18 04:00:00,0.386486
2020-05-19 04:00:00,0.475071
2020-05-20 04:00:00,0.549546
2020-05-21 04:00:00,0.61016
2020-05-22 04:00:00,0.640496
2020-05-26 04:00:00,0.697323
2020-05-27 04:00:00,0.763638
2020-05-28 04:00:00,0.810376
2020-05-29 04:00:00,0.873462
2020-06-01 04:00:00,0.892607
2020-06-02 04:00:00,0.979902
2020-06-03 04:00:00,0.986619
2020-06-04 04:00:00,1.072578
2020-06-05 04:00:00,1.07613
2020-06-08 04:00:00,1.031463
2020-06-09 04:00:00,1.073067
2020-06-10 04:00:00,1.048029
2020-06-11 04:00:00,1.056167
2020-06-12 04:00:00,1.060198
2020-06-15 04:00:00,1.105866
2020-06-16 04:00:00,1.095017
2020-06-17 04:00:00,1.084127
2020-06-18 04:00:00,1.007441
2020-06-19 04:00:00,0.976012
2020-06-22 04:00:00,0.971317
2020-06-23 04:00:00,0.911873
2020-06-24 04:00:00,0.867406
2020-06-25 04:00:00,0.91593
2020-06-26 04:00:00,0.966478
2020-06-29 04:00:00,0.933959
2020-06-30 04:00:00,0.979012
2020-07-01 04:00:00,0.9191
2020-07-02 04:00:00,0.911612
2020-07-06 04:00:00,0.918313
2020-07-07 04:00:00,0.903042
2020-07-08 04:00:00,0.866764
2020-07-09 04:00:00,0.814261
2020-07-10 04:00:00,0.756247
2020-07-13 04:00:00,0.749749
2020-07-14 04:00:00,0.719229
2020-07-15 04:00:00,0.660659
2020-07-16 04:00:00,0.556214
2020-07-17 04:00:00,0.337604
2020-07-20 04:00:00,0.194343
2020-07-21 04:00:00,-0.042979
2020-07-22 04:00:00,-0.405323
2020-07-23 04:00:00,-0.91773
2020-07-24 04:00:00,-1.433221
2020-07-27 04:00:00,-1.941124
2020-07-28 04:00:00,-2.455877
2020-07-29 04:00:00,-2.779608
2020-07-30 04:00:00,-3.126722
2020-07-31 04:00:00,-3.33006
2020-08-03 04:00:00,-3.183002
