Time,Z
2020-05-08 04:00:00,-0.59047
2020-05-11 04:00:00,-0.56133
2020-05-12 04:00:00,-0.588286
2020-05-13 04:00:00,-0.631716
2020-05-14 04:00:00,-0.509232
2020-05-15 04:00:00,-0.516567
2020-05-18 04:00:00,-0.59528
2020-05-19 04:00:00,-0.662657
2020-05-20 04:00:00,-0.661441
2020-05-21 04:00:00,-0.690863
2020-05-22 04:00:00,-0.722574
2020-05-26 04:00:00,-0.599774
2020-05-27 04:00:00,-0.464172
2020-05-28 04:00:00,-0.488431
2020-05-29 04:00:00,-0.452508
2020-06-01 04:00:00,-0.38755
2020-06-02 04:00:00,-0.232022
2020-06-03 04:00:00,0.091847
2020-06-04 04:00:00,0.096176
2020-06-05 04:00:00,0.334907
2020-06-08 04:00:00,0.475844
2020-06-09 04:00:00,0.856529
2020-06-10 04:00:00,0.379205
2020-06-11 04:00:00,-0.33559
2020-06-12 04:00:00,-0.334925
2020-06-15 04:00:00,-0.213065
2020-06-16 04:00:00,-0.605252
2020-06-17 04:00:00,-0.633677
2020-06-18 04:00:00,-0.718881
2020-06-19 04:00:00,-0.300053
2020-06-22 04:00:00,-0.198591
2020-06-23 04:00:00,-1.197542
2020-06-24 04:00:00,-0.288703
2020-06-25 04:00:00,-0.310391
2020-06-26 04:00:00,-0.281721
2020-06-29 04:00:00,0.143296
2020-06-30 04:00:00,-0.615207
2020-07-01 04:00:00,-0.308845
2020-07-02 04:00:00,1.154824
2020-07-06 04:00:00,1.696857
2020-07-07 04:00:00,2.169779
2020-07-08 04:00:00,1.938788
2020-07-09 04:00:00,2.835433
2020-07-10 04:00:00,2.915794
2020-07-13 04:00:00,3.056803
2020-07-14 04:00:00,2.779476
2020-07-15 04:00:00,3.352557
2020-07-16 04:00:00,3.178837
2020-07-17 04:00:00,3.091918
2020-07-20 04:00:00,2.451579
2020-07-21 04:00:00,2.644332
2020-07-22 04:00:00,2.514879
2020-07-23 04:00:00,2.648315
2020-07-24 04:00:00,2.52885
2020-07-27 04:00:00,2.515565
2020-07-28 04:00:00,2.365418
2020-07-29 04:00:00,2.447216
2020-07-30 04:00:00,1.85882
2020-07-31 04:00:00,1.770116
2020-08-03 04:00:00,1.668762
2020-08-04 04:00:00,1.773869
2020-08-05 04:00:00,1.950402
2020-08-06 04:00:00,2.00433
2020-08-07 04:00:00,2.133439
2020-08-10 04:00:00,2.014401
2020-08-11 04:00:00,2.123968
2020-08-12 04:00:00,2.054281
2020-08-13 04:00:00,1.88482
2020-08-14 04:00:00,1.823937
2020-08-17 04:00:00,1.784986
2020-08-18 04:00:00,1.601653
2020-08-19 04:00:00,1.575604
2020-08-20 04:00:00,1.752541
2020-08-21 04:00:00,1.674843
2020-08-24 04:00:00,1.71811
2020-08-25 04:00:00,1.727937
2020-08-26 04:00:00,1.488043
2020-08-27 04:00:00,1.43266
2020-08-28 04:00:00,1.439712
2020-08-31 04:00:00,1.440986
2020-09-01 04:00:00,1.375056
2020-09-02 04:00:00,1.219541
2020-09-03 04:00:00,1.161617
2020-09-04 04:00:00,1.23048
2020-09-08 04:00:00,1.241553
2020-09-09 04:00:00,1.403029
2020-09-10 04:00:00,1.658997
2020-09-11 04:00:00,1.734937
2020-09-14 04:00:00,1.823655
2020-09-15 04:00:00,1.527001
2020-09-16 04:00:00,1.165194
2020-09-17 04:00:00,1.239575
2020-09-18 04:00:00,1.142249
2020-09-21 04:00:00,1.055894
2020-09-22 04:00:00,1.31892
2020-09-23 04:00:00,1.537629
2020-09-24 04:00:00,1.859021
2020-09-25 04:00:00,1.988264
2020-09-28 04:00:00,2.002666
2020-09-29 04:00:00,2.015934
2020-09-30 04:00:00,2.013797
2020-10-01 04:00:00,2.081812
2020-10-02 04:00:00,2.265208
2020-10-05 04:00:00,2.400952
2020-10-06 04:00:00,2.463238
2020-10-07 04:00:00,2.500771
2020-10-08 04:00:00,2.488213
2020-10-09 04:00:00,2.462545
2020-10-12 04:00:00,2.388318
2020-10-13 04:00:00,2.364634
2020-10-14 04:00:00,2.265527
2020-10-15 04:00:00,2.175977
2020-10-16 04:00:00,2.061719
2020-10-19 04:00:00,1.914006
2020-10-20 04:00:00,1.873309
2020-10-21 04:00:00,1.818877
2020-10-22 04:00:00,1.859448
2020-10-23 04:00:00,1.833062
2020-10-26 04:00:00,1.733908
2020-10-27 04:00:00,1.791199
2020-10-28 04:00:00,1.755881
2020-10-29 04:00:00,1.693266
2020-10-30 04:00:00,1.760426
2020-11-02 05:00:00,1.943969
2020-11-03 05:00:00,2.000411
2020-11-04 05:00:00,1.878937
2020-11-05 05:00:00,1.922202
2020-11-06 05:00:00,1.873705
2020-11-09 05:00:00,1.924861
2020-11-10 05:00:00,1.903387
2020-11-11 05:00:00,1.917837
2020-11-12 05:00:00,1.851538
2020-11-13 05:00:00,1.777303
2020-11-16 05:00:00,1.747855
2020-11-17 05:00:00,1.616603
2020-11-18 05:00:00,1.514457
2020-11-19 05:00:00,1.466823
2020-11-20 05:00:00,1.34158
2020-11-23 05:00:00,1.251301
2020-11-24 05:00:00,1.189115
2020-11-25 05:00:00,1.050128
2020-11-27 05:00:00,0.926181
2020-11-30 05:00:00,0.721222
2020-12-01 05:00:00,0.734111
2020-12-02 05:00:00,0.753788
2020-12-03 05:00:00,0.718557
2020-12-04 05:00:00,0.71323
2020-12-07 05:00:00,0.699275
2020-12-08 05:00:00,0.701512
2020-12-09 05:00:00,0.71052
2020-12-10 05:00:00,0.70512
2020-12-11 05:00:00,0.7968
2020-12-14 05:00:00,0.940795
2020-12-15 05:00:00,1.094734
2020-12-16 05:00:00,1.176821
2020-12-17 05:00:00,1.333187
2020-12-18 05:00:00,1.362614
2020-12-21 05:00:00,1.43164
2020-12-22 05:00:00,1.477334
2020-12-23 05:00:00,1.513183
2020-12-24 05:00:00,1.597778
2020-12-28 05:00:00,1.685409
2020-12-29 05:00:00,1.758227
2020-12-30 05:00:00,1.867852
2020-12-31 05:00:00,1.946214
2021-01-04 05:00:00,1.859962
2021-01-05 05:00:00,1.822021
2021-01-06 05:00:00,1.823689
2021-01-07 05:00:00,1.711166
2021-01-08 05:00:00,1.566419
2021-01-11 05:00:00,1.473934
2021-01-12 05:00:00,1.360856
2021-01-13 05:00:00,1.10639
2021-01-14 05:00:00,0.890484
2021-01-15 05:00:00,0.758736
2021-01-19 05:00:00,0.616591
2021-01-20 05:00:00,0.384197
2021-01-21 05:00:00,0.311633
2021-01-22 05:00:00,0.343326
2021-01-25 05:00:00,0.39943
2021-01-26 05:00:00,0.446071
2021-01-27 05:00:00,0.309585
2021-01-28 05:00:00,0.407958
2021-01-29 05:00:00,0.395397
2021-02-01 05:00:00,0.637926
2021-02-02 05:00:00,0.612362
2021-02-03 05:00:00,0.55899
2021-02-04 05:00:00,0.387877
2021-02-05 05:00:00,0.593773
2021-02-08 05:00:00,0.694588
2021-02-09 05:00:00,0.873648
2021-02-10 05:00:00,1.156417
2021-02-11 05:00:00,1.218781
2021-02-12 05:00:00,1.32428
2021-02-16 05:00:00,1.386529
2021-02-17 05:00:00,1.442964
2021-02-18 05:00:00,1.540152
2021-02-19 05:00:00,1.644879
2021-02-22 05:00:00,1.664153
2021-02-23 05:00:00,1.718722
2021-02-24 05:00:00,1.768582
2021-02-25 05:00:00,1.58495
2021-02-26 05:00:00,1.520785
2021-03-01 05:00:00,1.594929
2021-03-02 05:00:00,1.578115
2021-03-03 05:00:00,1.440725
2021-03-04 05:00:00,1.239178
2021-03-05 05:00:00,1.347493
2021-03-08 05:00:00,1.423202
2021-03-09 05:00:00,1.245933
2021-03-10 05:00:00,1.223263
2021-03-11 05:00:00,1.08436
2021-03-12 05:00:00,0.725484
2021-03-15 04:00:00,0.91527
2021-03-16 04:00:00,0.926554
2021-03-17 04:00:00,1.060484
2021-03-18 04:00:00,1.132595
2021-03-19 04:00:00,1.051271
2021-03-22 04:00:00,1.155943
2021-03-23 04:00:00,1.097778
2021-03-24 04:00:00,1.342647
2021-03-25 04:00:00,1.605356
2021-03-26 04:00:00,1.737738
2021-03-29 04:00:00,1.628508
2021-03-30 04:00:00,1.692841
2021-03-31 04:00:00,1.774846
2021-04-01 04:00:00,1.851023
2021-04-05 04:00:00,1.990093
