Time,Z
2020-05-08 04:00:00,-0.71699
2020-05-11 04:00:00,-0.706106
2020-05-12 04:00:00,-0.704389
2020-05-13 04:00:00,-0.686222
2020-05-14 04:00:00,-0.690036
2020-05-15 04:00:00,-0.736852
2020-05-18 04:00:00,-0.725061
2020-05-19 04:00:00,-0.762485
2020-05-20 04:00:00,-0.750562
2020-05-21 04:00:00,-0.765916
2020-05-22 04:00:00,-0.757371
2020-05-26 04:00:00,-0.779108
2020-05-27 04:00:00,-0.781398
2020-05-28 04:00:00,-0.683915
2020-05-29 04:00:00,-0.601818
2020-06-01 04:00:00,-0.533393
2020-06-02 04:00:00,-0.521077
2020-06-03 04:00:00,-0.505648
2020-06-04 04:00:00,-0.55778
2020-06-05 04:00:00,-0.564066
2020-06-08 04:00:00,-0.537129
2020-06-09 04:00:00,-0.643408
2020-06-10 04:00:00,-0.515798
2020-06-11 04:00:00,-0.573669
2020-06-12 04:00:00,-0.707305
2020-06-15 04:00:00,-0.803783
2020-06-16 04:00:00,-0.8505
2020-06-17 04:00:00,-0.703472
2020-06-18 04:00:00,-0.675585
2020-06-19 04:00:00,-0.794199
2020-06-22 04:00:00,-0.641273
2020-06-23 04:00:00,-0.749123
2020-06-24 04:00:00,-1.020894
2020-06-25 04:00:00,-1.246692
2020-06-26 04:00:00,-1.557448
2020-06-29 04:00:00,-1.699708
2020-06-30 04:00:00,-1.936864
2020-07-01 04:00:00,-1.865533
2020-07-02 04:00:00,-2.02302
2020-07-06 04:00:00,-2.232479
2020-07-07 04:00:00,-2.237419
2020-07-08 04:00:00,-2.164023
2020-07-09 04:00:00,-2.211118
2020-07-10 04:00:00,-2.239085
2020-07-13 04:00:00,-2.179516
2020-07-14 04:00:00,-2.204307
2020-07-15 04:00:00,-2.418016
2020-07-16 04:00:00,-2.262883
2020-07-17 04:00:00,-2.064128
2020-07-20 04:00:00,-2.185396
2020-07-21 04:00:00,-2.12764
2020-07-22 04:00:00,-1.88475
2020-07-23 04:00:00,-1.881164
2020-07-24 04:00:00,-1.868897
2020-07-27 04:00:00,-1.829185
2020-07-28 04:00:00,-1.834689
2020-07-29 04:00:00,-1.945268
2020-07-30 04:00:00,-1.977257
2020-07-31 04:00:00,-2.064683
2020-08-03 04:00:00,-2.223345
2020-08-04 04:00:00,-2.185918
2020-08-05 04:00:00,-2.347222
2020-08-06 04:00:00,-2.237707
2020-08-07 04:00:00,-2.051751
2020-08-10 04:00:00,-2.047248
2020-08-11 04:00:00,-2.029789
2020-08-12 04:00:00,-1.716276
2020-08-13 04:00:00,-1.512231
2020-08-14 04:00:00,-1.425496
2020-08-17 04:00:00,-1.246775
2020-08-18 04:00:00,-1.217169
2020-08-19 04:00:00,-1.216098
2020-08-20 04:00:00,-1.091187
2020-08-21 04:00:00,-0.94705
2020-08-24 04:00:00,-0.863837
2020-08-25 04:00:00,-0.791441
2020-08-26 04:00:00,-0.760349
2020-08-27 04:00:00,-0.821617
2020-08-28 04:00:00,-0.81914
2020-08-31 04:00:00,-0.835212
2020-09-01 04:00:00,-1.236066
2020-09-02 04:00:00,-1.561932
2020-09-03 04:00:00,-2.076477
2020-09-04 04:00:00,-3.401387
2020-09-08 04:00:00,-4.486116
2020-09-09 04:00:00,-4.643838
2020-09-10 04:00:00,-4.461707
2020-09-11 04:00:00,-3.357862
2020-09-14 04:00:00,-2.748306
2020-09-15 04:00:00,-2.283194
2020-09-16 04:00:00,-2.088567
2020-09-17 04:00:00,-2.006872
2020-09-18 04:00:00,-1.848929
2020-09-21 04:00:00,-1.640161
2020-09-22 04:00:00,-1.411898
2020-09-23 04:00:00,-1.290651
2020-09-24 04:00:00,-0.996805
2020-09-25 04:00:00,-0.876645
2020-09-28 04:00:00,-0.800018
2020-09-29 04:00:00,-0.70686
2020-09-30 04:00:00,-0.584579
2020-10-01 04:00:00,-0.477487
2020-10-02 04:00:00,-0.435788
2020-10-05 04:00:00,-0.49365
2020-10-06 04:00:00,-0.577617
2020-10-07 04:00:00,-0.662546
2020-10-08 04:00:00,-0.734197
2020-10-09 04:00:00,-0.830038
2020-10-12 04:00:00,-0.875162
2020-10-13 04:00:00,-0.954642
2020-10-14 04:00:00,-0.996211
2020-10-15 04:00:00,-1.019736
2020-10-16 04:00:00,-1.008768
2020-10-19 04:00:00,-0.999769
2020-10-20 04:00:00,-0.963387
2020-10-21 04:00:00,-0.959249
2020-10-22 04:00:00,-0.968339
2020-10-23 04:00:00,-0.985984
2020-10-26 04:00:00,-0.805845
2020-10-27 04:00:00,-0.77114
2020-10-28 04:00:00,-0.7349
2020-10-29 04:00:00,-0.622179
2020-10-30 04:00:00,-0.482349
2020-11-02 05:00:00,-0.334758
2020-11-03 05:00:00,-0.279565
2020-11-04 05:00:00,-0.155365
2020-11-05 05:00:00,-0.137293
2020-11-06 05:00:00,-0.078456
2020-11-09 05:00:00,-0.067686
2020-11-10 05:00:00,-0.037445
2020-11-11 05:00:00,-0.025497
2020-11-12 05:00:00,0.055939
2020-11-13 05:00:00,0.15149
2020-11-16 05:00:00,0.176679
2020-11-17 05:00:00,0.176787
2020-11-18 05:00:00,0.236991
2020-11-19 05:00:00,0.385454
2020-11-20 05:00:00,0.641149
2020-11-23 05:00:00,0.917011
2020-11-24 05:00:00,1.214629
2020-11-25 05:00:00,1.492035
2020-11-27 05:00:00,1.722307
2020-11-30 05:00:00,1.910187
2020-12-01 05:00:00,2.034805
2020-12-02 05:00:00,2.128615
2020-12-03 05:00:00,2.211787
2020-12-04 05:00:00,2.408678
2020-12-07 05:00:00,2.532808
2020-12-08 05:00:00,2.513169
2020-12-09 05:00:00,2.492721
2020-12-10 05:00:00,2.436979
2020-12-11 05:00:00,2.426366
2020-12-14 05:00:00,2.425012
2020-12-15 05:00:00,2.462522
2020-12-16 05:00:00,2.487257
2020-12-17 05:00:00,2.512579
2020-12-18 05:00:00,2.486867
2020-12-21 05:00:00,2.450278
2020-12-22 05:00:00,2.417604
2020-12-23 05:00:00,2.389387
2020-12-24 05:00:00,2.382075
2020-12-28 05:00:00,2.330962
2020-12-29 05:00:00,2.27077
2020-12-30 05:00:00,2.202239
2020-12-31 05:00:00,2.135156
2021-01-04 05:00:00,2.021595
2021-01-05 05:00:00,1.986258
2021-01-06 05:00:00,1.963685
2021-01-07 05:00:00,1.841427
2021-01-08 05:00:00,1.761547
2021-01-11 05:00:00,1.655351
2021-01-12 05:00:00,1.558404
2021-01-13 05:00:00,1.471477
2021-01-14 05:00:00,1.370885
2021-01-15 05:00:00,1.256833
2021-01-19 05:00:00,1.128593
2021-01-20 05:00:00,1.039674
2021-01-21 05:00:00,0.920467
2021-01-22 05:00:00,0.826634
2021-01-25 05:00:00,0.78032
