Time,Z
2020-05-08 04:00:00,-0.654127
2020-05-11 04:00:00,-0.621145
2020-05-12 04:00:00,-0.594681
2020-05-13 04:00:00,-0.507945
2020-05-14 04:00:00,-0.482033
2020-05-15 04:00:00,-0.424024
2020-05-18 04:00:00,-0.385558
2020-05-19 04:00:00,-0.359145
2020-05-20 04:00:00,-0.312302
2020-05-21 04:00:00,-0.261689
2020-05-22 04:00:00,-0.207487
2020-05-26 04:00:00,-0.180055
2020-05-27 04:00:00,-0.152549
2020-05-28 04:00:00,-0.085333
2020-05-29 04:00:00,-0.081452
2020-06-01 04:00:00,-0.031225
2020-06-02 04:00:00,0.012387
2020-06-03 04:00:00,0.08994
2020-06-04 04:00:00,0.132633
2020-06-05 04:00:00,0.228641
2020-06-08 04:00:00,0.321065
2020-06-09 04:00:00,0.434948
2020-06-10 04:00:00,0.519054
2020-06-11 04:00:00,0.703137
2020-06-12 04:00:00,0.877441
2020-06-15 04:00:00,1.030723
2020-06-16 04:00:00,1.223137
2020-06-17 04:00:00,1.19401
2020-06-18 04:00:00,1.203446
2020-06-19 04:00:00,0.967975
2020-06-22 04:00:00,0.971771
2020-06-23 04:00:00,0.940616
2020-06-24 04:00:00,0.795642
2020-06-25 04:00:00,0.567217
2020-06-26 04:00:00,0.330386
2020-06-29 04:00:00,0.019641
2020-06-30 04:00:00,-0.106561
2020-07-01 04:00:00,0.039908
2020-07-02 04:00:00,-0.131771
2020-07-06 04:00:00,-0.309461
2020-07-07 04:00:00,-0.450617
2020-07-08 04:00:00,-0.602691
2020-07-09 04:00:00,-0.414006
2020-07-10 04:00:00,-0.558133
2020-07-13 04:00:00,-0.52082
2020-07-14 04:00:00,-0.518549
2020-07-15 04:00:00,-0.608444
2020-07-16 04:00:00,-0.703922
2020-07-17 04:00:00,-0.736924
2020-07-20 04:00:00,-0.826468
2020-07-21 04:00:00,-0.878778
2020-07-22 04:00:00,-0.777999
2020-07-23 04:00:00,-0.776854
2020-07-24 04:00:00,-0.798991
2020-07-27 04:00:00,-0.73327
2020-07-28 04:00:00,-0.723971
2020-07-29 04:00:00,-0.726682
2020-07-30 04:00:00,-0.535419
2020-07-31 04:00:00,-0.400237
2020-08-03 04:00:00,-0.419875
2020-08-04 04:00:00,-0.295419
2020-08-05 04:00:00,0.063517
2020-08-06 04:00:00,0.542389
2020-08-07 04:00:00,1.064516
2020-08-10 04:00:00,1.483353
2020-08-11 04:00:00,2.146397
2020-08-12 04:00:00,2.843228
2020-08-13 04:00:00,3.219024
2020-08-14 04:00:00,3.372971
2020-08-17 04:00:00,3.513671
2020-08-18 04:00:00,3.344611
2020-08-19 04:00:00,3.059795
2020-08-20 04:00:00,3.055831
2020-08-21 04:00:00,2.957338
2020-08-24 04:00:00,3.031182
2020-08-25 04:00:00,3.063622
2020-08-26 04:00:00,3.088437
2020-08-27 04:00:00,3.014076
2020-08-28 04:00:00,3.1003
2020-08-31 04:00:00,2.930581
2020-09-01 04:00:00,2.620956
2020-09-02 04:00:00,2.592179
2020-09-03 04:00:00,2.394363
2020-09-04 04:00:00,2.235879
2020-09-08 04:00:00,1.692569
2020-09-09 04:00:00,1.407305
2020-09-10 04:00:00,1.18996
2020-09-11 04:00:00,1.076897
2020-09-14 04:00:00,0.97691
