Time,Z
2020-05-08 04:00:00,1.563798
2020-05-11 04:00:00,1.581972
2020-05-12 04:00:00,1.613877
2020-05-13 04:00:00,1.64171
2020-05-14 04:00:00,1.674071
2020-05-15 04:00:00,1.710944
2020-05-18 04:00:00,1.665708
2020-05-19 04:00:00,1.668779
2020-05-20 04:00:00,1.65896
2020-05-21 04:00:00,1.674756
2020-05-22 04:00:00,1.712876
2020-05-26 04:00:00,1.706519
2020-05-27 04:00:00,1.686958
2020-05-28 04:00:00,1.690168
2020-05-29 04:00:00,1.699774
2020-06-01 04:00:00,1.640965
2020-06-02 04:00:00,1.591379
2020-06-03 04:00:00,1.492799
2020-06-04 04:00:00,1.417451
2020-06-05 04:00:00,1.334145
2020-06-08 04:00:00,1.278846
2020-06-09 04:00:00,1.205298
2020-06-10 04:00:00,1.167903
2020-06-11 04:00:00,1.108075
2020-06-12 04:00:00,1.076825
2020-06-15 04:00:00,1.036145
2020-06-16 04:00:00,0.995847
2020-06-17 04:00:00,0.97404
2020-06-18 04:00:00,0.941333
2020-06-19 04:00:00,0.915081
2020-06-22 04:00:00,0.883911
2020-06-23 04:00:00,0.860855
2020-06-24 04:00:00,0.80894
2020-06-25 04:00:00,0.783626
2020-06-26 04:00:00,0.765216
2020-06-29 04:00:00,0.747726
2020-06-30 04:00:00,0.74692
2020-07-01 04:00:00,0.727608
2020-07-02 04:00:00,0.694241
2020-07-06 04:00:00,0.649725
2020-07-07 04:00:00,0.58988
2020-07-08 04:00:00,0.518717
2020-07-09 04:00:00,0.477879
2020-07-10 04:00:00,0.395626
2020-07-13 04:00:00,0.322625
2020-07-14 04:00:00,0.271676
2020-07-15 04:00:00,0.173114
2020-07-16 04:00:00,0.045197
2020-07-17 04:00:00,-0.065207
2020-07-20 04:00:00,-0.26861
2020-07-21 04:00:00,-0.462546
2020-07-22 04:00:00,-0.705379
2020-07-23 04:00:00,-0.99166
2020-07-24 04:00:00,-1.380406
2020-07-27 04:00:00,-1.685492
2020-07-28 04:00:00,-1.958065
2020-07-29 04:00:00,-2.17893
2020-07-30 04:00:00,-2.414188
2020-07-31 04:00:00,-2.645895
2020-08-03 04:00:00,-2.781245
2020-08-04 04:00:00,-2.789104
2020-08-05 04:00:00,-2.707737
2020-08-06 04:00:00,-2.671776
2020-08-07 04:00:00,-2.674023
2020-08-10 04:00:00,-2.662506
2020-08-11 04:00:00,-2.682482
2020-08-12 04:00:00,-2.662913
2020-08-13 04:00:00,-2.752777
2020-08-14 04:00:00,-2.801905
2020-08-17 04:00:00,-2.805894
2020-08-18 04:00:00,-2.788562
2020-08-19 04:00:00,-2.684039
2020-08-20 04:00:00,-2.657974
2020-08-21 04:00:00,-2.622679
2020-08-24 04:00:00,-2.643302
2020-08-25 04:00:00,-2.575169
2020-08-26 04:00:00,-2.479039
2020-08-27 04:00:00,-2.39876
2020-08-28 04:00:00,-2.313865
2020-08-31 04:00:00,-2.205804
2020-09-01 04:00:00,-2.053937
2020-09-02 04:00:00,-1.960681
2020-09-03 04:00:00,-1.79188
2020-09-04 04:00:00,-1.657921
2020-09-08 04:00:00,-1.404096
2020-09-09 04:00:00,-1.172732
2020-09-10 04:00:00,-0.861596
2020-09-11 04:00:00,-0.424209
2020-09-14 04:00:00,-0.082956
2020-09-15 04:00:00,0.165489
2020-09-16 04:00:00,0.275304
2020-09-17 04:00:00,0.399706
2020-09-18 04:00:00,0.499175
2020-09-21 04:00:00,0.596366
2020-09-22 04:00:00,0.759298
2020-09-23 04:00:00,0.930589
2020-09-24 04:00:00,1.170553
2020-09-25 04:00:00,1.305679
2020-09-28 04:00:00,1.394817
2020-09-29 04:00:00,1.447313
2020-09-30 04:00:00,1.475497
2020-10-01 04:00:00,1.496507
2020-10-02 04:00:00,1.47902
2020-10-05 04:00:00,1.514121
2020-10-06 04:00:00,1.49105
2020-10-07 04:00:00,1.489584
2020-10-08 04:00:00,1.463682
2020-10-09 04:00:00,1.466469
2020-10-12 04:00:00,1.43732
2020-10-13 04:00:00,1.443109
2020-10-14 04:00:00,1.418897
2020-10-15 04:00:00,1.422061
2020-10-16 04:00:00,1.409751
2020-10-19 04:00:00,1.37484
2020-10-20 04:00:00,1.320663
2020-10-21 04:00:00,1.267021
2020-10-22 04:00:00,1.208685
2020-10-23 04:00:00,1.134667
2020-10-26 04:00:00,1.090718
2020-10-27 04:00:00,1.079422
2020-10-28 04:00:00,1.035553
2020-10-29 04:00:00,1.015972
2020-10-30 04:00:00,1.017148
2020-11-02 05:00:00,1.036506
2020-11-03 05:00:00,0.998697
2020-11-04 05:00:00,0.858495
2020-11-05 05:00:00,0.698402
2020-11-06 05:00:00,0.523884
2020-11-09 05:00:00,0.414533
2020-11-10 05:00:00,0.331738
2020-11-11 05:00:00,0.261189
2020-11-12 05:00:00,0.192895
2020-11-13 05:00:00,0.126865
2020-11-16 05:00:00,0.072835
2020-11-17 05:00:00,0.014552
2020-11-18 05:00:00,0.003249
2020-11-19 05:00:00,0.010659
2020-11-20 05:00:00,0.059717
2020-11-23 05:00:00,0.095243
2020-11-24 05:00:00,0.096617
2020-11-25 05:00:00,0.101718
2020-11-27 05:00:00,0.101483
2020-11-30 05:00:00,0.093636
2020-12-01 05:00:00,0.18132
2020-12-02 05:00:00,0.252727
2020-12-03 05:00:00,0.337563
2020-12-04 05:00:00,0.436493
2020-12-07 05:00:00,0.51273
2020-12-08 05:00:00,0.627481
2020-12-09 05:00:00,0.712741
2020-12-10 05:00:00,0.834606
2020-12-11 05:00:00,1.012548
2020-12-14 05:00:00,1.277113
2020-12-15 05:00:00,1.542578
2020-12-16 05:00:00,1.805497
2020-12-17 05:00:00,1.979508
2020-12-18 05:00:00,2.057247
2020-12-21 05:00:00,2.131827
2020-12-22 05:00:00,2.184629
2020-12-23 05:00:00,2.219188
2020-12-24 05:00:00,2.171167
2020-12-28 05:00:00,2.141882
2020-12-29 05:00:00,2.112943
2020-12-30 05:00:00,2.073213
2020-12-31 05:00:00,2.041524
2021-01-04 05:00:00,1.956864
2021-01-05 05:00:00,1.87345
2021-01-06 05:00:00,1.813658
2021-01-07 05:00:00,1.673724
2021-01-08 05:00:00,1.508383
2021-01-11 05:00:00,1.401201
2021-01-12 05:00:00,1.29031
2021-01-13 05:00:00,1.234069
2021-01-14 05:00:00,1.20204
2021-01-15 05:00:00,1.221866
2021-01-19 05:00:00,1.243791
2021-01-20 05:00:00,1.246492
2021-01-21 05:00:00,1.234232
2021-01-22 05:00:00,1.213946
2021-01-25 05:00:00,1.223627
2021-01-26 05:00:00,1.23032
2021-01-27 05:00:00,1.198536
2021-01-28 05:00:00,1.254509
2021-01-29 05:00:00,1.22344
2021-02-01 05:00:00,1.215417
2021-02-02 05:00:00,1.217599
2021-02-03 05:00:00,1.223966
2021-02-04 05:00:00,1.243034
2021-02-05 05:00:00,1.230082
2021-02-08 05:00:00,1.239743
2021-02-09 05:00:00,1.263376
2021-02-10 05:00:00,1.259047
2021-02-11 05:00:00,1.287619
2021-02-12 05:00:00,1.295023
2021-02-16 05:00:00,1.323049
2021-02-17 05:00:00,1.379063
2021-02-18 05:00:00,1.431568
2021-02-19 05:00:00,1.457447
2021-02-22 05:00:00,1.503137
2021-02-23 05:00:00,1.521565
