Time,Z
2020-05-08 04:00:00,-0.970203
2020-05-11 04:00:00,-0.972797
2020-05-12 04:00:00,-0.936085
2020-05-13 04:00:00,-0.911015
2020-05-14 04:00:00,-0.881046
2020-05-15 04:00:00,-0.897791
2020-05-18 04:00:00,-0.873707
2020-05-19 04:00:00,-0.861297
2020-05-20 04:00:00,-0.820463
2020-05-21 04:00:00,-0.791304
2020-05-22 04:00:00,-0.755935
2020-05-26 04:00:00,-0.691118
2020-05-27 04:00:00,-0.640474
2020-05-28 04:00:00,-0.575879
2020-05-29 04:00:00,-0.476413
2020-06-01 04:00:00,-0.352801
2020-06-02 04:00:00,-0.206151
2020-06-03 04:00:00,-0.022766
2020-06-04 04:00:00,0.146726
2020-06-05 04:00:00,0.331238
2020-06-08 04:00:00,0.530949
2020-06-09 04:00:00,0.733066
2020-06-10 04:00:00,0.951864
2020-06-11 04:00:00,1.106495
2020-06-12 04:00:00,1.27132
2020-06-15 04:00:00,1.431685
2020-06-16 04:00:00,1.53912
2020-06-17 04:00:00,1.656865
2020-06-18 04:00:00,1.756855
2020-06-19 04:00:00,1.810081
2020-06-22 04:00:00,1.909825
2020-06-23 04:00:00,2.007686
2020-06-24 04:00:00,1.899426
2020-06-25 04:00:00,1.775438
2020-06-26 04:00:00,1.668653
2020-06-29 04:00:00,1.564717
2020-06-30 04:00:00,1.499404
2020-07-01 04:00:00,1.451046
2020-07-02 04:00:00,1.407548
2020-07-06 04:00:00,1.401628
2020-07-07 04:00:00,1.457807
2020-07-08 04:00:00,1.471303
2020-07-09 04:00:00,1.482395
2020-07-10 04:00:00,1.513857
2020-07-13 04:00:00,1.5075
2020-07-14 04:00:00,1.517083
2020-07-15 04:00:00,1.530087
2020-07-16 04:00:00,1.552607
2020-07-17 04:00:00,1.538466
2020-07-20 04:00:00,1.541352
2020-07-21 04:00:00,1.546769
2020-07-22 04:00:00,1.552338
2020-07-23 04:00:00,1.506441
2020-07-24 04:00:00,1.460927
2020-07-27 04:00:00,1.440807
2020-07-28 04:00:00,1.465704
2020-07-29 04:00:00,1.4949
2020-07-30 04:00:00,1.500375
2020-07-31 04:00:00,1.52862
2020-08-03 04:00:00,1.523336
2020-08-04 04:00:00,1.633635
2020-08-05 04:00:00,1.740048
2020-08-06 04:00:00,1.798468
2020-08-07 04:00:00,1.86042
2020-08-10 04:00:00,1.956403
2020-08-11 04:00:00,2.038746
2020-08-12 04:00:00,2.071294
2020-08-13 04:00:00,2.119541
2020-08-14 04:00:00,2.117932
2020-08-17 04:00:00,2.147291
2020-08-18 04:00:00,2.092438
2020-08-19 04:00:00,1.977258
2020-08-20 04:00:00,1.949253
2020-08-21 04:00:00,1.910044
2020-08-24 04:00:00,1.945891
2020-08-25 04:00:00,1.85302
2020-08-26 04:00:00,1.748317
2020-08-27 04:00:00,1.593147
2020-08-28 04:00:00,1.486877
2020-08-31 04:00:00,1.349336
2020-09-01 04:00:00,1.253006
2020-09-02 04:00:00,1.119224
2020-09-03 04:00:00,0.976805
2020-09-04 04:00:00,0.964333
2020-09-08 04:00:00,0.960747
2020-09-09 04:00:00,0.940135
2020-09-10 04:00:00,1.070915
2020-09-11 04:00:00,1.117623
2020-09-14 04:00:00,1.099375
2020-09-15 04:00:00,0.917453
2020-09-16 04:00:00,0.782069
2020-09-17 04:00:00,0.647516
2020-09-18 04:00:00,0.57607
2020-09-21 04:00:00,0.49405
2020-09-22 04:00:00,0.509936
2020-09-23 04:00:00,0.524261
2020-09-24 04:00:00,0.628737
2020-09-25 04:00:00,0.682415
2020-09-28 04:00:00,0.646768
2020-09-29 04:00:00,0.535271
2020-09-30 04:00:00,0.387922
2020-10-01 04:00:00,0.23577
2020-10-02 04:00:00,0.247255
2020-10-05 04:00:00,0.344111
2020-10-06 04:00:00,0.522997
2020-10-07 04:00:00,0.646611
2020-10-08 04:00:00,0.72743
2020-10-09 04:00:00,1.025543
2020-10-12 04:00:00,1.36421
2020-10-13 04:00:00,1.521736
2020-10-14 04:00:00,1.72131
2020-10-15 04:00:00,1.776035
2020-10-16 04:00:00,1.777584
2020-10-19 04:00:00,1.56582
2020-10-20 04:00:00,1.53346
2020-10-21 04:00:00,1.457095
2020-10-22 04:00:00,1.470224
2020-10-23 04:00:00,1.370851
2020-10-26 04:00:00,1.087552
2020-10-27 04:00:00,1.026652
2020-10-28 04:00:00,0.623249
2020-10-29 04:00:00,0.992268
2020-10-30 04:00:00,0.880305
2020-11-02 05:00:00,1.101747
2020-11-03 05:00:00,0.731492
2020-11-04 05:00:00,1.533228
2020-11-05 05:00:00,1.807339
2020-11-06 05:00:00,2.462154
2020-11-09 05:00:00,2.159028
2020-11-10 05:00:00,1.947924
2020-11-11 05:00:00,1.811443
2020-11-12 05:00:00,1.69252
2020-11-13 05:00:00,1.544649
2020-11-16 05:00:00,1.292511
2020-11-17 05:00:00,0.919731
2020-11-18 05:00:00,0.545276
2020-11-19 05:00:00,0.168171
2020-11-20 05:00:00,-0.138395
2020-11-23 05:00:00,-0.450984
2020-11-24 05:00:00,-0.806366
2020-11-25 05:00:00,-1.079292
2020-11-27 05:00:00,-1.321999
2020-11-30 05:00:00,-1.480474
2020-12-01 05:00:00,-1.601098
2020-12-02 05:00:00,-1.762624
2020-12-03 05:00:00,-1.911571
2020-12-04 05:00:00,-2.079196
2020-12-07 05:00:00,-2.165016
2020-12-08 05:00:00,-2.233943
2020-12-09 05:00:00,-2.248026
2020-12-10 05:00:00,-2.247039
2020-12-11 05:00:00,-2.225309
2020-12-14 05:00:00,-2.198824
2020-12-15 05:00:00,-2.183054
2020-12-16 05:00:00,-2.156781
2020-12-17 05:00:00,-2.154998
2020-12-18 05:00:00,-2.126971
2020-12-21 05:00:00,-2.079158
2020-12-22 05:00:00,-2.020527
2020-12-23 05:00:00,-1.959755
2020-12-24 05:00:00,-1.948825
2020-12-28 05:00:00,-1.952985
2020-12-29 05:00:00,-1.935919
2020-12-30 05:00:00,-1.918983
2020-12-31 05:00:00,-1.880691
2021-01-04 05:00:00,-1.841451
2021-01-05 05:00:00,-1.783711
2021-01-06 05:00:00,-1.727739
2021-01-07 05:00:00,-1.71484
2021-01-08 05:00:00,-1.645697
2021-01-11 05:00:00,-1.577512
2021-01-12 05:00:00,-1.52036
2021-01-13 05:00:00,-1.476008
2021-01-14 05:00:00,-1.427745
2021-01-15 05:00:00,-1.401199
2021-01-19 05:00:00,-1.363296
2021-01-20 05:00:00,-1.34643
2021-01-21 05:00:00,-1.305895
2021-01-22 05:00:00,-1.28545
2021-01-25 05:00:00,-1.233051
2021-01-26 05:00:00,-1.195265
2021-01-27 05:00:00,-1.159495
2021-01-28 05:00:00,-1.164075
2021-01-29 05:00:00,-1.12988
2021-02-01 05:00:00,-1.146056
2021-02-02 05:00:00,-1.160184
2021-02-03 05:00:00,-1.16581
2021-02-04 05:00:00,-1.194027
2021-02-05 05:00:00,-1.168026
2021-02-08 05:00:00,-1.168203
2021-02-09 05:00:00,-1.192499
2021-02-10 05:00:00,-1.224288
2021-02-11 05:00:00,-1.189252
2021-02-12 05:00:00,-1.166769
2021-02-16 05:00:00,-1.171069
2021-02-17 05:00:00,-1.172406
