Time,Z
2020-05-08 04:00:00,1.499834
2020-05-11 04:00:00,1.462145
2020-05-12 04:00:00,1.419526
2020-05-13 04:00:00,1.379843
2020-05-14 04:00:00,1.344266
2020-05-15 04:00:00,1.312203
2020-05-18 04:00:00,1.27301
2020-05-19 04:00:00,1.223718
2020-05-20 04:00:00,1.185801
2020-05-21 04:00:00,1.143296
2020-05-22 04:00:00,1.106745
2020-05-26 04:00:00,1.073634
2020-05-27 04:00:00,1.037314
2020-05-28 04:00:00,1.003176
2020-05-29 04:00:00,0.971293
2020-06-01 04:00:00,0.93829
2020-06-02 04:00:00,0.907401
2020-06-03 04:00:00,0.877238
2020-06-04 04:00:00,0.84743
2020-06-05 04:00:00,0.822572
2020-06-08 04:00:00,0.805193
2020-06-09 04:00:00,0.769143
2020-06-10 04:00:00,0.748686
2020-06-11 04:00:00,0.71023
2020-06-12 04:00:00,0.675044
2020-06-15 04:00:00,0.655576
2020-06-16 04:00:00,0.63783
2020-06-17 04:00:00,0.606123
2020-06-18 04:00:00,0.577739
2020-06-19 04:00:00,0.556156
2020-06-22 04:00:00,0.542523
2020-06-23 04:00:00,0.519122
2020-06-24 04:00:00,0.481337
2020-06-25 04:00:00,0.451909
2020-06-26 04:00:00,0.39349
2020-06-29 04:00:00,0.35265
2020-06-30 04:00:00,0.315662
2020-07-01 04:00:00,0.235033
2020-07-02 04:00:00,0.135325
2020-07-06 04:00:00,-0.011976
2020-07-07 04:00:00,-0.128132
2020-07-08 04:00:00,-0.39433
2020-07-09 04:00:00,-0.641826
2020-07-10 04:00:00,-0.937123
2020-07-13 04:00:00,-1.297982
2020-07-14 04:00:00,-1.642148
2020-07-15 04:00:00,-2.161534
2020-07-16 04:00:00,-2.709808
2020-07-17 04:00:00,-3.016391
2020-07-20 04:00:00,-3.138669
2020-07-21 04:00:00,-3.132148
2020-07-22 04:00:00,-3.150908
2020-07-23 04:00:00,-3.157104
2020-07-24 04:00:00,-3.093975
2020-07-27 04:00:00,-2.991873
2020-07-28 04:00:00,-2.866388
2020-07-29 04:00:00,-2.768325
2020-07-30 04:00:00,-2.705968
2020-07-31 04:00:00,-2.665703
2020-08-03 04:00:00,-2.631629
2020-08-04 04:00:00,-2.581651
2020-08-05 04:00:00,-2.544747
2020-08-06 04:00:00,-2.495663
2020-08-07 04:00:00,-2.403314
2020-08-10 04:00:00,-2.367761
2020-08-11 04:00:00,-2.355754
2020-08-12 04:00:00,-2.313002
2020-08-13 04:00:00,-2.321622
2020-08-14 04:00:00,-2.335852
2020-08-17 04:00:00,-2.343904
2020-08-18 04:00:00,-2.374619
2020-08-19 04:00:00,-2.426585
2020-08-20 04:00:00,-2.387891
2020-08-21 04:00:00,-2.386202
2020-08-24 04:00:00,-2.338933
2020-08-25 04:00:00,-2.31028
2020-08-26 04:00:00,-2.257371
2020-08-27 04:00:00,-2.135954
2020-08-28 04:00:00,-2.011409
2020-08-31 04:00:00,-1.920301
2020-09-01 04:00:00,-1.766158
2020-09-02 04:00:00,-1.648782
2020-09-03 04:00:00,-1.45375
2020-09-04 04:00:00,-1.324827
2020-09-08 04:00:00,-1.196375
2020-09-09 04:00:00,-1.054925
2020-09-10 04:00:00,-0.91224
2020-09-11 04:00:00,-0.711159
2020-09-14 04:00:00,-0.573581
2020-09-15 04:00:00,-0.434214
2020-09-16 04:00:00,-0.317333
2020-09-17 04:00:00,-0.161838
2020-09-18 04:00:00,-0.029548
2020-09-21 04:00:00,0.113945
2020-09-22 04:00:00,0.333676
2020-09-23 04:00:00,0.455621
2020-09-24 04:00:00,0.610198
2020-09-25 04:00:00,0.699167
2020-09-28 04:00:00,0.805305
2020-09-29 04:00:00,0.882948
2020-09-30 04:00:00,0.965874
2020-10-01 04:00:00,1.045246
2020-10-02 04:00:00,1.100672
2020-10-05 04:00:00,1.165223
2020-10-06 04:00:00,1.197366
2020-10-07 04:00:00,1.255707
2020-10-08 04:00:00,1.291745
2020-10-09 04:00:00,1.294061
2020-10-12 04:00:00,1.299869
2020-10-13 04:00:00,1.301051
2020-10-14 04:00:00,1.296494
2020-10-15 04:00:00,1.280503
2020-10-16 04:00:00,1.256184
2020-10-19 04:00:00,1.2304
2020-10-20 04:00:00,1.233372
2020-10-21 04:00:00,1.233672
2020-10-22 04:00:00,1.234886
2020-10-23 04:00:00,1.207542
2020-10-26 04:00:00,1.184951
2020-10-27 04:00:00,1.182563
2020-10-28 04:00:00,1.154589
2020-10-29 04:00:00,1.154906
2020-10-30 04:00:00,1.145606
2020-11-02 05:00:00,1.146848
2020-11-03 05:00:00,1.148858
2020-11-04 05:00:00,1.122737
2020-11-05 05:00:00,1.103771
2020-11-06 05:00:00,1.07782
2020-11-09 05:00:00,1.063205
2020-11-10 05:00:00,1.036738
2020-11-11 05:00:00,0.980243
2020-11-12 05:00:00,0.903525
2020-11-13 05:00:00,0.841038
2020-11-16 05:00:00,0.757549
2020-11-17 05:00:00,0.659805
2020-11-18 05:00:00,0.558679
2020-11-19 05:00:00,0.463833
2020-11-20 05:00:00,0.329428
2020-11-23 05:00:00,0.202148
2020-11-24 05:00:00,0.034059
2020-11-25 05:00:00,-0.209742
2020-11-27 05:00:00,-0.456651
2020-11-30 05:00:00,-0.720582
2020-12-01 05:00:00,-0.939523
2020-12-02 05:00:00,-1.14419
2020-12-03 05:00:00,-1.388733
2020-12-04 05:00:00,-1.644529
2020-12-07 05:00:00,-1.895857
2020-12-08 05:00:00,-2.131274
2020-12-09 05:00:00,-2.309085
2020-12-10 05:00:00,-2.426786
2020-12-11 05:00:00,-2.501746
2020-12-14 05:00:00,-2.506533
2020-12-15 05:00:00,-2.452382
2020-12-16 05:00:00,-2.380728
2020-12-17 05:00:00,-2.329364
2020-12-18 05:00:00,-2.304572
2020-12-21 05:00:00,-2.266443
2020-12-22 05:00:00,-2.246224
2020-12-23 05:00:00,-2.229537
2020-12-24 05:00:00,-2.153931
2020-12-28 05:00:00,-2.096246
2020-12-29 05:00:00,-1.995573
2020-12-30 05:00:00,-1.915767
2020-12-31 05:00:00,-1.841236
2021-01-04 05:00:00,-1.793316
2021-01-05 05:00:00,-1.751561
2021-01-06 05:00:00,-1.723216
2021-01-07 05:00:00,-1.712368
2021-01-08 05:00:00,-1.699481
2021-01-11 05:00:00,-1.699899
2021-01-12 05:00:00,-1.704686
2021-01-13 05:00:00,-1.704237
2021-01-14 05:00:00,-1.692608
2021-01-15 05:00:00,-1.676714
2021-01-19 05:00:00,-1.643212
2021-01-20 05:00:00,-1.655749
2021-01-21 05:00:00,-1.663445
2021-01-22 05:00:00,-1.68007
2021-01-25 05:00:00,-1.697012
2021-01-26 05:00:00,-1.730014
2021-01-27 05:00:00,-1.760589
2021-01-28 05:00:00,-1.79099
2021-01-29 05:00:00,-1.807869
2021-02-01 05:00:00,-1.809881
2021-02-02 05:00:00,-1.856018
2021-02-03 05:00:00,-1.865545
2021-02-04 05:00:00,-1.893937
2021-02-05 05:00:00,-1.918446
2021-02-08 05:00:00,-1.907136
2021-02-09 05:00:00,-1.93395
2021-02-10 05:00:00,-1.959108
2021-02-11 05:00:00,-2.038105
2021-02-12 05:00:00,-2.106562
2021-02-16 05:00:00,-2.214963
2021-02-17 05:00:00,-2.346894
2021-02-18 05:00:00,-2.3003
2021-02-19 05:00:00,-2.165502
2021-02-22 05:00:00,-1.975395
2021-02-23 05:00:00,-1.73591
2021-02-24 05:00:00,-1.405073
2021-02-25 05:00:00,-1.12983
2021-02-26 05:00:00,-0.871147
2021-03-01 05:00:00,-0.639941
2021-03-02 05:00:00,-0.39193
2021-03-03 05:00:00,-0.10842
2021-03-04 05:00:00,0.203664
2021-03-05 05:00:00,0.463925
2021-03-08 05:00:00,0.739283
2021-03-09 05:00:00,0.918143
2021-03-10 05:00:00,1.097723
2021-03-11 05:00:00,1.245474
2021-03-12 05:00:00,1.388206
2021-03-15 04:00:00,1.512711
2021-03-16 04:00:00,1.59026
2021-03-17 04:00:00,1.725832
2021-03-18 04:00:00,1.795792
2021-03-19 04:00:00,1.861862
2021-03-22 04:00:00,1.890179
2021-03-23 04:00:00,1.908268
2021-03-24 04:00:00,1.918369
2021-03-25 04:00:00,1.891952
2021-03-26 04:00:00,1.892104
2021-03-29 04:00:00,1.859069
2021-03-30 04:00:00,1.830696
2021-03-31 04:00:00,1.802607
2021-04-01 04:00:00,1.773939
2021-04-05 04:00:00,1.722525
2021-04-06 04:00:00,1.660709
2021-04-07 04:00:00,1.596459
2021-04-08 04:00:00,1.54092
2021-04-09 04:00:00,1.481006
2021-04-12 04:00:00,1.426892
2021-04-13 04:00:00,1.383391
2021-04-14 04:00:00,1.341164
2021-04-15 04:00:00,1.294406
2021-04-16 04:00:00,1.247626
2021-04-19 04:00:00,1.205848
2021-04-20 04:00:00,1.170835
2021-04-21 04:00:00,1.132933
2021-04-22 04:00:00,1.111809
2021-04-23 04:00:00,1.106569
2021-04-26 04:00:00,1.107782
2021-04-27 04:00:00,1.098126
2021-04-28 04:00:00,1.078184
2021-04-29 04:00:00,1.057624
2021-04-30 04:00:00,1.016878
2021-05-03 04:00:00,0.960299
2021-05-04 04:00:00,0.918743
2021-05-05 04:00:00,0.881285
2021-05-06 04:00:00,0.831689
2021-05-07 04:00:00,0.778345
2021-05-10 04:00:00,0.727772
2021-05-11 04:00:00,0.679185
2021-05-12 04:00:00,0.659662
2021-05-13 04:00:00,0.632408
2021-05-14 04:00:00,0.618353
2021-05-17 04:00:00,0.60201
2021-05-18 04:00:00,0.563469
2021-05-19 04:00:00,0.52281
2021-05-20 04:00:00,0.476708
2021-05-21 04:00:00,0.417909
2021-05-24 04:00:00,0.334153
2021-05-25 04:00:00,0.193354
2021-05-26 04:00:00,0.043411
2021-05-27 04:00:00,-0.113571
2021-05-28 04:00:00,-0.269925
2021-06-01 04:00:00,-0.453845
2021-06-02 04:00:00,-0.661479
2021-06-03 04:00:00,-0.933776
2021-06-04 04:00:00,-1.22998
2021-06-07 04:00:00,-1.526663
2021-06-08 04:00:00,-1.804032
2021-06-09 04:00:00,-1.998328
2021-06-10 04:00:00,-2.201454
2021-06-11 04:00:00,-2.423987
2021-06-14 04:00:00,-2.608975
2021-06-15 04:00:00,-2.69634
2021-06-16 04:00:00,-2.637449
2021-06-17 04:00:00,-2.577511
2021-06-18 04:00:00,-2.503266
2021-06-21 04:00:00,-2.424374
2021-06-22 04:00:00,-2.385506
2021-06-23 04:00:00,-2.334139
2021-06-24 04:00:00,-2.284471
2021-06-25 04:00:00,-2.349977
2021-06-28 04:00:00,-2.375207
2021-06-29 04:00:00,-2.372859
2021-06-30 04:00:00,-2.389034
2021-07-01 04:00:00,-2.393106
2021-07-02 04:00:00,-2.412958
2021-07-06 04:00:00,-2.436437
2021-07-07 04:00:00,-2.42413
2021-07-08 04:00:00,-2.387155
2021-07-09 04:00:00,-2.325643
2021-07-12 04:00:00,-2.264558
2021-07-13 04:00:00,-2.245151
2021-07-14 04:00:00,-2.234118
2021-07-15 04:00:00,-2.23687
2021-07-16 04:00:00,-2.238449
2021-07-19 04:00:00,-2.265265
2021-07-20 04:00:00,-2.222106
2021-07-21 04:00:00,-2.187559
2021-07-22 04:00:00,-2.11233
2021-07-23 04:00:00,-2.016083
2021-07-26 04:00:00,-1.95358
2021-07-27 04:00:00,-1.908012
2021-07-28 04:00:00,-1.890704
2021-07-29 04:00:00,-1.911486
2021-07-30 04:00:00,-1.929222
2021-08-02 04:00:00,-1.961406
2021-08-03 04:00:00,-1.946625
2021-08-04 04:00:00,-1.930927
2021-08-05 04:00:00,-1.903085
2021-08-06 04:00:00,-1.885978
2021-08-09 04:00:00,-1.897423
2021-08-10 04:00:00,-1.738577
2021-08-11 04:00:00,-1.586413
2021-08-12 04:00:00,-1.450021
2021-08-13 04:00:00,-1.313654
2021-08-16 04:00:00,-1.177042
2021-08-17 04:00:00,-1.02753
2021-08-18 04:00:00,-0.862645
2021-08-19 04:00:00,-0.692854
2021-08-20 04:00:00,-0.502261
2021-08-23 04:00:00,-0.325767
2021-08-24 04:00:00,-0.194349
2021-08-25 04:00:00,-0.070912
2021-08-26 04:00:00,0.034146
2021-08-27 04:00:00,0.181373
2021-08-30 04:00:00,0.293518
2021-08-31 04:00:00,0.424085
2021-09-01 04:00:00,0.545347
2021-09-02 04:00:00,0.677376
2021-09-03 04:00:00,0.832513
2021-09-07 04:00:00,0.977535
2021-09-08 04:00:00,1.184519
2021-09-09 04:00:00,1.360962
2021-09-10 04:00:00,1.540704
2021-09-13 04:00:00,1.692846
2021-09-14 04:00:00,1.814985
2021-09-15 04:00:00,1.915017
2021-09-16 04:00:00,1.959099
2021-09-17 04:00:00,1.98191
2021-09-20 04:00:00,2.002049
2021-09-21 04:00:00,2.026403
2021-09-22 04:00:00,2.037914
2021-09-23 04:00:00,2.001305
2021-09-24 04:00:00,1.950232
2021-09-27 04:00:00,1.900396
2021-09-28 04:00:00,1.837726
2021-09-29 04:00:00,1.78776
2021-09-30 04:00:00,1.727108
2021-10-01 04:00:00,1.667189
2021-10-04 04:00:00,1.597677
2021-10-05 04:00:00,1.533883
2021-10-06 04:00:00,1.472484
2021-10-07 04:00:00,1.440859
2021-10-08 04:00:00,1.412119
2021-10-11 04:00:00,1.377146
2021-10-12 04:00:00,1.361382
2021-10-13 04:00:00,1.333936
2021-10-14 04:00:00,1.337415
2021-10-15 04:00:00,1.327417
2021-10-18 04:00:00,1.309247
2021-10-19 04:00:00,1.263395
2021-10-20 04:00:00,1.208287
2021-10-21 04:00:00,1.139592
2021-10-22 04:00:00,1.087702
2021-10-25 04:00:00,1.017807
2021-10-26 04:00:00,0.955501
2021-10-27 04:00:00,0.909951
2021-10-28 04:00:00,0.865961
2021-10-29 04:00:00,0.826576
2021-11-01 04:00:00,0.798417
2021-11-02 04:00:00,0.760672
2021-11-03 04:00:00,0.715634
2021-11-04 04:00:00,0.660498
2021-11-05 04:00:00,0.613665
2021-11-08 05:00:00,0.570343
2021-11-09 05:00:00,0.528941
