Time,Z
2020-05-08 04:00:00,-0.788137
2020-05-11 04:00:00,-0.744337
2020-05-12 04:00:00,-0.721828
2020-05-13 04:00:00,-0.680467
2020-05-14 04:00:00,-0.611543
2020-05-15 04:00:00,-0.587089
2020-05-18 04:00:00,-0.539493
2020-05-19 04:00:00,-0.524404
2020-05-20 04:00:00,-0.49246
2020-05-21 04:00:00,-0.441251
2020-05-22 04:00:00,-0.370861
2020-05-26 04:00:00,-0.289009
2020-05-27 04:00:00,-0.191364
2020-05-28 04:00:00,-0.125975
2020-05-29 04:00:00,-0.043651
2020-06-01 04:00:00,0.029516
2020-06-02 04:00:00,0.113191
2020-06-03 04:00:00,0.186745
2020-06-04 04:00:00,0.311555
2020-06-05 04:00:00,0.475759
2020-06-08 04:00:00,0.620855
2020-06-09 04:00:00,0.875523
2020-06-10 04:00:00,1.092219
2020-06-11 04:00:00,1.544416
2020-06-12 04:00:00,1.644964
2020-06-15 04:00:00,1.944707
2020-06-16 04:00:00,1.976699
2020-06-17 04:00:00,2.052717
2020-06-18 04:00:00,1.957058
2020-06-19 04:00:00,1.949872
2020-06-22 04:00:00,1.908466
2020-06-23 04:00:00,1.939852
2020-06-24 04:00:00,1.937956
2020-06-25 04:00:00,1.918049
2020-06-26 04:00:00,1.944568
2020-06-29 04:00:00,2.001216
2020-06-30 04:00:00,1.997828
2020-07-01 04:00:00,2.049488
2020-07-02 04:00:00,2.092919
2020-07-06 04:00:00,2.126514
2020-07-07 04:00:00,2.198531
2020-07-08 04:00:00,2.254859
2020-07-09 04:00:00,2.269837
2020-07-10 04:00:00,2.277202
2020-07-13 04:00:00,2.195678
2020-07-14 04:00:00,2.202577
2020-07-15 04:00:00,2.209906
2020-07-16 04:00:00,2.199395
2020-07-17 04:00:00,2.106851
2020-07-20 04:00:00,2.117697
2020-07-21 04:00:00,2.052817
2020-07-22 04:00:00,1.989004
2020-07-23 04:00:00,1.924121
2020-07-24 04:00:00,1.885115
2020-07-27 04:00:00,1.864979
2020-07-28 04:00:00,1.886199
2020-07-29 04:00:00,1.855831
2020-07-30 04:00:00,1.808666
2020-07-31 04:00:00,1.747813
2020-08-03 04:00:00,1.733401
2020-08-04 04:00:00,1.726278
2020-08-05 04:00:00,1.703358
2020-08-06 04:00:00,1.625723
2020-08-07 04:00:00,1.564322
2020-08-10 04:00:00,1.545673
2020-08-11 04:00:00,1.531897
2020-08-12 04:00:00,1.485356
2020-08-13 04:00:00,1.429489
2020-08-14 04:00:00,1.38899
2020-08-17 04:00:00,1.298067
2020-08-18 04:00:00,1.189923
2020-08-19 04:00:00,1.026432
2020-08-20 04:00:00,0.853573
2020-08-21 04:00:00,0.706712
2020-08-24 04:00:00,0.567527
2020-08-25 04:00:00,0.364294
2020-08-26 04:00:00,0.225063
2020-08-27 04:00:00,0.053596
2020-08-28 04:00:00,-0.261233
2020-08-31 04:00:00,-0.670626
2020-09-01 04:00:00,-0.928348
2020-09-02 04:00:00,-1.422787
2020-09-03 04:00:00,-1.691502
2020-09-04 04:00:00,-1.98961
