Time,Z
2020-05-08 04:00:00,1.938034
2020-05-11 04:00:00,1.887158
2020-05-12 04:00:00,1.818649
2020-05-13 04:00:00,1.88903
2020-05-14 04:00:00,1.889157
2020-05-15 04:00:00,2.035015
2020-05-18 04:00:00,2.178505
2020-05-19 04:00:00,2.167512
2020-05-20 04:00:00,2.228648
2020-05-21 04:00:00,2.103971
2020-05-22 04:00:00,2.148254
2020-05-26 04:00:00,2.124536
2020-05-27 04:00:00,2.102764
2020-05-28 04:00:00,1.912954
2020-05-29 04:00:00,1.791107
2020-06-01 04:00:00,1.980389
2020-06-02 04:00:00,1.905248
2020-06-03 04:00:00,1.880405
2020-06-04 04:00:00,1.831011
2020-06-05 04:00:00,1.852971
2020-06-08 04:00:00,1.637803
2020-06-09 04:00:00,1.448589
2020-06-10 04:00:00,1.419625
2020-06-11 04:00:00,1.469912
2020-06-12 04:00:00,1.484145
2020-06-15 04:00:00,1.632684
2020-06-16 04:00:00,1.740162
2020-06-17 04:00:00,1.751482
2020-06-18 04:00:00,1.82527
2020-06-19 04:00:00,1.903941
2020-06-22 04:00:00,1.915471
2020-06-23 04:00:00,2.057414
2020-06-24 04:00:00,2.136316
2020-06-25 04:00:00,2.183075
2020-06-26 04:00:00,2.188889
2020-06-29 04:00:00,2.222889
2020-06-30 04:00:00,2.324326
2020-07-01 04:00:00,2.245355
2020-07-02 04:00:00,2.199697
2020-07-06 04:00:00,2.193139
2020-07-07 04:00:00,2.197098
2020-07-08 04:00:00,2.195904
2020-07-09 04:00:00,2.270296
2020-07-10 04:00:00,2.229349
2020-07-13 04:00:00,2.164458
2020-07-14 04:00:00,2.194809
2020-07-15 04:00:00,2.163682
2020-07-16 04:00:00,2.078745
2020-07-17 04:00:00,1.956769
2020-07-20 04:00:00,1.834127
2020-07-21 04:00:00,1.725145
2020-07-22 04:00:00,1.516585
2020-07-23 04:00:00,1.334869
2020-07-24 04:00:00,1.15892
2020-07-27 04:00:00,1.081381
2020-07-28 04:00:00,0.834591
2020-07-29 04:00:00,0.671503
2020-07-30 04:00:00,0.496856
2020-07-31 04:00:00,0.37938
2020-08-03 04:00:00,0.149157
2020-08-04 04:00:00,-0.066506
2020-08-05 04:00:00,-0.258494
2020-08-06 04:00:00,-0.482432
2020-08-07 04:00:00,-0.698664
2020-08-10 04:00:00,-0.900688
2020-08-11 04:00:00,-1.049498
2020-08-12 04:00:00,-1.222721
2020-08-13 04:00:00,-1.396272
2020-08-14 04:00:00,-1.548176
2020-08-17 04:00:00,-1.684432
2020-08-18 04:00:00,-1.760882
2020-08-19 04:00:00,-1.816027
2020-08-20 04:00:00,-1.93413
2020-08-21 04:00:00,-1.992625
2020-08-24 04:00:00,-2.05012
2020-08-25 04:00:00,-2.007129
2020-08-26 04:00:00,-1.986711
2020-08-27 04:00:00,-1.944815
2020-08-28 04:00:00,-1.93343
2020-08-31 04:00:00,-1.863729
2020-09-01 04:00:00,-1.763808
2020-09-02 04:00:00,-1.695471
2020-09-03 04:00:00,-1.62631
2020-09-04 04:00:00,-1.593779
2020-09-08 04:00:00,-1.526186
2020-09-09 04:00:00,-1.571801
2020-09-10 04:00:00,-1.541216
2020-09-11 04:00:00,-1.373256
2020-09-14 04:00:00,-1.3803
2020-09-15 04:00:00,-1.321738
2020-09-16 04:00:00,-1.20084
2020-09-17 04:00:00,-1.130519
2020-09-18 04:00:00,-1.04384
2020-09-21 04:00:00,-0.904447
2020-09-22 04:00:00,-0.71052
2020-09-23 04:00:00,-0.515687
2020-09-24 04:00:00,-0.204484
2020-09-25 04:00:00,-0.058663
2020-09-28 04:00:00,0.046012
2020-09-29 04:00:00,0.142989
2020-09-30 04:00:00,0.184924
2020-10-01 04:00:00,0.344073
2020-10-02 04:00:00,0.388573
2020-10-05 04:00:00,0.48891
2020-10-06 04:00:00,0.639165
2020-10-07 04:00:00,0.680259
2020-10-08 04:00:00,0.732373
2020-10-09 04:00:00,0.896476
2020-10-12 04:00:00,0.966595
2020-10-13 04:00:00,0.995791
2020-10-14 04:00:00,0.946715
2020-10-15 04:00:00,0.837218
2020-10-16 04:00:00,0.591248
2020-10-19 04:00:00,0.376914
2020-10-20 04:00:00,0.168858
2020-10-21 04:00:00,0.052286
2020-10-22 04:00:00,-0.088253
2020-10-23 04:00:00,-0.543832
2020-10-26 04:00:00,-0.908197
2020-10-27 04:00:00,-0.978209
2020-10-28 04:00:00,-0.90942
2020-10-29 04:00:00,-1.027722
2020-10-30 04:00:00,-1.085974
2020-11-02 05:00:00,-1.06781
2020-11-03 05:00:00,-1.235845
2020-11-04 05:00:00,-1.566967
2020-11-05 05:00:00,-1.734616
2020-11-06 05:00:00,-1.776745
2020-11-09 05:00:00,-2.321595
2020-11-10 05:00:00,-2.489071
2020-11-11 05:00:00,-2.549726
2020-11-12 05:00:00,-2.495294
2020-11-13 05:00:00,-2.586097
2020-11-16 05:00:00,-2.566826
2020-11-17 05:00:00,-2.672205
2020-11-18 05:00:00,-2.59436
2020-11-19 05:00:00,-2.469114
2020-11-20 05:00:00,-2.394301
2020-11-23 05:00:00,-2.292688
2020-11-24 05:00:00,-2.211686
2020-11-25 05:00:00,-2.127326
2020-11-27 05:00:00,-2.054855
2020-11-30 05:00:00,-1.960308
2020-12-01 05:00:00,-1.815404
2020-12-02 05:00:00,-1.612843
2020-12-03 05:00:00,-1.40771
2020-12-04 05:00:00,-1.247382
2020-12-07 05:00:00,-1.067787
2020-12-08 05:00:00,-0.859904
2020-12-09 05:00:00,-0.691059
2020-12-10 05:00:00,-0.545898
2020-12-11 05:00:00,-0.441032
2020-12-14 05:00:00,-0.348112
2020-12-15 05:00:00,-0.291519
2020-12-16 05:00:00,-0.240358
2020-12-17 05:00:00,-0.173107
2020-12-18 05:00:00,-0.125564
2020-12-21 05:00:00,-0.052403
2020-12-22 05:00:00,0.031072
2020-12-23 05:00:00,0.078403
2020-12-24 05:00:00,0.166233
2020-12-28 05:00:00,0.257149
2020-12-29 05:00:00,0.317419
2020-12-30 05:00:00,0.429689
2020-12-31 05:00:00,0.549268
2021-01-04 05:00:00,0.661163
2021-01-05 05:00:00,0.729576
2021-01-06 05:00:00,0.846445
2021-01-07 05:00:00,0.933347
2021-01-08 05:00:00,1.010254
2021-01-11 05:00:00,1.034968
2021-01-12 05:00:00,1.017233
2021-01-13 05:00:00,1.028346
2021-01-14 05:00:00,1.071767
2021-01-15 05:00:00,1.127588
2021-01-19 05:00:00,1.098568
2021-01-20 05:00:00,1.094166
2021-01-21 05:00:00,1.020462
2021-01-22 05:00:00,0.970426
2021-01-25 05:00:00,0.885123
2021-01-26 05:00:00,0.813972
2021-01-27 05:00:00,0.781532
2021-01-28 05:00:00,0.79917
2021-01-29 05:00:00,0.783008
2021-02-01 05:00:00,0.792592
2021-02-02 05:00:00,0.917159
2021-02-03 05:00:00,0.915291
2021-02-04 05:00:00,0.974692
2021-02-05 05:00:00,0.968487
2021-02-08 05:00:00,0.999647
2021-02-09 05:00:00,0.990207
2021-02-10 05:00:00,1.013011
2021-02-11 05:00:00,1.026256
2021-02-12 05:00:00,1.020281
2021-02-16 05:00:00,0.967628
2021-02-17 05:00:00,0.921474
2021-02-18 05:00:00,0.927889
2021-02-19 05:00:00,0.982616
2021-02-22 05:00:00,0.968939
2021-02-23 05:00:00,0.997534
2021-02-24 05:00:00,1.114813
2021-02-25 05:00:00,1.149341
2021-02-26 05:00:00,1.31267
2021-03-01 05:00:00,1.508826
2021-03-02 05:00:00,1.700788
2021-03-03 05:00:00,1.722558
2021-03-04 05:00:00,1.796378
2021-03-05 05:00:00,1.89439
2021-03-08 05:00:00,1.883501
2021-03-09 05:00:00,1.934711
2021-03-10 05:00:00,1.948536
2021-03-11 05:00:00,2.046958
2021-03-12 05:00:00,2.037513
2021-03-15 04:00:00,2.148639
2021-03-16 04:00:00,2.142925
2021-03-17 04:00:00,2.253022
2021-03-18 04:00:00,2.35573
2021-03-19 04:00:00,2.442223
2021-03-22 04:00:00,2.45129
2021-03-23 04:00:00,2.466855
2021-03-24 04:00:00,2.434608
2021-03-25 04:00:00,2.443208
2021-03-26 04:00:00,2.491006
2021-03-29 04:00:00,2.426893
2021-03-30 04:00:00,2.376199
2021-03-31 04:00:00,2.325068
2021-04-01 04:00:00,2.279189
2021-04-05 04:00:00,2.229147
2021-04-06 04:00:00,2.184295
2021-04-07 04:00:00,2.115133
2021-04-08 04:00:00,2.07547
2021-04-09 04:00:00,2.039241
2021-04-12 04:00:00,1.932816
2021-04-13 04:00:00,1.857852
2021-04-14 04:00:00,1.784847
2021-04-15 04:00:00,1.743716
2021-04-16 04:00:00,1.625347
2021-04-19 04:00:00,1.488471
2021-04-20 04:00:00,1.382682
2021-04-21 04:00:00,1.286678
2021-04-22 04:00:00,1.289932
2021-04-23 04:00:00,1.317256
2021-04-26 04:00:00,1.322559
