Time,Z
2020-05-08 04:00:00,-0.267517
2020-05-11 04:00:00,-0.186996
2020-05-12 04:00:00,-0.104178
2020-05-13 04:00:00,-0.005393
2020-05-14 04:00:00,0.026597
2020-05-15 04:00:00,0.072279
2020-05-18 04:00:00,0.133308
2020-05-19 04:00:00,0.205815
2020-05-20 04:00:00,0.28558
2020-05-21 04:00:00,0.346052
2020-05-22 04:00:00,0.451602
2020-05-26 04:00:00,0.591978
2020-05-27 04:00:00,0.776268
2020-05-28 04:00:00,0.865269
2020-05-29 04:00:00,0.999174
2020-06-01 04:00:00,1.150528
2020-06-02 04:00:00,1.314891
2020-06-03 04:00:00,1.416997
2020-06-04 04:00:00,1.559746
2020-06-05 04:00:00,1.542949
2020-06-08 04:00:00,1.528483
2020-06-09 04:00:00,1.459466
2020-06-10 04:00:00,1.36395
2020-06-11 04:00:00,1.313999
2020-06-12 04:00:00,1.288691
2020-06-15 04:00:00,1.237906
2020-06-16 04:00:00,1.221112
2020-06-17 04:00:00,1.095429
2020-06-18 04:00:00,1.087133
2020-06-19 04:00:00,0.970027
2020-06-22 04:00:00,0.922259
2020-06-23 04:00:00,0.877009
2020-06-24 04:00:00,0.752183
2020-06-25 04:00:00,0.61666
2020-06-26 04:00:00,0.576463
2020-06-29 04:00:00,0.482601
2020-06-30 04:00:00,0.329095
2020-07-01 04:00:00,0.244471
2020-07-02 04:00:00,0.130718
2020-07-06 04:00:00,0.071847
2020-07-07 04:00:00,-0.009273
2020-07-08 04:00:00,-0.02391
2020-07-09 04:00:00,-0.074265
2020-07-10 04:00:00,-0.122499
2020-07-13 04:00:00,-0.08215
2020-07-14 04:00:00,-0.150906
2020-07-15 04:00:00,-0.350782
2020-07-16 04:00:00,-0.368083
2020-07-17 04:00:00,-0.485396
2020-07-20 04:00:00,-0.533586
2020-07-21 04:00:00,-0.654271
2020-07-22 04:00:00,-0.765072
2020-07-23 04:00:00,-0.869852
2020-07-24 04:00:00,-0.918894
2020-07-27 04:00:00,-0.827383
2020-07-28 04:00:00,-1.037247
2020-07-29 04:00:00,-1.153543
2020-07-30 04:00:00,-1.216354
2020-07-31 04:00:00,-1.288601
2020-08-03 04:00:00,-1.346994
2020-08-04 04:00:00,-1.478151
2020-08-05 04:00:00,-1.587622
2020-08-06 04:00:00,-1.690942
2020-08-07 04:00:00,-1.668658
2020-08-10 04:00:00,-1.46451
2020-08-11 04:00:00,-1.44104
2020-08-12 04:00:00,-1.594259
2020-08-13 04:00:00,-1.682156
2020-08-14 04:00:00,-1.739997
2020-08-17 04:00:00,-1.877648
2020-08-18 04:00:00,-1.865405
2020-08-19 04:00:00,-1.887723
2020-08-20 04:00:00,-1.897664
2020-08-21 04:00:00,-1.908871
2020-08-24 04:00:00,-1.941493
2020-08-25 04:00:00,-2.024326
2020-08-26 04:00:00,-1.85125
2020-08-27 04:00:00,-1.706957
2020-08-28 04:00:00,-1.537358
2020-08-31 04:00:00,-1.333948
2020-09-01 04:00:00,-0.950116
2020-09-02 04:00:00,-0.613741
2020-09-03 04:00:00,-0.367924
2020-09-04 04:00:00,-0.720488
2020-09-08 04:00:00,-0.783208
2020-09-09 04:00:00,-0.555038
2020-09-10 04:00:00,-0.216288
2020-09-11 04:00:00,0.237052
2020-09-14 04:00:00,0.697745
2020-09-15 04:00:00,1.456701
2020-09-16 04:00:00,2.291248
2020-09-17 04:00:00,3.088951
2020-09-18 04:00:00,3.638132
2020-09-21 04:00:00,3.965843
2020-09-22 04:00:00,4.091224
2020-09-23 04:00:00,4.121284
2020-09-24 04:00:00,4.118177
2020-09-25 04:00:00,3.927482
2020-09-28 04:00:00,3.795383
2020-09-29 04:00:00,3.626985
2020-09-30 04:00:00,3.451535
2020-10-01 04:00:00,3.297395
2020-10-02 04:00:00,3.105493
2020-10-05 04:00:00,2.947654
2020-10-06 04:00:00,2.776201
2020-10-07 04:00:00,2.60019
2020-10-08 04:00:00,2.441649
2020-10-09 04:00:00,2.342618
2020-10-12 04:00:00,2.232381
2020-10-13 04:00:00,2.108959
2020-10-14 04:00:00,2.00883
2020-10-15 04:00:00,1.934154
2020-10-16 04:00:00,1.898539
2020-10-19 04:00:00,1.85662
2020-10-20 04:00:00,1.814928
2020-10-21 04:00:00,1.788184
2020-10-22 04:00:00,1.775519
2020-10-23 04:00:00,1.738788
2020-10-26 04:00:00,1.69782
2020-10-27 04:00:00,1.649369
2020-10-28 04:00:00,1.58395
2020-10-29 04:00:00,1.523016
2020-10-30 04:00:00,1.452289
2020-11-02 05:00:00,1.423057
2020-11-03 05:00:00,1.396038
2020-11-04 05:00:00,1.369834
2020-11-05 05:00:00,1.345979
2020-11-06 05:00:00,1.318064
2020-11-09 05:00:00,1.278795
2020-11-10 05:00:00,1.240987
2020-11-11 05:00:00,1.21568
2020-11-12 05:00:00,1.181101
2020-11-13 05:00:00,1.152112
2020-11-16 05:00:00,1.125155
2020-11-17 05:00:00,1.063856
2020-11-18 05:00:00,0.981878
2020-11-19 05:00:00,0.916239
2020-11-20 05:00:00,0.851763
2020-11-23 05:00:00,0.791183
2020-11-24 05:00:00,0.734767
2020-11-25 05:00:00,0.668392
2020-11-27 05:00:00,0.601064
2020-11-30 05:00:00,0.533022
2020-12-01 05:00:00,0.482678
2020-12-02 05:00:00,0.442454
2020-12-03 05:00:00,0.393403
2020-12-04 05:00:00,0.330422
2020-12-07 05:00:00,0.272031
2020-12-08 05:00:00,0.218902
2020-12-09 05:00:00,0.137944
2020-12-10 05:00:00,0.062852
2020-12-11 05:00:00,0.008151
2020-12-14 05:00:00,-0.043835
2020-12-15 05:00:00,-0.130485
2020-12-16 05:00:00,-0.193566
2020-12-17 05:00:00,-0.295081
2020-12-18 05:00:00,-0.364
2020-12-21 05:00:00,-0.494325
2020-12-22 05:00:00,-0.81909
2020-12-23 05:00:00,-1.286077
2020-12-24 05:00:00,-1.616537
2020-12-28 05:00:00,-1.95035
2020-12-29 05:00:00,-2.265786
2020-12-30 05:00:00,-2.461038
2020-12-31 05:00:00,-2.563323
2021-01-04 05:00:00,-2.626258
2021-01-05 05:00:00,-2.631996
2021-01-06 05:00:00,-2.606289
2021-01-07 05:00:00,-2.577128
2021-01-08 05:00:00,-2.647558
2021-01-11 05:00:00,-2.600894
2021-01-12 05:00:00,-2.640825
2021-01-13 05:00:00,-2.660438
2021-01-14 05:00:00,-2.681218
2021-01-15 05:00:00,-2.673702
2021-01-19 05:00:00,-2.639808
2021-01-20 05:00:00,-2.594117
2021-01-21 05:00:00,-2.537625
2021-01-22 05:00:00,-2.479369
2021-01-25 05:00:00,-2.422052
2021-01-26 05:00:00,-2.346058
2021-01-27 05:00:00,-2.230745
2021-01-28 05:00:00,-2.162992
2021-01-29 05:00:00,-2.082512
2021-02-01 05:00:00,-2.049811
2021-02-02 05:00:00,-2.082683
2021-02-03 05:00:00,-2.106845
2021-02-04 05:00:00,-2.115964
2021-02-05 05:00:00,-2.146765
2021-02-08 05:00:00,-2.130343
2021-02-09 05:00:00,-2.127187
2021-02-10 05:00:00,-2.131403
2021-02-11 05:00:00,-2.15319
2021-02-12 05:00:00,-2.160265
2021-02-16 05:00:00,-2.146018
2021-02-17 05:00:00,-2.099862
2021-02-18 05:00:00,-2.067068
2021-02-19 05:00:00,-2.032031
2021-02-22 05:00:00,-1.964149
2021-02-23 05:00:00,-1.943095
2021-02-24 05:00:00,-1.90308
2021-02-25 05:00:00,-1.857653
2021-02-26 05:00:00,-1.835353
2021-03-01 05:00:00,-1.860537
2021-03-02 05:00:00,-1.869493
2021-03-03 05:00:00,-1.814427
2021-03-04 05:00:00,-1.73981
2021-03-05 05:00:00,-1.761204
2021-03-08 05:00:00,-1.642199
2021-03-09 05:00:00,-1.599077
2021-03-10 05:00:00,-1.54622
2021-03-11 05:00:00,-1.530512
2021-03-12 05:00:00,-1.492277
2021-03-15 04:00:00,-1.465681
2021-03-16 04:00:00,-1.408519
2021-03-17 04:00:00,-1.34574
2021-03-18 04:00:00,-1.341239
2021-03-19 04:00:00,-1.334637
2021-03-22 04:00:00,-1.301
2021-03-23 04:00:00,-1.233362
2021-03-24 04:00:00,-1.137117
2021-03-25 04:00:00,-1.068251
2021-03-26 04:00:00,-1.033679
2021-03-29 04:00:00,-0.959247
2021-03-30 04:00:00,-0.920321
2021-03-31 04:00:00,-0.85218
2021-04-01 04:00:00,-0.79382
2021-04-05 04:00:00,-0.737397
2021-04-06 04:00:00,-0.663065
2021-04-07 04:00:00,-0.575481
2021-04-08 04:00:00,-0.470913
2021-04-09 04:00:00,-0.349689
2021-04-12 04:00:00,-0.220208
2021-04-13 04:00:00,-0.091253
2021-04-14 04:00:00,0.055334
2021-04-15 04:00:00,0.233119
2021-04-16 04:00:00,0.428932
2021-04-19 04:00:00,0.605874
2021-04-20 04:00:00,0.720139
2021-04-21 04:00:00,0.906897
2021-04-22 04:00:00,1.180686
2021-04-23 04:00:00,1.486318
2021-04-26 04:00:00,1.877416
2021-04-27 04:00:00,2.286216
2021-04-28 04:00:00,2.635541
