Time,Z
2020-05-08 04:00:00,-0.373016
2020-05-11 04:00:00,-0.301934
2020-05-12 04:00:00,-0.266637
2020-05-13 04:00:00,-0.239975
2020-05-14 04:00:00,-0.168674
2020-05-15 04:00:00,-0.109549
2020-05-18 04:00:00,-0.044445
2020-05-19 04:00:00,0.023349
2020-05-20 04:00:00,0.097726
2020-05-21 04:00:00,0.154299
2020-05-22 04:00:00,0.225032
2020-05-26 04:00:00,0.295566
2020-05-27 04:00:00,0.397055
2020-05-28 04:00:00,0.459601
2020-05-29 04:00:00,0.607007
2020-06-01 04:00:00,0.708363
2020-06-02 04:00:00,0.820031
2020-06-03 04:00:00,0.889968
2020-06-04 04:00:00,0.822358
2020-06-05 04:00:00,0.717169
2020-06-08 04:00:00,0.455114
2020-06-09 04:00:00,0.134603
2020-06-10 04:00:00,-0.074037
2020-06-11 04:00:00,-0.231215
2020-06-12 04:00:00,-0.291628
2020-06-15 04:00:00,-0.336237
2020-06-16 04:00:00,-0.43796
2020-06-17 04:00:00,-0.611417
2020-06-18 04:00:00,-0.791199
2020-06-19 04:00:00,-1.000014
2020-06-22 04:00:00,-1.129251
2020-06-23 04:00:00,-1.321556
2020-06-24 04:00:00,-1.838073
2020-06-25 04:00:00,-2.244675
2020-06-26 04:00:00,-2.605011
2020-06-29 04:00:00,-2.858825
2020-06-30 04:00:00,-3.076761
2020-07-01 04:00:00,-3.247784
2020-07-02 04:00:00,-3.286955
2020-07-06 04:00:00,-3.302035
2020-07-07 04:00:00,-3.249353
2020-07-08 04:00:00,-3.283889
2020-07-09 04:00:00,-3.250431
2020-07-10 04:00:00,-3.223956
2020-07-13 04:00:00,-3.13729
2020-07-14 04:00:00,-3.047262
2020-07-15 04:00:00,-2.973322
2020-07-16 04:00:00,-2.911497
2020-07-17 04:00:00,-2.824799
2020-07-20 04:00:00,-2.751634
2020-07-21 04:00:00,-2.669046
2020-07-22 04:00:00,-2.531972
2020-07-23 04:00:00,-2.409686
2020-07-24 04:00:00,-2.300844
2020-07-27 04:00:00,-2.206881
2020-07-28 04:00:00,-2.120334
2020-07-29 04:00:00,-2.045092
2020-07-30 04:00:00,-1.978242
2020-07-31 04:00:00,-1.868481
2020-08-03 04:00:00,-1.777903
2020-08-04 04:00:00,-1.702293
2020-08-05 04:00:00,-1.631033
2020-08-06 04:00:00,-1.568015
2020-08-07 04:00:00,-1.504435
2020-08-10 04:00:00,-1.43044
2020-08-11 04:00:00,-1.358477
2020-08-12 04:00:00,-1.296805
2020-08-13 04:00:00,-1.238744
