Pair,Ticker1,Ticker2,p_value,n,q_value,rank
EQR-WBA,EQR,WBA,1.1950159454895547e-06,403,0.00928407888050835,1
IPG-MCK,IPG,MCK,4.220110624357732e-06,404,0.011174831283083013,2
EG-GIS,EG,GIS,4.856082001126124e-06,404,0.011174831283083013,3
EG-VRSN,EG,VRSN,7.708351008530384e-06,404,0.011174831283083013,4
EG-LEN,EG,LEN,8.057767420298764e-06,403,0.011174831283083013,5
L-PLTR,L,PLTR,9.268877288569455e-06,404,0.011174831283083013,6
EG-JBL,EG,JBL,1.0068711414799987e-05,404,0.011174831283083013,7
KEY-RF,KEY,RF,1.180675374453996e-05,404,0.011465833730166368,8
ES-HAS,ES,HAS,1.6835581592680185e-05,404,0.01247250397335127,9
EG-STZ,EG,STZ,1.76535466679389e-05,404,0.01247250397335127,10
EG-TPR,EG,TPR,1.9016706080610547e-05,404,0.01247250397335127,11
EG-OMC,EG,OMC,1.926503381132903e-05,404,0.01247250397335127,12
MTD-PFE,MTD,PFE,2.2869418272619598e-05,404,0.013016622402238841,13
EG-REGN,EG,REGN,2.4425195840984808e-05,404,0.013016622402238841,14
AVB-WBA,AVB,WBA,2.514727229065585e-05,404,0.013016622402238841,15
EG-ENPH,EG,ENPH,2.6807305758247066e-05,404,0.013016622402238841,16
ALL-WEC,ALL,WEC,2.8509345592773285e-05,404,0.013028770935897391,17
LII-MSI,LII,MSI,3.11316995635131e-05,404,0.013436787439385181,18
UDR-WBA,UDR,WBA,3.739712587452274e-05,404,0.015291487943114062,19
EG-TTWO,EG,TTWO,4.332832193744386e-05,404,0.01683088665660007,20
DOV-SW,DOV,SW,4.622353987584651e-05,404,0.01710050863311674,21
EG-EIX,EG,EIX,4.951456836414641e-05,404,0.01712136595897823,22
ADM-TXT,ADM,TXT,5.06875295477538e-05,403,0.01712136595897823,23
BR-FFIV,BR,FFIV,5.779607771520092e-05,404,0.0187090719903915,24
PANW-PODD,PANW,PODD,6.864709955811755e-05,404,0.02133277265868061,25
KMI-WMT,KMI,WMT,7.619691146213964e-05,404,0.022189391508607853,26
EG-PEP,EG,PEP,7.903978344867207e-05,404,0.022189391508607853,27
HUM-TRV,HUM,TRV,7.997206361707039e-05,404,0.022189391508607853,28
CPT-WBA,CPT,WBA,8.313229915198738e-05,404,0.022270856279716894,29
DGX-EVRG,DGX,EVRG,9.886931373948265e-05,404,0.02560385661473469,30
EG-LYB,EG,LYB,0.00010634407176999779,404,0.026651196567132673,31
CME-DE,CME,DE,0.00013581324038496886,404,0.0319451340892288,32
EG-IPG,EG,IPG,0.0001371677130516919,404,0.0319451340892288,33
ALL-ATO,ALL,ATO,0.00013980365028108883,404,0.0319451340892288,34
L-NFLX,L,NFLX,0.0001516817953330257,404,0.033669024798350766,35
APA-CRL,APA,CRL,0.0001611329658605069,404,0.034773389215841055,36
F-MPC,F,MPC,0.00017746971881171184,403,0.035800264408505374,37
ADM-FCX,ADM,FCX,0.00017835558793860288,403,0.035800264408505374,38
EG-MRK,EG,MRK,0.0001797155762558514,404,0.035800264408505374,39
EG-IFF,EG,IFF,0.0002060346208378854,404,0.039140348888806256,40
ROL-UPS,ROL,UPS,0.00020800740487322714,404,0.039140348888806256,41
EG-ELV,EG,ELV,0.00021640393950926723,404,0.039140348888806256,42
ESS-WBA,ESS,WBA,0.00021663470230643187,404,0.039140348888806256,43
MET-SPG,MET,SPG,0.0002378974962607426,404,0.04183848453625387,44
AIG-AKAM,AIG,AKAM,0.0002471507435237815,404,0.04183848453625387,45
CPT-ESS,CPT,ESS,0.0002485226870670428,404,0.04183848453625387,46
AXON-L,AXON,L,0.0002531096374313209,404,0.04183848453625387,47
HUM-MA,HUM,MA,0.00026198880571844894,404,0.04240397982555479,48
BR-PLTR,BR,PLTR,0.00027430380377493755,404,0.04349114799035693,49
PAYX-SOLV,PAYX,SOLV,0.0002814792396704922,346,0.043736244260001084,50
ECL-ES,ECL,ES,0.0003374861703998245,404,0.05141039329090659,51
LH-TDY,LH,TDY,0.00035139054932682885,404,0.05225438353216085,52
ADP-SOLV,ADP,SOLV,0.00035804391049621055,346,0.05225438353216085,53
COST-KMI,COST,KMI,0.00037170615046814583,403,0.05225438353216085,54
META-RL,META,RL,0.00037378511742913506,404,0.05225438353216085,55
META-NTRS,META,NTRS,0.00037733789939688617,404,0.05225438353216085,56
ISRG-REG,ISRG,REG,0.00038377280128485276,404,0.05225438353216085,57
JCI-NRG,JCI,NRG,0.00039017658425250163,404,0.05225438353216085,58
ALL-LNT,ALL,LNT,0.00040325992119672073,404,0.05225438353216085,59
PG-UDR,PG,UDR,0.0004098040113020776,404,0.05225438353216085,60
HUM-SOLV,HUM,SOLV,0.0004102867029813119,346,0.05225438353216085,61
IP-LII,IP,LII,0.00043045740991345954,404,0.05354003620900963,62
COR-IPG,COR,IPG,0.0004341642786932175,404,0.05354003620900963,63
ALL-K,ALL,K,0.0004543791822027307,403,0.055157372914578354,64
SOLV-WEC,SOLV,WEC,0.00046713734994721347,346,0.05536755213104529,65
APA-T,APA,T,0.0004703640675310837,404,0.05536755213104529,66
BSX-TKO,BSX,TKO,0.0005027831147235193,404,0.05761801973978749,67
HOLX-LEN,HOLX,LEN,0.0005107209526790734,403,0.05761801973978749,68
NWSA-SYF,NWSA,SYF,0.0005121635748086275,404,0.05761801973978749,69
ALB-WST,ALB,WST,0.0005257509985327625,404,0.05761801973978749,70
DGX-WELL,DGX,WELL,0.0005325444389291149,404,0.05761801973978749,71
DLR-HON,DLR,HON,0.0005423580706394666,404,0.05761801973978749,72
ALL-PPL,ALL,PPL,0.0005452645243458863,404,0.05761801973978749,73
OXY-XEL,OXY,XEL,0.0005500837341565245,404,0.05761801973978749,74
HWM-L,HWM,L,0.0005562300785794905,404,0.05761801973978749,75
L-MO,L,MO,0.0005981553755753526,404,0.06056407706134215,76
COF-LYV,COF,LYV,0.0006002618012258135,404,0.06056407706134215,77
CTVA-JCI,CTVA,JCI,0.000624572804418435,404,0.062107464005804254,78
ALL-CMS,ALL,CMS,0.0006534238663152845,404,0.062107464005804254,79
MRK-WRB,MRK,WRB,0.0006542366849833315,404,0.062107464005804254,80
DVN-XEL,DVN,XEL,0.0006564136107665456,404,0.062107464005804254,81
MS-RCL,MS,RCL,0.0006578323449969769,403,0.062107464005804254,82
BRO-EL,BRO,EL,0.0006653793521333998,404,0.062107464005804254,83
CPB-EG,CPB,EG,0.0006755439104065531,404,0.062107464005804254,84
COP-CRL,COP,CRL,0.0006824254115169703,404,0.062107464005804254,85
BR-MRNA,BR,MRNA,0.0006944712320865209,404,0.062107464005804254,86
BR-ETR,BR,ETR,0.0006955012702413399,403,0.062107464005804254,87
ABNB-DXCM,ABNB,DXCM,0.0007150442859624135,404,0.06312703474593172,88
ACGL-UHS,ACGL,UHS,0.0007696092722512338,404,0.06718083636089703,89
CSCO-TDY,CSCO,TDY,0.0008037099218875454,404,0.06937802647938154,90
DUK-VTR,DUK,VTR,0.0008603850106993001,404,0.06983610428887485,91
IPG-TTWO,IPG,TTWO,0.0008677682336443276,404,0.06983610428887485,92
BSX-DGX,BSX,DGX,0.0008789601812883278,404,0.06983610428887485,93
