Pair,Ticker1,Ticker2,n,p_value,q_value,corr,beta,spread_vol,adf_p,phi,half_life
ALL-WEC,ALL,WEC,407,2.728229025838881e-05,0.011135978686294916,0.9337750729935045,0.7201438977299734,0.03709421365102614,3.3144551963922892e-06,0.9038274876012863,6.854918197326169
KMI-WMT,KMI,WMT,407,4.164978884925917e-05,0.014016059377968085,0.9672695110239028,0.952817609370242,0.0527182859839083,5.226962561626974e-06,0.945481861443411,12.364253820397625
L-NFLX,L,NFLX,407,6.619167671925883e-05,0.019704752992579358,0.9461528383103427,0.2598134054356442,0.02461456438937188,2.8761047310767488e-05,0.8824841562921173,5.544536782306981
ALL-ATO,ALL,ATO,407,0.00013223008035709234,0.03198315068637171,0.9451520798495768,0.7355488466845694,0.03385706511647056,1.788361950799018e-05,0.9048049435644107,6.928984959251014
DGX-EVRG,DGX,EVRG,407,8.169736555672987e-05,0.023419911459595894,0.9755442889311124,0.86955182934217,0.02586960869241319,1.0773400072508964e-05,0.8785649442172181,5.353916370572424
ES-HAS,ES,HAS,407,2.2043487971077772e-05,0.010663537306008872,0.88366289933074,0.46561534353321155,0.03383494084149922,2.6746417532262594e-06,0.8792642413786258,5.387022623950226
MTD-PFE,MTD,PFE,407,2.1052121904518158e-05,0.010663537306008872,0.8232422278455523,1.2058871739078798,0.05165762862485442,2.4659000968866918e-06,0.907745678678518,7.1612750321245775
DOV-SW,DOV,SW,407,4.099203182582581e-05,0.014016059377968085,0.8962094455704364,0.6266610040637546,0.034833649352416604,5.153599565444398e-06,0.8831353744567472,5.577447297443608
LII-MSI,LII,MSI,407,2.7336381788062455e-05,0.011135978686294916,0.9438965625855216,0.8882994610660297,0.04047994867892686,3.3745070120009543e-06,0.8794113356229016,5.394035191495811
CME-DE,CME,DE,407,0.0001898585937094438,0.03498822655502607,0.9368980923408382,1.0273384455812855,0.04803392423272762,2.6256261582248203e-05,0.9130613784646382,7.621007333313807
AMCR-EXR,AMCR,EXR,407,0.0002013150924304619,0.03623671663748314,0.8649637073927711,0.7672936974659846,0.0338297600591264,2.8258562553629655e-05,0.8927419474730918,6.109299804537464
BR-PLTR,BR,PLTR,407,0.00026106891491768815,0.04338763751828892,0.9616355207086648,0.11584228002949931,0.024290169424105217,3.7190995313877264e-05,0.8754753517712004,5.2120921896876355
APA-CRL,APA,CRL,407,0.00014826925197105955,0.03310341243364344,0.9153846316303766,0.9188657058648751,0.08491824462207169,2.0257529511874875e-05,0.9210647803320547,8.429893025353941
IPG-MCK,IPG,MCK,407,3.1836007278321892e-06,0.009476166934065854,-0.8878041071075964,-0.5934472253184702,0.039337397603153385,3.4945706848612085e-07,0.8754792968074068,5.212268801409129
UDR-WBA,UDR,WBA,407,2.4892230409657748e-05,0.011135978686294916,-0.9093904002934121,-0.26284538112926104,0.034372905085261286,3.0464195500236137e-06,0.8716414158142333,5.0455780301330835
PANW-PODD,PANW,PODD,407,0.00011212899217529661,0.028929279981226526,0.8242499992069168,0.4488047934557787,0.06293109495614096,1.5118958734394107e-05,0.894492742081682,6.216650831127211
AIG-AKAM,AIG,AKAM,407,0.0001301821617735625,0.03198315068637171,-0.8139614469533214,-0.3893201079099705,0.0386691220395596,1.773889803988708e-05,0.8816002825114767,5.50044692428123
CPT-WBA,CPT,WBA,407,5.672134389812191e-05,0.018292633407144317,-0.9194328942182998,-0.3104420327192024,0.03796274522865393,7.298890256323038e-06,0.8790003727011986,5.374485617570923
ROL-UPS,ROL,UPS,407,0.00021011517996721732,0.03696117029423323,-0.893698799730516,-0.6007749044631614,0.04237683818375663,2.9628618763919732e-05,0.9050130075650027,6.944947616282464
ESS-WBA,ESS,WBA,407,0.0001606392716439151,0.03310341243364344,-0.8985244642512938,-0.3030593238115975,0.04232707914427398,2.2218853329090606e-05,0.8925457829688827,6.097489550379988
HUM-TRV,HUM,TRV,407,0.00016230304992662724,0.03310341243364344,-0.8836262400716105,-1.5130458713098738,0.08176995921267259,2.2545107555908097e-05,0.8929111293701,6.119520257753272
